country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,CL,,,49.1,0.0,RE_PV_Rooftop_Lim_[KR]
KR,CL,,,49.1,2.7,RE_PV_Openfield_Lim_[KR]
KR,CL,,,49.1,0.0,RE_WIND_Onshore_Lim_[KR]
KR,CL,,,49.1,12.0,RE_WIND_Offshore_Lim_[KR]
KR,CL,,,49.1,4.1,PP_CO2_[KR]
KR,CL,,,49.1,3.1,BESS_[KR]
KR,CL,,,49.1,0.3,EL_to_HTH_[KR]
KR,CL,,,49.1,0.3,EL_to_NH3_[KR]
KR,CL,,,49.1,0.3,NH3_Storage_[KR]
KR,CL,,,49.1,0.2,NH3_to_EL_[KR]
KR,CL,,,49.1,0.0,NH3_to_HTH_[KR]
KR,CL,,,49.1,1.7,FF_to_HTH_[KR]
KR,CL,,,49.1,0.0,EL_Demand_[KR]
KR,CL,,,49.1,0.0,HTH_Demand_[KR]
KR,CL,,,49.1,0.0,RE_PV_Rooftop_Lim_[CL]
KR,CL,,,49.1,0.0,RE_PV_Openfield_Lim_[CL]
KR,CL,,,49.1,2.4,RE_WIND_Onshore_Lim_[CL]
KR,CL,,,49.1,0.0,RE_WIND_Offshore_Lim_[CL]
KR,CL,,,49.1,0.0,PP_CO2_[CL]
KR,CL,,,49.1,0.0,BESS_[CL]
KR,CL,,,49.1,0.2,EL_to_HTH_[CL]
KR,CL,,,49.1,0.1,EL_to_NH3_[CL]
KR,CL,,,49.1,0.2,NH3_Storage_[CL]
KR,CL,,,49.1,0.0,NH3_to_EL_[CL]
KR,CL,,,49.1,0.0,NH3_to_HTH_[CL]
KR,CL,,,49.1,0.1,FF_to_HTH_[CL]
KR,CL,,,49.1,0.0,EL_Demand_[CL]
KR,CL,,,49.1,0.0,HTH_Demand_[CL]
KR,CL,,,49.1,0.0,NH3_Transport_[KR-CL]
KR,CL,,,49.1,0.0,EL_Transport_[KR-CL]
KR,CL,,,0.0,0.9,RE_PV_Rooftop_Lim_[KR]
KR,CL,,,0.0,2.7,RE_PV_Openfield_Lim_[KR]
KR,CL,,,0.0,0.1,RE_WIND_Onshore_Lim_[KR]
KR,CL,,,0.0,16.1,RE_WIND_Offshore_Lim_[KR]
KR,CL,,,0.0,0.0,PP_CO2_[KR]
KR,CL,,,0.0,3.7,BESS_[KR]
KR,CL,,,0.0,0.3,EL_to_HTH_[KR]
KR,CL,,,0.0,2.1,EL_to_NH3_[KR]
KR,CL,,,0.0,8.7,NH3_Storage_[KR]
KR,CL,,,0.0,1.0,NH3_to_EL_[KR]
KR,CL,,,0.0,0.1,NH3_to_HTH_[KR]
KR,CL,,,0.0,0.0,FF_to_HTH_[KR]
KR,CL,,,0.0,0.0,EL_Demand_[KR]
KR,CL,,,0.0,0.0,HTH_Demand_[KR]
KR,CL,,,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
KR,CL,,,0.0,0.0,RE_PV_Openfield_Lim_[CL]
KR,CL,,,0.0,2.6,RE_WIND_Onshore_Lim_[CL]
KR,CL,,,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
KR,CL,,,0.0,0.0,PP_CO2_[CL]
KR,CL,,,0.0,0.0,BESS_[CL]
KR,CL,,,0.0,0.2,EL_to_HTH_[CL]
KR,CL,,,0.0,0.8,EL_to_NH3_[CL]
KR,CL,,,0.0,1.8,NH3_Storage_[CL]
KR,CL,,,0.0,0.0,NH3_to_EL_[CL]
KR,CL,,,0.0,0.0,NH3_to_HTH_[CL]
KR,CL,,,0.0,0.0,FF_to_HTH_[CL]
KR,CL,,,0.0,0.0,EL_Demand_[CL]
KR,CL,,,0.0,0.0,HTH_Demand_[CL]
KR,CL,,,0.0,0.1,NH3_Transport_[KR-CL]
KR,CL,,,0.0,0.0,EL_Transport_[KR-CL]
KR,CL,,,112.7,0.0,RE_PV_Rooftop_Lim_[KR]
KR,CL,,,112.7,2.5,RE_PV_Openfield_Lim_[KR]
KR,CL,,,112.7,0.0,RE_WIND_Onshore_Lim_[KR]
KR,CL,,,112.7,6.3,RE_WIND_Offshore_Lim_[KR]
KR,CL,,,112.7,9.2,PP_CO2_[KR]
KR,CL,,,112.7,0.4,BESS_[KR]
KR,CL,,,112.7,0.3,EL_to_HTH_[KR]
KR,CL,,,112.7,0.0,EL_to_NH3_[KR]
KR,CL,,,112.7,0.0,NH3_Storage_[KR]
KR,CL,,,112.7,0.0,NH3_to_EL_[KR]
KR,CL,,,112.7,0.0,NH3_to_HTH_[KR]
KR,CL,,,112.7,2.5,FF_to_HTH_[KR]
KR,CL,,,112.7,0.0,EL_Demand_[KR]
KR,CL,,,112.7,0.0,HTH_Demand_[KR]
KR,CL,,,112.7,0.0,RE_PV_Rooftop_Lim_[CL]
KR,CL,,,112.7,0.0,RE_PV_Openfield_Lim_[CL]
KR,CL,,,112.7,2.2,RE_WIND_Onshore_Lim_[CL]
KR,CL,,,112.7,0.0,RE_WIND_Offshore_Lim_[CL]
KR,CL,,,112.7,0.0,PP_CO2_[CL]
KR,CL,,,112.7,0.0,BESS_[CL]
KR,CL,,,112.7,0.2,EL_to_HTH_[CL]
KR,CL,,,112.7,0.0,EL_to_NH3_[CL]
KR,CL,,,112.7,0.0,NH3_Storage_[CL]
KR,CL,,,112.7,0.0,NH3_to_EL_[CL]
KR,CL,,,112.7,0.0,NH3_to_HTH_[CL]
KR,CL,,,112.7,0.3,FF_to_HTH_[CL]
KR,CL,,,112.7,0.0,EL_Demand_[CL]
KR,CL,,,112.7,0.0,HTH_Demand_[CL]
KR,CL,,,112.7,0.0,NH3_Transport_[KR-CL]
KR,CL,,,112.7,0.0,EL_Transport_[KR-CL]
KR,CL,,,75.1,0.0,RE_PV_Rooftop_Lim_[KR]
KR,CL,,,75.1,2.7,RE_PV_Openfield_Lim_[KR]
KR,CL,,,75.1,0.0,RE_WIND_Onshore_Lim_[KR]
KR,CL,,,75.1,9.3,RE_WIND_Offshore_Lim_[KR]
KR,CL,,,75.1,6.4,PP_CO2_[KR]
KR,CL,,,75.1,1.5,BESS_[KR]
KR,CL,,,75.1,0.3,EL_to_HTH_[KR]
KR,CL,,,75.1,0.0,EL_to_NH3_[KR]
KR,CL,,,75.1,0.0,NH3_Storage_[KR]
KR,CL,,,75.1,0.0,NH3_to_EL_[KR]
KR,CL,,,75.1,0.0,NH3_to_HTH_[KR]
KR,CL,,,75.1,2.0,FF_to_HTH_[KR]
KR,CL,,,75.1,0.0,EL_Demand_[KR]
KR,CL,,,75.1,0.0,HTH_Demand_[KR]
KR,CL,,,75.1,0.0,RE_PV_Rooftop_Lim_[CL]
KR,CL,,,75.1,0.0,RE_PV_Openfield_Lim_[CL]
KR,CL,,,75.1,2.3,RE_WIND_Onshore_Lim_[CL]
KR,CL,,,75.1,0.0,RE_WIND_Offshore_Lim_[CL]
KR,CL,,,75.1,0.0,PP_CO2_[CL]
KR,CL,,,75.1,0.0,BESS_[CL]
KR,CL,,,75.1,0.2,EL_to_HTH_[CL]
KR,CL,,,75.1,0.0,EL_to_NH3_[CL]
KR,CL,,,75.1,0.0,NH3_Storage_[CL]
KR,CL,,,75.1,0.0,NH3_to_EL_[CL]
KR,CL,,,75.1,0.0,NH3_to_HTH_[CL]
KR,CL,,,75.1,0.2,FF_to_HTH_[CL]
KR,CL,,,75.1,0.0,EL_Demand_[CL]
KR,CL,,,75.1,0.0,HTH_Demand_[CL]
KR,CL,,,75.1,0.0,NH3_Transport_[KR-CL]
KR,CL,,,75.1,0.0,EL_Transport_[KR-CL]
KR,CL,,,65.5,0.0,RE_PV_Rooftop_Lim_[KR]
KR,CL,,,65.5,2.7,RE_PV_Openfield_Lim_[KR]
KR,CL,,,65.5,0.0,RE_WIND_Onshore_Lim_[KR]
KR,CL,,,65.5,10.3,RE_WIND_Offshore_Lim_[KR]
KR,CL,,,65.5,5.6,PP_CO2_[KR]
KR,CL,,,65.5,2.2,BESS_[KR]
KR,CL,,,65.5,0.3,EL_to_HTH_[KR]
KR,CL,,,65.5,0.0,EL_to_NH3_[KR]
KR,CL,,,65.5,0.0,NH3_Storage_[KR]
KR,CL,,,65.5,0.0,NH3_to_EL_[KR]
KR,CL,,,65.5,0.0,NH3_to_HTH_[KR]
KR,CL,,,65.5,1.9,FF_to_HTH_[KR]
KR,CL,,,65.5,0.0,EL_Demand_[KR]
KR,CL,,,65.5,0.0,HTH_Demand_[KR]
KR,CL,,,65.5,0.0,RE_PV_Rooftop_Lim_[CL]
KR,CL,,,65.5,0.0,RE_PV_Openfield_Lim_[CL]
KR,CL,,,65.5,2.4,RE_WIND_Onshore_Lim_[CL]
KR,CL,,,65.5,0.0,RE_WIND_Offshore_Lim_[CL]
KR,CL,,,65.5,0.0,PP_CO2_[CL]
KR,CL,,,65.5,0.0,BESS_[CL]
KR,CL,,,65.5,0.1,EL_to_HTH_[CL]
KR,CL,,,65.5,0.0,EL_to_NH3_[CL]
KR,CL,,,65.5,0.0,NH3_Storage_[CL]
KR,CL,,,65.5,0.0,NH3_to_EL_[CL]
KR,CL,,,65.5,0.0,NH3_to_HTH_[CL]
KR,CL,,,65.5,0.2,FF_to_HTH_[CL]
KR,CL,,,65.5,0.0,EL_Demand_[CL]
KR,CL,,,65.5,0.0,HTH_Demand_[CL]
KR,CL,,,65.5,0.0,NH3_Transport_[KR-CL]
KR,CL,,,65.5,0.0,EL_Transport_[KR-CL]
KR,CL,,,98.2,0.0,RE_PV_Rooftop_Lim_[KR]
KR,CL,,,98.2,2.7,RE_PV_Openfield_Lim_[KR]
KR,CL,,,98.2,0.0,RE_WIND_Onshore_Lim_[KR]
KR,CL,,,98.2,7.3,RE_WIND_Offshore_Lim_[KR]
KR,CL,,,98.2,8.3,PP_CO2_[KR]
KR,CL,,,98.2,0.6,BESS_[KR]
KR,CL,,,98.2,0.3,EL_to_HTH_[KR]
KR,CL,,,98.2,0.0,EL_to_NH3_[KR]
KR,CL,,,98.2,0.0,NH3_Storage_[KR]
KR,CL,,,98.2,0.0,NH3_to_EL_[KR]
KR,CL,,,98.2,0.0,NH3_to_HTH_[KR]
KR,CL,,,98.2,2.3,FF_to_HTH_[KR]
KR,CL,,,98.2,0.0,EL_Demand_[KR]
KR,CL,,,98.2,0.0,HTH_Demand_[KR]
KR,CL,,,98.2,0.0,RE_PV_Rooftop_Lim_[CL]
KR,CL,,,98.2,0.0,RE_PV_Openfield_Lim_[CL]
KR,CL,,,98.2,2.2,RE_WIND_Onshore_Lim_[CL]
KR,CL,,,98.2,0.0,RE_WIND_Offshore_Lim_[CL]
KR,CL,,,98.2,0.0,PP_CO2_[CL]
KR,CL,,,98.2,0.1,BESS_[CL]
KR,CL,,,98.2,0.2,EL_to_HTH_[CL]
KR,CL,,,98.2,0.0,EL_to_NH3_[CL]
KR,CL,,,98.2,0.0,NH3_Storage_[CL]
KR,CL,,,98.2,0.0,NH3_to_EL_[CL]
KR,CL,,,98.2,0.0,NH3_to_HTH_[CL]
KR,CL,,,98.2,0.3,FF_to_HTH_[CL]
KR,CL,,,98.2,0.0,EL_Demand_[CL]
KR,CL,,,98.2,0.0,HTH_Demand_[CL]
KR,CL,,,98.2,0.0,NH3_Transport_[KR-CL]
KR,CL,,,98.2,0.0,EL_Transport_[KR-CL]
KR,CL,,,37.6,0.0,RE_PV_Rooftop_Lim_[KR]
KR,CL,,,37.6,2.7,RE_PV_Openfield_Lim_[KR]
KR,CL,,,37.6,0.0,RE_WIND_Onshore_Lim_[KR]
KR,CL,,,37.6,13.0,RE_WIND_Offshore_Lim_[KR]
KR,CL,,,37.6,2.9,PP_CO2_[KR]
KR,CL,,,37.6,3.5,BESS_[KR]
KR,CL,,,37.6,0.3,EL_to_HTH_[KR]
KR,CL,,,37.6,0.7,EL_to_NH3_[KR]
KR,CL,,,37.6,1.1,NH3_Storage_[KR]
KR,CL,,,37.6,0.4,NH3_to_EL_[KR]
KR,CL,,,37.6,0.0,NH3_to_HTH_[KR]
KR,CL,,,37.6,1.6,FF_to_HTH_[KR]
KR,CL,,,37.6,0.0,EL_Demand_[KR]
KR,CL,,,37.6,0.0,HTH_Demand_[KR]
KR,CL,,,37.6,0.0,RE_PV_Rooftop_Lim_[CL]
KR,CL,,,37.6,0.0,RE_PV_Openfield_Lim_[CL]
KR,CL,,,37.6,2.4,RE_WIND_Onshore_Lim_[CL]
KR,CL,,,37.6,0.0,RE_WIND_Offshore_Lim_[CL]
KR,CL,,,37.6,0.0,PP_CO2_[CL]
KR,CL,,,37.6,0.0,BESS_[CL]
KR,CL,,,37.6,0.2,EL_to_HTH_[CL]
KR,CL,,,37.6,0.2,EL_to_NH3_[CL]
KR,CL,,,37.6,0.3,NH3_Storage_[CL]
KR,CL,,,37.6,0.0,NH3_to_EL_[CL]
KR,CL,,,37.6,0.0,NH3_to_HTH_[CL]
KR,CL,,,37.6,0.0,FF_to_HTH_[CL]
KR,CL,,,37.6,0.0,EL_Demand_[CL]
KR,CL,,,37.6,0.0,HTH_Demand_[CL]
KR,CL,,,37.6,0.0,NH3_Transport_[KR-CL]
KR,CL,,,37.6,0.0,EL_Transport_[KR-CL]
KR,CL,,,114.5,0.0,RE_PV_Rooftop_Lim_[KR]
