country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
EG,NG,,,52.7,3.3,RE_PV_Rooftop_Lim_[EG]
EG,NG,,,52.7,0.6,RE_PV_Openfield_Lim_[EG]
EG,NG,,,52.7,5.4,RE_WIND_Onshore_Lim_[EG]
EG,NG,,,52.7,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,,,52.7,1.6,PP_CO2_[EG]
EG,NG,,,52.7,0.9,BESS_[EG]
EG,NG,,,52.7,0.1,EL_to_HTH_[EG]
EG,NG,,,52.7,0.0,EL_to_NH3_[EG]
EG,NG,,,52.7,0.0,NH3_Storage_[EG]
EG,NG,,,52.7,0.0,NH3_to_EL_[EG]
EG,NG,,,52.7,0.0,NH3_to_HTH_[EG]
EG,NG,,,52.7,0.2,FF_to_HTH_[EG]
EG,NG,,,52.7,0.0,EL_Demand_[EG]
EG,NG,,,52.7,0.0,HTH_Demand_[EG]
EG,NG,,,52.7,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,,,52.7,4.2,RE_PV_Openfield_Lim_[NG]
EG,NG,,,52.7,12.0,RE_WIND_Onshore_Lim_[NG]
EG,NG,,,52.7,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,,,52.7,3.2,PP_CO2_[NG]
EG,NG,,,52.7,1.7,BESS_[NG]
EG,NG,,,52.7,0.5,EL_to_HTH_[NG]
EG,NG,,,52.7,0.0,EL_to_NH3_[NG]
EG,NG,,,52.7,0.0,NH3_Storage_[NG]
EG,NG,,,52.7,0.0,NH3_to_EL_[NG]
EG,NG,,,52.7,0.0,NH3_to_HTH_[NG]
EG,NG,,,52.7,3.3,FF_to_HTH_[NG]
EG,NG,,,52.7,0.0,EL_Demand_[NG]
EG,NG,,,52.7,0.0,HTH_Demand_[NG]
EG,NG,,,21.2,3.3,RE_PV_Rooftop_Lim_[EG]
EG,NG,,,21.2,1.0,RE_PV_Openfield_Lim_[EG]
EG,NG,,,21.2,6.2,RE_WIND_Onshore_Lim_[EG]
EG,NG,,,21.2,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,,,21.2,0.5,PP_CO2_[EG]
EG,NG,,,21.2,0.7,BESS_[EG]
EG,NG,,,21.2,0.1,EL_to_HTH_[EG]
EG,NG,,,21.2,0.1,EL_to_NH3_[EG]
EG,NG,,,21.2,0.7,NH3_Storage_[EG]
EG,NG,,,21.2,0.4,NH3_to_EL_[EG]
EG,NG,,,21.2,0.0,NH3_to_HTH_[EG]
EG,NG,,,21.2,0.1,FF_to_HTH_[EG]
EG,NG,,,21.2,0.0,EL_Demand_[EG]
EG,NG,,,21.2,0.0,HTH_Demand_[EG]
EG,NG,,,21.2,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,,,21.2,5.7,RE_PV_Openfield_Lim_[NG]
EG,NG,,,21.2,16.6,RE_WIND_Onshore_Lim_[NG]
EG,NG,,,21.2,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,,,21.2,1.2,PP_CO2_[NG]
EG,NG,,,21.2,2.7,BESS_[NG]
EG,NG,,,21.2,0.5,EL_to_HTH_[NG]
EG,NG,,,21.2,0.2,EL_to_NH3_[NG]
EG,NG,,,21.2,0.2,NH3_Storage_[NG]
EG,NG,,,21.2,0.1,NH3_to_EL_[NG]
EG,NG,,,21.2,0.0,NH3_to_HTH_[NG]
EG,NG,,,21.2,1.9,FF_to_HTH_[NG]
