Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,18,18,0,720,1,0
1,RE_PV_Rooftop_Lim,18,18,0,720,1,0
2,RE_PV_Openfield_Lim,18,18,0,720,1,0
3,RE_WIND_Onshore_Lim,18,18,0,720,1,0
4,RE_WIND_Offshore_Lim,18,18,0,720,1,0
5,PP_CO2,18,18,0,720,1,0
6,BESS,18,18,0,720,1,0
7,EL_to_HTH,18,18,0,720,1,0
8,EL_to_NH3,18,18,0,720,1,0
9,NH3_Storage,18,18,0,720,1,0
10,NH3_to_EL,18,18,0,720,1,0
11,NH3_to_HTH,18,18,0,720,1,0
12,FF_to_HTH,18,18,0,720,1,0
13,EL_Demand,18,18,0,720,1,0
14,HTH_Demand,18,18,0,720,1,0
15,RE_PV_Rooftop_Lim,19,19,0,720,1,0
16,RE_PV_Openfield_Lim,19,19,0,720,1,0
17,RE_WIND_Onshore_Lim,19,19,0,720,1,0
18,RE_WIND_Offshore_Lim,19,19,0,720,1,0
19,PP_CO2,19,19,0,720,1,0
20,BESS,19,19,0,720,1,0
21,EL_to_HTH,19,19,0,720,1,0
22,EL_to_NH3,19,19,0,720,1,0
23,NH3_Storage,19,19,0,720,1,0
24,NH3_to_EL,19,19,0,720,1,0
25,NH3_to_HTH,19,19,0,720,1,0
26,FF_to_HTH,19,19,0,720,1,0
27,EL_Demand,19,19,0,720,1,0
28,HTH_Demand,19,19,0,720,1,0
29,NH3_Transport,18,19,0,720,96,108
30,EL_Transport,18,19,0,720,1,0
