country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,BN,KH,LA,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,BN,KH,LA,0.0,6.9,337.6,RE_PV_Openfield_Lim_[ID]
ID,BN,KH,LA,0.0,27.5,570.1,RE_WIND_Onshore_Lim_[ID]
ID,BN,KH,LA,0.0,7.7,146.2,RE_WIND_Offshore_Lim_[ID]
ID,BN,KH,LA,0.0,0.0,0.0,PP_CO2_[ID]
ID,BN,KH,LA,0.0,0.2,13.6,BESS_[ID]
ID,BN,KH,LA,0.0,1.3,116.6,EL_to_HTH_[ID]
ID,BN,KH,LA,0.0,2.3,40.2,EL_to_NH3_[ID]
ID,BN,KH,LA,0.0,6.3,377.6,NH3_Storage_[ID]
ID,BN,KH,LA,0.0,0.0,0.0,NH3_to_EL_[ID]
ID,BN,KH,LA,0.0,0.2,19.7,NH3_to_HTH_[ID]
ID,BN,KH,LA,0.0,0.0,0.0,FF_to_HTH_[ID]
ID,BN,KH,LA,0.0,0.0,138.0,EL_Demand_[ID]
ID,BN,KH,LA,0.0,0.0,117.7,HTH_Demand_[ID]
ID,BN,KH,LA,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
ID,BN,KH,LA,0.0,0.0,1.2,RE_PV_Openfield_Lim_[LA]
ID,BN,KH,LA,0.0,0.2,4.2,RE_WIND_Onshore_Lim_[LA]
ID,BN,KH,LA,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
ID,BN,KH,LA,0.0,0.0,0.0,PP_CO2_[LA]
ID,BN,KH,LA,0.0,0.0,0.5,BESS_[LA]
ID,BN,KH,LA,0.0,0.0,0.3,EL_to_HTH_[LA]
ID,BN,KH,LA,0.0,0.0,0.1,EL_to_NH3_[LA]
ID,BN,KH,LA,0.0,0.2,13.9,NH3_Storage_[LA]
ID,BN,KH,LA,0.0,0.0,0.3,NH3_to_EL_[LA]
ID,BN,KH,LA,0.0,0.0,0.1,NH3_to_HTH_[LA]
ID,BN,KH,LA,0.0,0.0,0.0,FF_to_HTH_[LA]
ID,BN,KH,LA,0.0,0.0,1.6,EL_Demand_[LA]
ID,BN,KH,LA,0.0,0.0,0.3,HTH_Demand_[LA]
ID,BN,KH,LA,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
ID,BN,KH,LA,0.0,0.0,0.0,RE_PV_Openfield_Lim_[KH]
ID,BN,KH,LA,0.0,5.1,106.7,RE_WIND_Onshore_Lim_[KH]
ID,BN,KH,LA,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
ID,BN,KH,LA,0.0,0.0,0.0,PP_CO2_[KH]
ID,BN,KH,LA,0.0,0.0,1.3,BESS_[KH]
ID,BN,KH,LA,0.0,0.1,11.3,EL_to_HTH_[KH]
ID,BN,KH,LA,0.0,0.8,14.2,EL_to_NH3_[KH]
ID,BN,KH,LA,0.0,4.0,239.4,NH3_Storage_[KH]
ID,BN,KH,LA,0.0,0.5,6.8,NH3_to_EL_[KH]
ID,BN,KH,LA,0.0,0.0,2.2,NH3_to_HTH_[KH]
ID,BN,KH,LA,0.0,0.0,0.0,FF_to_HTH_[KH]
ID,BN,KH,LA,0.0,0.0,2.8,EL_Demand_[KH]
ID,BN,KH,LA,0.0,0.0,11.5,HTH_Demand_[KH]
ID,BN,KH,LA,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
ID,BN,KH,LA,0.0,0.0,0.4,RE_PV_Openfield_Lim_[BN]
ID,BN,KH,LA,0.0,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
ID,BN,KH,LA,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
ID,BN,KH,LA,0.0,0.0,0.0,PP_CO2_[BN]
ID,BN,KH,LA,0.0,0.0,0.2,BESS_[BN]
ID,BN,KH,LA,0.0,0.0,0.1,EL_to_HTH_[BN]
ID,BN,KH,LA,0.0,0.0,0.0,EL_to_NH3_[BN]
ID,BN,KH,LA,0.0,0.6,35.0,NH3_Storage_[BN]
ID,BN,KH,LA,0.0,0.1,0.7,NH3_to_EL_[BN]
ID,BN,KH,LA,0.0,0.0,0.0,NH3_to_HTH_[BN]
ID,BN,KH,LA,0.0,0.0,0.0,FF_to_HTH_[BN]
ID,BN,KH,LA,0.0,0.0,1.5,EL_Demand_[BN]
ID,BN,KH,LA,0.0,0.0,0.1,HTH_Demand_[BN]
ID,BN,KH,LA,0.0,0.0,14.0,NH3_Transport_[ID-LA]
