country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,LA,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,LA,,,0.0,6.8,332.3,RE_PV_Openfield_Lim_[ID]
ID,LA,,,0.0,32.1,666.0,RE_WIND_Onshore_Lim_[ID]
ID,LA,,,0.0,6.1,114.8,RE_WIND_Offshore_Lim_[ID]
ID,LA,,,0.0,0.0,0.0,PP_CO2_[ID]
ID,LA,,,0.0,0.7,40.3,BESS_[ID]
ID,LA,,,0.0,1.3,116.6,EL_to_HTH_[ID]
ID,LA,,,0.0,2.4,42.4,EL_to_NH3_[ID]
ID,LA,,,0.0,6.7,404.6,NH3_Storage_[ID]
ID,LA,,,0.0,0.0,0.0,NH3_to_EL_[ID]
ID,LA,,,0.0,0.2,20.1,NH3_to_HTH_[ID]
ID,LA,,,0.0,0.0,0.0,FF_to_HTH_[ID]
ID,LA,,,0.0,0.0,138.0,EL_Demand_[ID]
ID,LA,,,0.0,0.0,117.7,HTH_Demand_[ID]
ID,LA,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
ID,LA,,,0.0,0.0,0.0,RE_PV_Openfield_Lim_[LA]
ID,LA,,,0.0,2.1,43.9,RE_WIND_Onshore_Lim_[LA]
ID,LA,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
ID,LA,,,0.0,0.0,0.0,PP_CO2_[LA]
ID,LA,,,0.0,0.0,0.0,BESS_[LA]
ID,LA,,,0.0,0.0,0.3,EL_to_HTH_[LA]
ID,LA,,,0.0,0.5,8.2,EL_to_NH3_[LA]
ID,LA,,,0.0,5.0,302.6,NH3_Storage_[LA]
ID,LA,,,0.0,0.6,7.9,NH3_to_EL_[LA]
ID,LA,,,0.0,0.0,0.1,NH3_to_HTH_[LA]
ID,LA,,,0.0,0.0,0.0,FF_to_HTH_[LA]
ID,LA,,,0.0,0.0,1.6,EL_Demand_[LA]
ID,LA,,,0.0,0.0,0.3,HTH_Demand_[LA]
ID,LA,,,0.0,0.1,303.4,NH3_Transport_[ID-LA]
ID,LA,,,0.0,2.8,30.0,EL_Transport_[ID-LA]
ID,LA,,,20.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,LA,,,20.0,7.3,356.3,RE_PV_Openfield_Lim_[ID]
ID,LA,,,20.0,32.1,666.0,RE_WIND_Onshore_Lim_[ID]
ID,LA,,,20.0,5.3,100.8,RE_WIND_Offshore_Lim_[ID]
ID,LA,,,20.0,0.0,0.0,PP_CO2_[ID]
ID,LA,,,20.0,2.8,156.7,BESS_[ID]
ID,LA,,,20.0,1.3,115.6,EL_to_HTH_[ID]
ID,LA,,,20.0,0.9,16.2,EL_to_NH3_[ID]
ID,LA,,,20.0,1.1,67.2,NH3_Storage_[ID]
