country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,MY,PH,,346.6,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,346.6,3.0,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,346.6,0.0,RE_WIND_Onshore_Lim_[ID]
ID,MY,PH,,346.6,15.7,RE_WIND_Offshore_Lim_[ID]
ID,MY,PH,,346.6,8.2,PP_CO2_[ID]
ID,MY,PH,,346.6,0.0,BESS_[ID]
ID,MY,PH,,346.6,1.2,EL_to_HTH_[ID]
ID,MY,PH,,346.6,0.0,EL_to_NH3_[ID]
ID,MY,PH,,346.6,0.0,NH3_Storage_[ID]
ID,MY,PH,,346.6,0.0,NH3_to_EL_[ID]
ID,MY,PH,,346.6,0.0,NH3_to_HTH_[ID]
ID,MY,PH,,346.6,11.9,FF_to_HTH_[ID]
ID,MY,PH,,346.6,0.0,EL_Demand_[ID]
ID,MY,PH,,346.6,0.0,HTH_Demand_[ID]
ID,MY,PH,,346.6,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,PH,,346.6,1.3,RE_PV_Openfield_Lim_[MY]
ID,MY,PH,,346.6,0.9,RE_WIND_Onshore_Lim_[MY]
ID,MY,PH,,346.6,0.8,RE_WIND_Offshore_Lim_[MY]
ID,MY,PH,,346.6,4.5,PP_CO2_[MY]
ID,MY,PH,,346.6,0.0,BESS_[MY]
ID,MY,PH,,346.6,0.1,EL_to_HTH_[MY]
ID,MY,PH,,346.6,0.0,EL_to_NH3_[MY]
ID,MY,PH,,346.6,0.0,NH3_Storage_[MY]
ID,MY,PH,,346.6,0.0,NH3_to_EL_[MY]
ID,MY,PH,,346.6,0.0,NH3_to_HTH_[MY]
ID,MY,PH,,346.6,1.7,FF_to_HTH_[MY]
ID,MY,PH,,346.6,0.0,EL_Demand_[MY]
ID,MY,PH,,346.6,0.0,HTH_Demand_[MY]
ID,MY,PH,,346.6,0.0,RE_PV_Rooftop_Lim_[PH]
ID,MY,PH,,346.6,0.6,RE_PV_Openfield_Lim_[PH]
ID,MY,PH,,346.6,0.8,RE_WIND_Onshore_Lim_[PH]
ID,MY,PH,,346.6,2.0,RE_WIND_Offshore_Lim_[PH]
ID,MY,PH,,346.6,2.8,PP_CO2_[PH]
ID,MY,PH,,346.6,0.0,BESS_[PH]
ID,MY,PH,,346.6,0.1,EL_to_HTH_[PH]
ID,MY,PH,,346.6,0.0,EL_to_NH3_[PH]
ID,MY,PH,,346.6,0.0,NH3_Storage_[PH]
ID,MY,PH,,346.6,0.0,NH3_to_EL_[PH]
ID,MY,PH,,346.6,0.0,NH3_to_HTH_[PH]
ID,MY,PH,,346.6,1.2,FF_to_HTH_[PH]
ID,MY,PH,,346.6,0.0,EL_Demand_[PH]
ID,MY,PH,,346.6,0.0,HTH_Demand_[PH]
ID,MY,PH,,346.7,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,PH,,346.7,3.0,RE_PV_Openfield_Lim_[ID]
ID,MY,PH,,346.7,0.0,RE_WIND_Onshore_Lim_[ID]
ID,MY,PH,,346.7,15.7,RE_WIND_Offshore_Lim_[ID]
ID,MY,PH,,346.7,8.2,PP_CO2_[ID]
ID,MY,PH,,346.7,0.0,BESS_[ID]
ID,MY,PH,,346.7,1.2,EL_to_HTH_[ID]
ID,MY,PH,,346.7,0.0,EL_to_NH3_[ID]
ID,MY,PH,,346.7,0.0,NH3_Storage_[ID]
ID,MY,PH,,346.7,0.1,NH3_to_EL_[ID]
ID,MY,PH,,346.7,0.0,NH3_to_HTH_[ID]
ID,MY,PH,,346.7,11.9,FF_to_HTH_[ID]
ID,MY,PH,,346.7,0.0,EL_Demand_[ID]
ID,MY,PH,,346.7,0.0,HTH_Demand_[ID]
