country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,MY,,,171.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,,,171.0,2.9,RE_PV_Openfield_Lim_[ID]
ID,MY,,,171.0,0.0,RE_WIND_Onshore_Lim_[ID]
ID,MY,,,171.0,21.0,RE_WIND_Offshore_Lim_[ID]
ID,MY,,,171.0,17.6,PP_CO2_[ID]
ID,MY,,,171.0,0.0,BESS_[ID]
ID,MY,,,171.0,14.1,EL_to_HTH_[ID]
ID,MY,,,171.0,0.2,EL_to_NH3_[ID]
ID,MY,,,171.0,0.9,NH3_Storage_[ID]
ID,MY,,,171.0,0.0,NH3_to_EL_[ID]
ID,MY,,,171.0,0.1,NH3_to_HTH_[ID]
ID,MY,,,171.0,0.0,EL_Demand_[ID]
ID,MY,,,171.0,0.0,HTH_Demand_[ID]
ID,MY,,,171.0,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,,,171.0,2.0,RE_PV_Openfield_Lim_[MY]
ID,MY,,,171.0,1.1,RE_WIND_Onshore_Lim_[MY]
ID,MY,,,171.0,0.0,RE_WIND_Offshore_Lim_[MY]
ID,MY,,,171.0,4.6,PP_CO2_[MY]
ID,MY,,,171.0,0.0,BESS_[MY]
ID,MY,,,171.0,1.5,EL_to_HTH_[MY]
ID,MY,,,171.0,0.0,EL_to_NH3_[MY]
ID,MY,,,171.0,0.1,NH3_Storage_[MY]
ID,MY,,,171.0,0.0,NH3_to_EL_[MY]
ID,MY,,,171.0,0.0,NH3_to_HTH_[MY]
ID,MY,,,171.0,0.0,EL_Demand_[MY]
ID,MY,,,171.0,0.0,HTH_Demand_[MY]
ID,MY,,,171.0,0.0,NH3_Transport_[ID-MY]
ID,MY,,,171.0,0.2,EL_Transport_[ID-MY]
ID,MY,,,299.3,0.0,RE_PV_Rooftop_Lim_[ID]
ID,MY,,,299.3,1.4,RE_PV_Openfield_Lim_[ID]
ID,MY,,,299.3,0.0,RE_WIND_Onshore_Lim_[ID]
ID,MY,,,299.3,11.0,RE_WIND_Offshore_Lim_[ID]
ID,MY,,,299.3,26.5,PP_CO2_[ID]
ID,MY,,,299.3,0.0,BESS_[ID]
ID,MY,,,299.3,14.2,EL_to_HTH_[ID]
ID,MY,,,299.3,0.0,EL_to_NH3_[ID]
ID,MY,,,299.3,0.4,NH3_Storage_[ID]
ID,MY,,,299.3,0.0,NH3_to_EL_[ID]
ID,MY,,,299.3,0.0,NH3_to_HTH_[ID]
ID,MY,,,299.3,0.0,EL_Demand_[ID]
ID,MY,,,299.3,0.0,HTH_Demand_[ID]
ID,MY,,,299.3,0.0,RE_PV_Rooftop_Lim_[MY]
ID,MY,,,299.3,0.1,RE_PV_Openfield_Lim_[MY]
ID,MY,,,299.3,0.0,RE_WIND_Onshore_Lim_[MY]
ID,MY,,,299.3,0.0,RE_WIND_Offshore_Lim_[MY]
ID,MY,,,299.3,6.8,PP_CO2_[MY]
ID,MY,,,299.3,0.0,BESS_[MY]
ID,MY,,,299.3,1.5,EL_to_HTH_[MY]
ID,MY,,,299.3,0.0,EL_to_NH3_[MY]
ID,MY,,,299.3,0.0,NH3_Storage_[MY]
ID,MY,,,299.3,0.0,NH3_to_EL_[MY]
