country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,PH,,,165.8,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,165.8,2.1,RE_PV_Openfield_Lim_[ID]
ID,PH,,,165.8,0.0,RE_WIND_Onshore_Lim_[ID]
ID,PH,,,165.8,20.2,RE_WIND_Offshore_Lim_[ID]
ID,PH,,,165.8,18.6,PP_CO2_[ID]
ID,PH,,,165.8,0.0,BESS_[ID]
ID,PH,,,165.8,14.1,EL_to_HTH_[ID]
ID,PH,,,165.8,0.1,EL_to_NH3_[ID]
ID,PH,,,165.8,0.8,NH3_Storage_[ID]
ID,PH,,,165.8,0.0,NH3_to_EL_[ID]
ID,PH,,,165.8,0.1,NH3_to_HTH_[ID]
ID,PH,,,165.8,0.0,EL_Demand_[ID]
ID,PH,,,165.8,0.0,HTH_Demand_[ID]
ID,PH,,,165.8,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,165.8,0.2,RE_PV_Openfield_Lim_[PH]
ID,PH,,,165.8,2.9,RE_WIND_Onshore_Lim_[PH]
ID,PH,,,165.8,0.9,RE_WIND_Offshore_Lim_[PH]
ID,PH,,,165.8,3.2,PP_CO2_[PH]
ID,PH,,,165.8,0.0,BESS_[PH]
ID,PH,,,165.8,1.3,EL_to_HTH_[PH]
ID,PH,,,165.8,0.0,EL_to_NH3_[PH]
ID,PH,,,165.8,0.1,NH3_Storage_[PH]
ID,PH,,,165.8,0.0,NH3_to_EL_[PH]
ID,PH,,,165.8,0.0,NH3_to_HTH_[PH]
ID,PH,,,165.8,0.0,EL_Demand_[PH]
ID,PH,,,165.8,0.0,HTH_Demand_[PH]
ID,PH,,,290.1,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,290.1,1.0,RE_PV_Openfield_Lim_[ID]
ID,PH,,,290.1,0.0,RE_WIND_Onshore_Lim_[ID]
ID,PH,,,290.1,9.2,RE_WIND_Offshore_Lim_[ID]
ID,PH,,,290.1,28.3,PP_CO2_[ID]
ID,PH,,,290.1,0.0,BESS_[ID]
ID,PH,,,290.1,14.2,EL_to_HTH_[ID]
ID,PH,,,290.1,0.0,EL_to_NH3_[ID]
ID,PH,,,290.1,0.3,NH3_Storage_[ID]
ID,PH,,,290.1,0.0,NH3_to_EL_[ID]
ID,PH,,,290.1,0.0,NH3_to_HTH_[ID]
ID,PH,,,290.1,0.0,EL_Demand_[ID]
ID,PH,,,290.1,0.0,HTH_Demand_[ID]
ID,PH,,,290.1,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,290.1,0.2,RE_PV_Openfield_Lim_[PH]
ID,PH,,,290.1,2.6,RE_WIND_Onshore_Lim_[PH]
ID,PH,,,290.1,0.0,RE_WIND_Offshore_Lim_[PH]
ID,PH,,,290.1,4.1,PP_CO2_[PH]
ID,PH,,,290.1,0.0,BESS_[PH]
ID,PH,,,290.1,1.3,EL_to_HTH_[PH]
ID,PH,,,290.1,0.0,EL_to_NH3_[PH]
ID,PH,,,290.1,0.1,NH3_Storage_[PH]
ID,PH,,,290.1,0.0,NH3_to_EL_[PH]
ID,PH,,,290.1,0.0,NH3_to_HTH_[PH]
ID,PH,,,290.1,0.0,EL_Demand_[PH]
ID,PH,,,290.1,0.0,HTH_Demand_[PH]
ID,PH,,,414.4,0.0,RE_PV_Rooftop_Lim_[ID]
