country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,PH,,,118.4,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,118.4,5.6,RE_PV_Openfield_Lim_[ID]
ID,PH,,,118.4,0.0,RE_WIND_Onshore_Lim_[ID]
ID,PH,,,118.4,20.8,RE_WIND_Offshore_Lim_[ID]
ID,PH,,,118.4,14.4,PP_CO2_[ID]
ID,PH,,,118.4,0.0,BESS_[ID]
ID,PH,,,118.4,13.5,EL_to_HTH_[ID]
ID,PH,,,118.4,0.0,EL_to_NH3_[ID]
ID,PH,,,118.4,0.5,NH3_Storage_[ID]
ID,PH,,,118.4,0.0,NH3_to_EL_[ID]
ID,PH,,,118.4,0.1,NH3_to_HTH_[ID]
ID,PH,,,118.4,0.0,EL_Demand_[ID]
ID,PH,,,118.4,0.0,HTH_Demand_[ID]
ID,PH,,,118.4,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,118.4,0.5,RE_PV_Openfield_Lim_[PH]
ID,PH,,,118.4,3.5,RE_WIND_Onshore_Lim_[PH]
ID,PH,,,118.4,0.2,RE_WIND_Offshore_Lim_[PH]
ID,PH,,,118.4,1.8,PP_CO2_[PH]
ID,PH,,,118.4,0.0,BESS_[PH]
ID,PH,,,118.4,0.5,EL_to_HTH_[PH]
ID,PH,,,118.4,0.0,EL_to_NH3_[PH]
ID,PH,,,118.4,0.1,NH3_Storage_[PH]
ID,PH,,,118.4,0.0,NH3_to_EL_[PH]
ID,PH,,,118.4,0.0,NH3_to_HTH_[PH]
ID,PH,,,118.4,0.0,EL_Demand_[PH]
ID,PH,,,118.4,0.0,HTH_Demand_[PH]
ID,PH,,,118.4,0.0,NH3_Transport_[ID-PH]
ID,PH,,,118.4,0.9,EL_Transport_[ID-PH]
ID,PH,,,116.8,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,116.8,5.7,RE_PV_Openfield_Lim_[ID]
ID,PH,,,116.8,0.0,RE_WIND_Onshore_Lim_[ID]
ID,PH,,,116.8,20.9,RE_WIND_Offshore_Lim_[ID]
ID,PH,,,116.8,14.2,PP_CO2_[ID]
ID,PH,,,116.8,0.0,BESS_[ID]
ID,PH,,,116.8,13.5,EL_to_HTH_[ID]
ID,PH,,,116.8,0.0,EL_to_NH3_[ID]
ID,PH,,,116.8,0.6,NH3_Storage_[ID]
ID,PH,,,116.8,0.0,NH3_to_EL_[ID]
ID,PH,,,116.8,0.1,NH3_to_HTH_[ID]
ID,PH,,,116.8,0.0,EL_Demand_[ID]
ID,PH,,,116.8,0.0,HTH_Demand_[ID]
ID,PH,,,116.8,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,116.8,0.4,RE_PV_Openfield_Lim_[PH]
ID,PH,,,116.8,3.7,RE_WIND_Onshore_Lim_[PH]
ID,PH,,,116.8,0.0,RE_WIND_Offshore_Lim_[PH]
ID,PH,,,116.8,1.8,PP_CO2_[PH]
ID,PH,,,116.8,0.0,BESS_[PH]
ID,PH,,,116.8,0.5,EL_to_HTH_[PH]
ID,PH,,,116.8,0.0,EL_to_NH3_[PH]
ID,PH,,,116.8,0.1,NH3_Storage_[PH]
ID,PH,,,116.8,0.0,NH3_to_EL_[PH]
ID,PH,,,116.8,0.0,NH3_to_HTH_[PH]
ID,PH,,,116.8,0.0,EL_Demand_[PH]
ID,PH,,,116.8,0.0,HTH_Demand_[PH]
ID,PH,,,116.8,0.0,NH3_Transport_[ID-PH]
ID,PH,,,116.8,0.9,EL_Transport_[ID-PH]
ID,PH,,,115.4,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,115.4,5.7,RE_PV_Openfield_Lim_[ID]
ID,PH,,,115.4,0.0,RE_WIND_Onshore_Lim_[ID]
ID,PH,,,115.4,20.9,RE_WIND_Offshore_Lim_[ID]
ID,PH,,,115.4,14.0,PP_CO2_[ID]
ID,PH,,,115.4,0.0,BESS_[ID]
ID,PH,,,115.4,13.5,EL_to_HTH_[ID]
ID,PH,,,115.4,0.0,EL_to_NH3_[ID]
ID,PH,,,115.4,0.6,NH3_Storage_[ID]
ID,PH,,,115.4,0.0,NH3_to_EL_[ID]
ID,PH,,,115.4,0.1,NH3_to_HTH_[ID]
ID,PH,,,115.4,0.0,EL_Demand_[ID]
ID,PH,,,115.4,0.0,HTH_Demand_[ID]
ID,PH,,,115.4,0.0,RE_PV_Rooftop_Lim_[PH]
ID,PH,,,115.4,0.4,RE_PV_Openfield_Lim_[PH]
ID,PH,,,115.4,3.8,RE_WIND_Onshore_Lim_[PH]
ID,PH,,,115.4,0.0,RE_WIND_Offshore_Lim_[PH]
ID,PH,,,115.4,1.7,PP_CO2_[PH]
ID,PH,,,115.4,0.0,BESS_[PH]
ID,PH,,,115.4,0.5,EL_to_HTH_[PH]
ID,PH,,,115.4,0.0,EL_to_NH3_[PH]
ID,PH,,,115.4,0.1,NH3_Storage_[PH]
ID,PH,,,115.4,0.0,NH3_to_EL_[PH]
ID,PH,,,115.4,0.0,NH3_to_HTH_[PH]
ID,PH,,,115.4,0.0,EL_Demand_[PH]
ID,PH,,,115.4,0.0,HTH_Demand_[PH]
ID,PH,,,115.4,0.0,NH3_Transport_[ID-PH]
ID,PH,,,115.4,0.9,EL_Transport_[ID-PH]
ID,PH,,,116.2,0.0,RE_PV_Rooftop_Lim_[ID]
ID,PH,,,116.2,5.7,RE_PV_Openfield_Lim_[ID]
ID,PH,,,116.2,0.0,RE_WIND_Onshore_Lim_[ID]
