country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
EG,NG,KE,,55.8,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
EG,NG,KE,,55.8,0.2,9.7,RE_PV_Openfield_Lim_[KE]
EG,NG,KE,,55.8,1.1,24.2,RE_WIND_Onshore_Lim_[KE]
EG,NG,KE,,55.8,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
EG,NG,KE,,55.8,0.3,4.6,PP_CO2_[KE]
EG,NG,KE,,55.8,0.1,5.9,BESS_[KE]
EG,NG,KE,,55.8,0.1,5.7,EL_to_HTH_[KE]
EG,NG,KE,,55.8,0.0,0.0,EL_to_NH3_[KE]
EG,NG,KE,,55.8,0.0,0.0,NH3_Storage_[KE]
EG,NG,KE,,55.8,0.0,0.0,NH3_to_EL_[KE]
EG,NG,KE,,55.8,0.0,0.0,NH3_to_HTH_[KE]
EG,NG,KE,,55.8,0.2,5.5,FF_to_HTH_[KE]
EG,NG,KE,,55.8,0.0,12.0,EL_Demand_[KE]
EG,NG,KE,,55.8,0.0,5.8,HTH_Demand_[KE]
EG,NG,KE,,55.8,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,KE,,55.8,1.1,35.6,RE_PV_Openfield_Lim_[EG]
EG,NG,KE,,55.8,5.8,133.6,RE_WIND_Onshore_Lim_[EG]
EG,NG,KE,,55.8,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,KE,,55.8,0.4,7.6,PP_CO2_[EG]
EG,NG,KE,,55.8,0.4,22.0,BESS_[EG]
EG,NG,KE,,55.8,0.5,40.2,EL_to_HTH_[EG]
EG,NG,KE,,55.8,0.0,0.1,EL_to_NH3_[EG]
EG,NG,KE,,55.8,0.0,0.3,NH3_Storage_[EG]
EG,NG,KE,,55.8,0.0,0.0,NH3_to_EL_[EG]
EG,NG,KE,,55.8,0.0,0.2,NH3_to_HTH_[EG]
EG,NG,KE,,55.8,1.4,39.9,FF_to_HTH_[EG]
EG,NG,KE,,55.8,0.0,76.9,EL_Demand_[EG]
EG,NG,KE,,55.8,0.0,41.1,HTH_Demand_[EG]
EG,NG,KE,,55.8,0.0,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,KE,,55.8,3.4,215.2,RE_PV_Openfield_Lim_[NG]
EG,NG,KE,,55.8,9.2,197.7,RE_WIND_Onshore_Lim_[NG]
EG,NG,KE,,55.8,0.0,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,KE,,55.8,3.3,39.1,PP_CO2_[NG]
EG,NG,KE,,55.8,1.8,102.2,BESS_[NG]
EG,NG,KE,,55.8,0.5,44.6,EL_to_HTH_[NG]
EG,NG,KE,,55.8,0.0,0.0,EL_to_NH3_[NG]
EG,NG,KE,,55.8,0.0,0.0,NH3_Storage_[NG]
EG,NG,KE,,55.8,0.0,0.0,NH3_to_EL_[NG]
EG,NG,KE,,55.8,0.0,0.0,NH3_to_HTH_[NG]
EG,NG,KE,,55.8,3.1,45.2,FF_to_HTH_[NG]
EG,NG,KE,,55.8,0.0,91.0,EL_Demand_[NG]
EG,NG,KE,,55.8,0.0,47.0,HTH_Demand_[NG]
EG,NG,KE,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
EG,NG,KE,,0.0,0.3,20.2,RE_PV_Openfield_Lim_[KE]
EG,NG,KE,,0.0,1.2,26.3,RE_WIND_Onshore_Lim_[KE]
EG,NG,KE,,0.0,0.4,3.1,RE_WIND_Offshore_Lim_[KE]
EG,NG,KE,,0.0,0.0,0.0,PP_CO2_[KE]
EG,NG,KE,,0.0,0.3,15.2,BESS_[KE]
EG,NG,KE,,0.0,0.1,5.7,EL_to_HTH_[KE]
