country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
EG,NG,KE,,55.2,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
EG,NG,KE,,55.2,0.1,5.6,RE_PV_Openfield_Lim_[KE]
EG,NG,KE,,55.2,1.4,27.1,RE_WIND_Onshore_Lim_[KE]
EG,NG,KE,,55.2,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
EG,NG,KE,,55.2,0.0,0.0,PP_CO2_[KE]
EG,NG,KE,,55.2,0.0,1.9,BESS_[KE]
EG,NG,KE,,55.2,0.1,5.7,EL_to_HTH_[KE]
EG,NG,KE,,55.2,0.0,0.0,EL_to_NH3_[KE]
EG,NG,KE,,55.2,0.0,0.0,NH3_Storage_[KE]
EG,NG,KE,,55.2,0.0,0.0,NH3_to_EL_[KE]
EG,NG,KE,,55.2,0.0,0.0,NH3_to_HTH_[KE]
EG,NG,KE,,55.2,0.2,5.5,FF_to_HTH_[KE]
EG,NG,KE,,55.2,0.0,12.0,EL_Demand_[KE]
EG,NG,KE,,55.2,0.0,5.8,HTH_Demand_[KE]
EG,NG,KE,,55.2,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,KE,,55.2,0.0,0.0,RE_PV_Openfield_Lim_[EG]
EG,NG,KE,,55.2,7.2,152.1,RE_WIND_Onshore_Lim_[EG]
EG,NG,KE,,55.2,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,KE,,55.2,0.0,0.0,PP_CO2_[EG]
EG,NG,KE,,55.2,0.0,0.0,BESS_[EG]
EG,NG,KE,,55.2,0.4,39.7,EL_to_HTH_[EG]
EG,NG,KE,,55.2,0.0,0.0,EL_to_NH3_[EG]
EG,NG,KE,,55.2,0.0,0.1,NH3_Storage_[EG]
EG,NG,KE,,55.2,0.0,0.0,NH3_to_EL_[EG]
EG,NG,KE,,55.2,0.0,0.1,NH3_to_HTH_[EG]
EG,NG,KE,,55.2,1.7,38.7,FF_to_HTH_[EG]
EG,NG,KE,,55.2,0.0,76.9,EL_Demand_[EG]
EG,NG,KE,,55.2,0.0,41.1,HTH_Demand_[EG]
EG,NG,KE,,55.2,0.0,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,KE,,55.2,2.9,180.5,RE_PV_Openfield_Lim_[NG]
EG,NG,KE,,55.2,6.6,131.0,RE_WIND_Onshore_Lim_[NG]
EG,NG,KE,,55.2,0.0,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,KE,,55.2,1.9,24.3,PP_CO2_[NG]
EG,NG,KE,,55.2,1.4,78.7,BESS_[NG]
EG,NG,KE,,55.2,0.5,43.6,EL_to_HTH_[NG]
EG,NG,KE,,55.2,0.0,0.0,EL_to_NH3_[NG]
EG,NG,KE,,55.2,0.0,0.0,NH3_Storage_[NG]
EG,NG,KE,,55.2,0.0,0.0,NH3_to_EL_[NG]
EG,NG,KE,,55.2,0.0,0.0,NH3_to_HTH_[NG]
EG,NG,KE,,55.2,3.5,44.9,FF_to_HTH_[NG]
EG,NG,KE,,55.2,0.0,91.0,EL_Demand_[NG]
EG,NG,KE,,55.2,0.0,47.0,HTH_Demand_[NG]
