country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
EG,NG,KE,,52.29294442812248,2.633982345167719e-10,RE_PV_Rooftop_Lim_[KE]
EG,NG,KE,,52.29294442812248,0.06284297297142857,RE_PV_Openfield_Lim_[KE]
EG,NG,KE,,52.29294442812248,1.3214119732435035,RE_WIND_Onshore_Lim_[KE]
EG,NG,KE,,52.29294442812248,2.5424260941932954e-10,RE_WIND_Offshore_Lim_[KE]
EG,NG,KE,,52.29294442812248,2.1234503222413047e-07,PP_CO2_[KE]
EG,NG,KE,,52.29294442812248,0.03260545251562716,BESS_[KE]
EG,NG,KE,,52.29294442812248,0.06389773405599487,EL_to_HTH_[KE]
EG,NG,KE,,52.29294442812248,2.7483989208481957e-07,EL_to_NH3_[KE]
EG,NG,KE,,52.29294442812248,3.359905405900421e-07,NH3_Storage_[KE]
EG,NG,KE,,52.29294442812248,9.053953152857685e-08,NH3_to_EL_[KE]
EG,NG,KE,,52.29294442812248,1.396704170361503e-07,NH3_to_HTH_[KE]
EG,NG,KE,,52.29294442812248,0.21203045255483946,FF_to_HTH_[KE]
EG,NG,KE,,52.29294442812248,0.0,EL_Demand_[KE]
EG,NG,KE,,52.29294442812248,0.0,HTH_Demand_[KE]
EG,NG,KE,,52.29294442812248,1.1995098304619092e-10,RE_PV_Rooftop_Lim_[EG]
EG,NG,KE,,52.29294442812248,8.719173471137093e-10,RE_PV_Openfield_Lim_[EG]
EG,NG,KE,,52.29294442812248,6.748623895838238,RE_WIND_Onshore_Lim_[EG]
EG,NG,KE,,52.29294442812248,1.169349569843293e-10,RE_WIND_Offshore_Lim_[EG]
EG,NG,KE,,52.29294442812248,8.2090985697656e-08,PP_CO2_[EG]
EG,NG,KE,,52.29294442812248,7.409199621994872e-07,BESS_[EG]
EG,NG,KE,,52.29294442812248,0.4452638965041098,EL_to_HTH_[EG]
EG,NG,KE,,52.29294442812248,0.0008179261928919955,EL_to_NH3_[EG]
EG,NG,KE,,52.29294442812248,0.0014175652367647985,NH3_Storage_[EG]
EG,NG,KE,,52.29294442812248,8.306936541607134e-09,NH3_to_EL_[EG]
EG,NG,KE,,52.29294442812248,0.000755805367089421,NH3_to_HTH_[EG]
EG,NG,KE,,52.29294442812248,1.5685945987780003,FF_to_HTH_[EG]
EG,NG,KE,,52.29294442812248,0.0,EL_Demand_[EG]
EG,NG,KE,,52.29294442812248,0.0,HTH_Demand_[EG]
EG,NG,KE,,52.29294442812248,3.995791403852741e-10,RE_PV_Rooftop_Lim_[NG]
EG,NG,KE,,52.29294442812248,2.8384461848647904,RE_PV_Openfield_Lim_[NG]
EG,NG,KE,,52.29294442812248,6.270108976631965,RE_WIND_Onshore_Lim_[NG]
EG,NG,KE,,52.29294442812248,1.489714964214916e-10,RE_WIND_Offshore_Lim_[NG]
EG,NG,KE,,52.29294442812248,1.760127753912773,PP_CO2_[NG]
EG,NG,KE,,52.29294442812248,1.430295713683646,BESS_[NG]
EG,NG,KE,,52.29294442812248,0.4898348003522253,EL_to_HTH_[NG]
