country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
EG,KE,,,26.9,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
EG,KE,,,26.9,0.2,10.1,RE_PV_Openfield_Lim_[KE]
EG,KE,,,26.9,1.0,21.2,RE_WIND_Onshore_Lim_[KE]
EG,KE,,,26.9,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
EG,KE,,,26.9,0.6,7.8,PP_CO2_[KE]
EG,KE,,,26.9,0.1,4.2,BESS_[KE]
EG,KE,,,26.9,0.1,5.7,EL_to_HTH_[KE]
EG,KE,,,26.9,0.0,0.0,EL_to_NH3_[KE]
EG,KE,,,26.9,0.0,0.0,NH3_Storage_[KE]
EG,KE,,,26.9,0.0,0.0,NH3_to_EL_[KE]
EG,KE,,,26.9,0.0,0.0,NH3_to_HTH_[KE]
EG,KE,,,26.9,0.3,5.6,FF_to_HTH_[KE]
EG,KE,,,26.9,0.0,12.2,EL_Demand_[KE]
EG,KE,,,26.9,0.0,5.8,HTH_Demand_[KE]
EG,KE,,,26.9,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,KE,,,26.9,1.2,37.8,RE_PV_Openfield_Lim_[EG]
EG,KE,,,26.9,6.0,137.1,RE_WIND_Onshore_Lim_[EG]
EG,KE,,,26.9,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,KE,,,26.9,1.8,29.9,PP_CO2_[EG]
EG,KE,,,26.9,0.3,18.4,BESS_[EG]
EG,KE,,,26.9,0.4,40.1,EL_to_HTH_[EG]
EG,KE,,,26.9,0.0,0.0,EL_to_NH3_[EG]
EG,KE,,,26.9,0.0,0.0,NH3_Storage_[EG]
EG,KE,,,26.9,0.0,0.0,NH3_to_EL_[EG]
EG,KE,,,26.9,0.0,0.0,NH3_to_HTH_[EG]
EG,KE,,,26.9,2.1,39.4,FF_to_HTH_[EG]
EG,KE,,,26.9,0.0,76.9,EL_Demand_[EG]
EG,KE,,,26.9,0.0,41.1,HTH_Demand_[EG]
EG,KE,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
EG,KE,,,0.0,0.6,38.6,RE_PV_Openfield_Lim_[KE]
EG,KE,,,0.0,1.2,26.6,RE_WIND_Onshore_Lim_[KE]
EG,KE,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
EG,KE,,,0.0,0.0,0.0,PP_CO2_[KE]
EG,KE,,,0.0,0.8,44.8,BESS_[KE]
EG,KE,,,0.0,0.1,5.7,EL_to_HTH_[KE]
EG,KE,,,0.0,0.1,2.6,EL_to_NH3_[KE]
