country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BN,KH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
BN,KH,,,0.0,0.6,30.4,RE_PV_Openfield_Lim_[KH]
BN,KH,,,0.0,1.7,35.6,RE_WIND_Onshore_Lim_[KH]
BN,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
BN,KH,,,0.0,0.0,0.0,PP_CO2_[KH]
BN,KH,,,0.0,0.0,0.0,BESS_[KH]
BN,KH,,,0.0,0.1,11.2,EL_to_HTH_[KH]
BN,KH,,,0.0,0.3,5.5,EL_to_NH3_[KH]
BN,KH,,,0.0,0.7,39.8,NH3_Storage_[KH]
BN,KH,,,0.0,0.0,0.0,NH3_to_EL_[KH]
BN,KH,,,0.0,0.0,1.9,NH3_to_HTH_[KH]
BN,KH,,,0.0,0.0,0.0,FF_to_HTH_[KH]
BN,KH,,,0.0,0.0,2.8,EL_Demand_[KH]
BN,KH,,,0.0,0.0,11.5,HTH_Demand_[KH]
BN,KH,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,KH,,,0.0,0.1,3.4,RE_PV_Openfield_Lim_[BN]
BN,KH,,,0.0,0.0,0.1,RE_WIND_Onshore_Lim_[BN]
BN,KH,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,KH,,,0.0,0.0,0.0,PP_CO2_[BN]
BN,KH,,,0.0,0.0,2.2,BESS_[BN]
BN,KH,,,0.0,0.0,0.1,EL_to_HTH_[BN]
BN,KH,,,0.0,0.0,0.1,EL_to_NH3_[BN]
BN,KH,,,0.0,0.3,20.4,NH3_Storage_[BN]
BN,KH,,,0.0,0.0,0.4,NH3_to_EL_[BN]
BN,KH,,,0.0,0.0,0.0,NH3_to_HTH_[BN]
BN,KH,,,0.0,0.0,0.0,FF_to_HTH_[BN]
BN,KH,,,0.0,0.0,1.5,EL_Demand_[BN]
BN,KH,,,0.0,0.0,0.1,HTH_Demand_[BN]
BN,KH,,,0.0,0.0,20.8,NH3_Transport_[KH-BN]
BN,KH,,,0.0,0.1,1.1,EL_Transport_[KH-BN]
BN,KH,,,1.3,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
BN,KH,,,1.3,0.5,23.9,RE_PV_Openfield_Lim_[KH]
BN,KH,,,1.3,1.8,37.7,RE_WIND_Onshore_Lim_[KH]
BN,KH,,,1.3,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
BN,KH,,,1.3,0.0,0.0,PP_CO2_[KH]
BN,KH,,,1.3,0.0,1.1,BESS_[KH]
BN,KH,,,1.3,0.1,11.2,EL_to_HTH_[KH]
BN,KH,,,1.3,0.2,2.6,EL_to_NH3_[KH]
BN,KH,,,1.3,0.2,11.8,NH3_Storage_[KH]
BN,KH,,,1.3,0.0,0.0,NH3_to_EL_[KH]
BN,KH,,,1.3,0.0,0.9,NH3_to_HTH_[KH]
BN,KH,,,1.3,0.2,6.8,FF_to_HTH_[KH]
BN,KH,,,1.3,0.0,2.8,EL_Demand_[KH]
BN,KH,,,1.3,0.0,11.5,HTH_Demand_[KH]
BN,KH,,,1.3,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,KH,,,1.3,0.1,3.3,RE_PV_Openfield_Lim_[BN]
BN,KH,,,1.3,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
BN,KH,,,1.3,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,KH,,,1.3,0.0,0.0,PP_CO2_[BN]
BN,KH,,,1.3,0.0,1.8,BESS_[BN]
BN,KH,,,1.3,0.0,0.1,EL_to_HTH_[BN]
BN,KH,,,1.3,0.0,0.4,EL_to_NH3_[BN]
BN,KH,,,1.3,0.1,3.5,NH3_Storage_[BN]
BN,KH,,,1.3,0.0,0.0,NH3_to_EL_[BN]
BN,KH,,,1.3,0.0,0.0,NH3_to_HTH_[BN]
BN,KH,,,1.3,0.0,0.0,FF_to_HTH_[BN]
BN,KH,,,1.3,0.0,1.5,EL_Demand_[BN]
BN,KH,,,1.3,0.0,0.1,HTH_Demand_[BN]
BN,KH,,,1.3,0.0,3.5,NH3_Transport_[KH-BN]
BN,KH,,,1.3,0.1,1.2,EL_Transport_[KH-BN]
BN,KH,,,2.7,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
BN,KH,,,2.7,0.4,20.9,RE_PV_Openfield_Lim_[KH]
BN,KH,,,2.7,1.6,33.9,RE_WIND_Onshore_Lim_[KH]
BN,KH,,,2.7,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
BN,KH,,,2.7,0.0,0.0,PP_CO2_[KH]
BN,KH,,,2.7,0.0,1.2,BESS_[KH]
BN,KH,,,2.7,0.1,11.1,EL_to_HTH_[KH]
BN,KH,,,2.7,0.1,0.9,EL_to_NH3_[KH]
BN,KH,,,2.7,0.0,2.3,NH3_Storage_[KH]
BN,KH,,,2.7,0.0,0.0,NH3_to_EL_[KH]
BN,KH,,,2.7,0.0,0.4,NH3_to_HTH_[KH]
BN,KH,,,2.7,0.3,9.3,FF_to_HTH_[KH]
BN,KH,,,2.7,0.0,2.8,EL_Demand_[KH]
BN,KH,,,2.7,0.0,11.5,HTH_Demand_[KH]
BN,KH,,,2.7,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,KH,,,2.7,0.1,3.3,RE_PV_Openfield_Lim_[BN]
BN,KH,,,2.7,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
BN,KH,,,2.7,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,KH,,,2.7,0.0,0.0,PP_CO2_[BN]
BN,KH,,,2.7,0.0,1.3,BESS_[BN]
BN,KH,,,2.7,0.0,0.1,EL_to_HTH_[BN]
BN,KH,,,2.7,0.0,0.3,EL_to_NH3_[BN]
BN,KH,,,2.7,0.0,1.5,NH3_Storage_[BN]
BN,KH,,,2.7,0.0,0.1,NH3_to_EL_[BN]
BN,KH,,,2.7,0.0,0.0,NH3_to_HTH_[BN]
BN,KH,,,2.7,0.0,0.0,FF_to_HTH_[BN]
BN,KH,,,2.7,0.0,1.5,EL_Demand_[BN]
BN,KH,,,2.7,0.0,0.1,HTH_Demand_[BN]
BN,KH,,,2.7,0.0,1.6,NH3_Transport_[KH-BN]
BN,KH,,,2.7,0.1,1.2,EL_Transport_[KH-BN]
BN,KH,,,4.0,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
BN,KH,,,4.0,0.4,19.3,RE_PV_Openfield_Lim_[KH]
BN,KH,,,4.0,1.3,27.8,RE_WIND_Onshore_Lim_[KH]
BN,KH,,,4.0,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
BN,KH,,,4.0,0.0,0.0,PP_CO2_[KH]
BN,KH,,,4.0,0.0,2.2,BESS_[KH]
BN,KH,,,4.0,0.1,11.2,EL_to_HTH_[KH]
BN,KH,,,4.0,0.0,0.2,EL_to_NH3_[KH]
BN,KH,,,4.0,0.0,0.4,NH3_Storage_[KH]
BN,KH,,,4.0,0.0,0.0,NH3_to_EL_[KH]
BN,KH,,,4.0,0.0,0.1,NH3_to_HTH_[KH]
BN,KH,,,4.0,0.5,11.0,FF_to_HTH_[KH]
BN,KH,,,4.0,0.0,2.8,EL_Demand_[KH]
BN,KH,,,4.0,0.0,11.5,HTH_Demand_[KH]
BN,KH,,,4.0,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,KH,,,4.0,0.1,3.2,RE_PV_Openfield_Lim_[BN]
BN,KH,,,4.0,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
BN,KH,,,4.0,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,KH,,,4.0,0.0,0.0,PP_CO2_[BN]
BN,KH,,,4.0,0.1,2.8,BESS_[BN]
BN,KH,,,4.0,0.0,0.1,EL_to_HTH_[BN]
BN,KH,,,4.0,0.0,0.0,EL_to_NH3_[BN]
BN,KH,,,4.0,0.0,0.1,NH3_Storage_[BN]
BN,KH,,,4.0,0.0,0.0,NH3_to_EL_[BN]
BN,KH,,,4.0,0.0,0.0,NH3_to_HTH_[BN]
BN,KH,,,4.0,0.0,0.1,FF_to_HTH_[BN]
BN,KH,,,4.0,0.0,1.5,EL_Demand_[BN]
BN,KH,,,4.0,0.0,0.1,HTH_Demand_[BN]
BN,KH,,,4.0,0.0,0.2,NH3_Transport_[KH-BN]
BN,KH,,,4.0,0.1,1.1,EL_Transport_[KH-BN]
BN,KH,,,5.4,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
BN,KH,,,5.4,0.3,15.8,RE_PV_Openfield_Lim_[KH]
BN,KH,,,5.4,1.1,23.6,RE_WIND_Onshore_Lim_[KH]
BN,KH,,,5.4,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
BN,KH,,,5.4,0.0,0.4,PP_CO2_[KH]
BN,KH,,,5.4,0.0,1.5,BESS_[KH]
BN,KH,,,5.4,0.1,11.2,EL_to_HTH_[KH]
BN,KH,,,5.4,0.0,0.0,EL_to_NH3_[KH]
BN,KH,,,5.4,0.0,0.1,NH3_Storage_[KH]
BN,KH,,,5.4,0.0,0.0,NH3_to_EL_[KH]
BN,KH,,,5.4,0.0,0.0,NH3_to_HTH_[KH]
BN,KH,,,5.4,0.6,11.2,FF_to_HTH_[KH]
BN,KH,,,5.4,0.0,2.8,EL_Demand_[KH]
BN,KH,,,5.4,0.0,11.5,HTH_Demand_[KH]
BN,KH,,,5.4,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
