country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
ID,KH,VN,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
ID,KH,VN,,0.0,0.6,30.0,RE_PV_Openfield_Lim_[KH]
ID,KH,VN,,0.0,1.6,33.1,RE_WIND_Onshore_Lim_[KH]
ID,KH,VN,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
ID,KH,VN,,0.0,0.0,0.0,PP_CO2_[KH]
ID,KH,VN,,0.0,0.0,1.1,BESS_[KH]
ID,KH,VN,,0.0,0.1,11.1,EL_to_HTH_[KH]
ID,KH,VN,,0.0,0.3,4.8,EL_to_NH3_[KH]
ID,KH,VN,,0.0,1.2,69.1,NH3_Storage_[KH]
ID,KH,VN,,0.0,0.0,0.0,NH3_to_EL_[KH]
ID,KH,VN,,0.0,0.0,2.0,NH3_to_HTH_[KH]
ID,KH,VN,,0.0,0.0,0.0,FF_to_HTH_[KH]
ID,KH,VN,,0.0,0.0,2.8,EL_Demand_[KH]
ID,KH,VN,,0.0,0.0,11.5,HTH_Demand_[KH]
ID,KH,VN,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
ID,KH,VN,,0.0,3.5,169.6,RE_PV_Openfield_Lim_[VN]
ID,KH,VN,,0.0,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
ID,KH,VN,,0.0,0.5,8.6,RE_WIND_Offshore_Lim_[VN]
ID,KH,VN,,0.0,0.0,0.0,PP_CO2_[VN]
ID,KH,VN,,0.0,2.4,133.2,BESS_[VN]
ID,KH,VN,,0.0,0.5,45.8,EL_to_HTH_[VN]
ID,KH,VN,,0.0,1.2,20.7,EL_to_NH3_[VN]
ID,KH,VN,,0.0,5.8,348.7,NH3_Storage_[VN]
ID,KH,VN,,0.0,0.3,3.4,NH3_to_EL_[VN]
ID,KH,VN,,0.0,0.1,9.0,NH3_to_HTH_[VN]
ID,KH,VN,,0.0,0.0,0.0,FF_to_HTH_[VN]
ID,KH,VN,,0.0,0.0,51.6,EL_Demand_[VN]
ID,KH,VN,,0.0,0.0,46.8,HTH_Demand_[VN]
ID,KH,VN,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,KH,VN,,0.0,8.5,412.5,RE_PV_Openfield_Lim_[ID]
ID,KH,VN,,0.0,32.1,666.0,RE_WIND_Onshore_Lim_[ID]
ID,KH,VN,,0.0,8.1,154.0,RE_WIND_Offshore_Lim_[ID]
ID,KH,VN,,0.0,0.0,0.0,PP_CO2_[ID]
ID,KH,VN,,0.0,2.4,131.7,BESS_[ID]
ID,KH,VN,,0.0,1.3,115.6,EL_to_HTH_[ID]
ID,KH,VN,,0.0,2.3,40.3,EL_to_NH3_[ID]
ID,KH,VN,,0.0,15.1,903.3,NH3_Storage_[ID]
ID,KH,VN,,0.0,0.0,0.5,NH3_to_EL_[ID]
ID,KH,VN,,0.0,0.3,22.1,NH3_to_HTH_[ID]
ID,KH,VN,,0.0,0.0,0.0,FF_to_HTH_[ID]
ID,KH,VN,,0.0,0.0,138.0,EL_Demand_[ID]
ID,KH,VN,,0.0,0.0,117.7,HTH_Demand_[ID]
ID,KH,VN,,29.1,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
ID,KH,VN,,29.1,0.5,24.1,RE_PV_Openfield_Lim_[KH]
ID,KH,VN,,29.1,1.8,37.8,RE_WIND_Onshore_Lim_[KH]
ID,KH,VN,,29.1,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
ID,KH,VN,,29.1,0.0,0.0,PP_CO2_[KH]
ID,KH,VN,,29.1,0.1,3.1,BESS_[KH]
ID,KH,VN,,29.1,0.1,11.3,EL_to_HTH_[KH]
ID,KH,VN,,29.1,0.1,2.6,EL_to_NH3_[KH]
ID,KH,VN,,29.1,0.2,13.1,NH3_Storage_[KH]
ID,KH,VN,,29.1,0.0,0.0,NH3_to_EL_[KH]
ID,KH,VN,,29.1,0.0,1.0,NH3_to_HTH_[KH]
ID,KH,VN,,29.1,0.2,6.1,FF_to_HTH_[KH]
ID,KH,VN,,29.1,0.0,2.8,EL_Demand_[KH]
ID,KH,VN,,29.1,0.0,11.5,HTH_Demand_[KH]
ID,KH,VN,,29.1,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
ID,KH,VN,,29.1,2.4,118.1,RE_PV_Openfield_Lim_[VN]
ID,KH,VN,,29.1,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
ID,KH,VN,,29.1,1.6,30.9,RE_WIND_Offshore_Lim_[VN]
ID,KH,VN,,29.1,0.0,0.0,PP_CO2_[VN]
ID,KH,VN,,29.1,1.8,99.8,BESS_[VN]
ID,KH,VN,,29.1,0.5,45.6,EL_to_HTH_[VN]
ID,KH,VN,,29.1,0.4,6.6,EL_to_NH3_[VN]
ID,KH,VN,,29.1,1.2,72.7,NH3_Storage_[VN]
ID,KH,VN,,29.1,0.4,4.6,NH3_to_EL_[VN]
ID,KH,VN,,29.1,0.0,2.2,NH3_to_HTH_[VN]
ID,KH,VN,,29.1,1.1,35.2,FF_to_HTH_[VN]
ID,KH,VN,,29.1,0.0,51.6,EL_Demand_[VN]
ID,KH,VN,,29.1,0.0,46.8,HTH_Demand_[VN]
ID,KH,VN,,29.1,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,KH,VN,,29.1,7.6,370.1,RE_PV_Openfield_Lim_[ID]
ID,KH,VN,,29.1,32.1,666.0,RE_WIND_Onshore_Lim_[ID]
ID,KH,VN,,29.1,5.5,105.0,RE_WIND_Offshore_Lim_[ID]
ID,KH,VN,,29.1,0.0,0.0,PP_CO2_[ID]
ID,KH,VN,,29.1,3.1,170.6,BESS_[ID]
ID,KH,VN,,29.1,1.3,115.6,EL_to_HTH_[ID]
ID,KH,VN,,29.1,1.1,18.6,EL_to_NH3_[ID]
ID,KH,VN,,29.1,1.1,68.8,NH3_Storage_[ID]
ID,KH,VN,,29.1,0.0,0.0,NH3_to_EL_[ID]
ID,KH,VN,,29.1,0.1,6.3,NH3_to_HTH_[ID]
ID,KH,VN,,29.1,2.7,84.6,FF_to_HTH_[ID]
ID,KH,VN,,29.1,0.0,138.0,EL_Demand_[ID]
ID,KH,VN,,29.1,0.0,117.7,HTH_Demand_[ID]
ID,KH,VN,,58.2,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
ID,KH,VN,,58.2,0.4,19.8,RE_PV_Openfield_Lim_[KH]
ID,KH,VN,,58.2,1.3,27.2,RE_WIND_Onshore_Lim_[KH]
ID,KH,VN,,58.2,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
ID,KH,VN,,58.2,0.0,0.0,PP_CO2_[KH]
ID,KH,VN,,58.2,0.0,0.7,BESS_[KH]
ID,KH,VN,,58.2,0.1,11.1,EL_to_HTH_[KH]
ID,KH,VN,,58.2,0.0,0.3,EL_to_NH3_[KH]
ID,KH,VN,,58.2,0.0,0.7,NH3_Storage_[KH]
ID,KH,VN,,58.2,0.0,0.0,NH3_to_EL_[KH]
ID,KH,VN,,58.2,0.0,0.1,NH3_to_HTH_[KH]
ID,KH,VN,,58.2,0.4,10.2,FF_to_HTH_[KH]
ID,KH,VN,,58.2,0.0,2.8,EL_Demand_[KH]
ID,KH,VN,,58.2,0.0,11.5,HTH_Demand_[KH]
ID,KH,VN,,58.2,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
ID,KH,VN,,58.2,1.7,81.5,RE_PV_Openfield_Lim_[VN]
ID,KH,VN,,58.2,9.9,206.0,RE_WIND_Onshore_Lim_[VN]
ID,KH,VN,,58.2,1.3,24.7,RE_WIND_Offshore_Lim_[VN]
ID,KH,VN,,58.2,0.1,2.2,PP_CO2_[VN]
ID,KH,VN,,58.2,1.7,92.2,BESS_[VN]
ID,KH,VN,,58.2,0.5,45.8,EL_to_HTH_[VN]
ID,KH,VN,,58.2,0.2,3.1,EL_to_NH3_[VN]
ID,KH,VN,,58.2,0.7,39.7,NH3_Storage_[VN]
ID,KH,VN,,58.2,0.3,4.3,NH3_to_EL_[VN]
ID,KH,VN,,58.2,0.0,1.0,NH3_to_HTH_[VN]
ID,KH,VN,,58.2,1.6,45.4,FF_to_HTH_[VN]
ID,KH,VN,,58.2,0.0,51.6,EL_Demand_[VN]
ID,KH,VN,,58.2,0.0,46.8,HTH_Demand_[VN]
ID,KH,VN,,58.2,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,KH,VN,,58.2,4.8,234.2,RE_PV_Openfield_Lim_[ID]
ID,KH,VN,,58.2,30.1,624.0,RE_WIND_Onshore_Lim_[ID]
ID,KH,VN,,58.2,3.9,74.5,RE_WIND_Offshore_Lim_[ID]
ID,KH,VN,,58.2,0.3,5.9,PP_CO2_[ID]
ID,KH,VN,,58.2,2.5,140.1,BESS_[ID]
ID,KH,VN,,58.2,1.3,115.6,EL_to_HTH_[ID]
ID,KH,VN,,58.2,0.1,2.2,EL_to_NH3_[ID]
ID,KH,VN,,58.2,0.3,17.5,NH3_Storage_[ID]
ID,KH,VN,,58.2,0.2,2.2,NH3_to_EL_[ID]
ID,KH,VN,,58.2,0.0,0.8,NH3_to_HTH_[ID]
ID,KH,VN,,58.2,5.0,115.6,FF_to_HTH_[ID]
ID,KH,VN,,58.2,0.0,138.0,EL_Demand_[ID]
ID,KH,VN,,58.2,0.0,117.7,HTH_Demand_[ID]
ID,KH,VN,,87.3,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
ID,KH,VN,,87.3,0.4,18.9,RE_PV_Openfield_Lim_[KH]
ID,KH,VN,,87.3,1.2,24.2,RE_WIND_Onshore_Lim_[KH]
ID,KH,VN,,87.3,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
ID,KH,VN,,87.3,0.0,0.0,PP_CO2_[KH]
ID,KH,VN,,87.3,0.0,0.8,BESS_[KH]
ID,KH,VN,,87.3,0.1,11.2,EL_to_HTH_[KH]
ID,KH,VN,,87.3,0.0,0.1,EL_to_NH3_[KH]
ID,KH,VN,,87.3,0.0,0.2,NH3_Storage_[KH]
ID,KH,VN,,87.3,0.0,0.0,NH3_to_EL_[KH]
ID,KH,VN,,87.3,0.0,0.1,NH3_to_HTH_[KH]
ID,KH,VN,,87.3,0.5,10.9,FF_to_HTH_[KH]
ID,KH,VN,,87.3,0.0,2.8,EL_Demand_[KH]
ID,KH,VN,,87.3,0.0,11.5,HTH_Demand_[KH]
ID,KH,VN,,87.3,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
