country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,MY,ID,,174.0,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
KR,MY,ID,,174.0,2.1,130.0,RE_PV_Openfield_Lim_[KR]
KR,MY,ID,,174.0,1.3,33.0,RE_WIND_Onshore_Lim_[KR]
KR,MY,ID,,174.0,3.8,25.9,RE_WIND_Offshore_Lim_[KR]
KR,MY,ID,,174.0,6.7,69.2,PP_CO2_[KR]
KR,MY,ID,,174.0,2.5,139.1,BESS_[KR]
KR,MY,ID,,174.0,0.3,22.7,EL_to_HTH_[KR]
KR,MY,ID,,174.0,0.0,0.0,EL_to_NH3_[KR]
KR,MY,ID,,174.0,0.0,0.0,NH3_Storage_[KR]
KR,MY,ID,,174.0,0.0,0.0,NH3_to_EL_[KR]
KR,MY,ID,,174.0,0.0,0.0,NH3_to_HTH_[KR]
KR,MY,ID,,174.0,2.8,23.7,FF_to_HTH_[KR]
KR,MY,ID,,174.0,0.0,93.8,EL_Demand_[KR]
KR,MY,ID,,174.0,0.0,23.8,HTH_Demand_[KR]
KR,MY,ID,,174.0,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
KR,MY,ID,,174.0,3.2,154.8,RE_PV_Openfield_Lim_[ID]
KR,MY,ID,,174.0,18.9,392.9,RE_WIND_Onshore_Lim_[ID]
KR,MY,ID,,174.0,12.6,239.6,RE_WIND_Offshore_Lim_[ID]
KR,MY,ID,,174.0,1.5,23.2,PP_CO2_[ID]
KR,MY,ID,,174.0,0.0,0.0,BESS_[ID]
KR,MY,ID,,174.0,1.3,116.6,EL_to_HTH_[ID]
KR,MY,ID,,174.0,0.0,0.0,EL_to_NH3_[ID]
KR,MY,ID,,174.0,0.0,0.0,NH3_Storage_[ID]
KR,MY,ID,,174.0,0.0,0.0,NH3_to_EL_[ID]
KR,MY,ID,,174.0,0.0,0.0,NH3_to_HTH_[ID]
KR,MY,ID,,174.0,8.0,117.7,FF_to_HTH_[ID]
KR,MY,ID,,174.0,0.0,138.0,EL_Demand_[ID]
KR,MY,ID,,174.0,0.0,117.7,HTH_Demand_[ID]
KR,MY,ID,,174.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
KR,MY,ID,,174.0,1.0,47.3,RE_PV_Openfield_Lim_[MY]
KR,MY,ID,,174.0,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
KR,MY,ID,,174.0,0.1,2.5,RE_WIND_Offshore_Lim_[MY]
KR,MY,ID,,174.0,0.2,2.6,PP_CO2_[MY]
KR,MY,ID,,174.0,0.6,34.0,BESS_[MY]
KR,MY,ID,,174.0,0.1,12.4,EL_to_HTH_[MY]
KR,MY,ID,,174.0,0.0,0.0,EL_to_NH3_[MY]
KR,MY,ID,,174.0,0.0,0.0,NH3_Storage_[MY]
KR,MY,ID,,174.0,0.0,0.0,NH3_to_EL_[MY]
KR,MY,ID,,174.0,0.0,0.0,NH3_to_HTH_[MY]
KR,MY,ID,,174.0,1.1,12.7,FF_to_HTH_[MY]
KR,MY,ID,,174.0,0.0,34.4,EL_Demand_[MY]
KR,MY,ID,,174.0,0.0,12.7,HTH_Demand_[MY]
KR,MY,ID,,174.0,0.0,0.0,NH3_Transport_[KR-ID]
