country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,MY,ID,,174.0,0.8,RE_PV_Rooftop_Lim_[KR]
KR,MY,ID,,174.0,2.1,RE_PV_Openfield_Lim_[KR]
KR,MY,ID,,174.0,1.3,RE_WIND_Onshore_Lim_[KR]
KR,MY,ID,,174.0,3.8,RE_WIND_Offshore_Lim_[KR]
KR,MY,ID,,174.0,6.7,PP_CO2_[KR]
KR,MY,ID,,174.0,2.5,BESS_[KR]
KR,MY,ID,,174.0,0.3,EL_to_HTH_[KR]
KR,MY,ID,,174.0,0.0,EL_to_NH3_[KR]
KR,MY,ID,,174.0,0.0,NH3_Storage_[KR]
KR,MY,ID,,174.0,0.0,NH3_to_EL_[KR]
KR,MY,ID,,174.0,0.0,NH3_to_HTH_[KR]
KR,MY,ID,,174.0,2.8,FF_to_HTH_[KR]
KR,MY,ID,,174.0,0.0,EL_Demand_[KR]
KR,MY,ID,,174.0,0.0,HTH_Demand_[KR]
KR,MY,ID,,174.0,0.0,RE_PV_Rooftop_Lim_[ID]
KR,MY,ID,,174.0,3.2,RE_PV_Openfield_Lim_[ID]
KR,MY,ID,,174.0,18.9,RE_WIND_Onshore_Lim_[ID]
KR,MY,ID,,174.0,12.6,RE_WIND_Offshore_Lim_[ID]
KR,MY,ID,,174.0,1.5,PP_CO2_[ID]
KR,MY,ID,,174.0,0.0,BESS_[ID]
KR,MY,ID,,174.0,1.3,EL_to_HTH_[ID]
KR,MY,ID,,174.0,0.0,EL_to_NH3_[ID]
KR,MY,ID,,174.0,0.0,NH3_Storage_[ID]
KR,MY,ID,,174.0,0.0,NH3_to_EL_[ID]
KR,MY,ID,,174.0,0.0,NH3_to_HTH_[ID]
KR,MY,ID,,174.0,8.0,FF_to_HTH_[ID]
KR,MY,ID,,174.0,0.0,EL_Demand_[ID]
KR,MY,ID,,174.0,0.0,HTH_Demand_[ID]
KR,MY,ID,,174.0,0.0,RE_PV_Rooftop_Lim_[MY]
KR,MY,ID,,174.0,1.0,RE_PV_Openfield_Lim_[MY]
KR,MY,ID,,174.0,4.8,RE_WIND_Onshore_Lim_[MY]
KR,MY,ID,,174.0,0.1,RE_WIND_Offshore_Lim_[MY]
KR,MY,ID,,174.0,0.2,PP_CO2_[MY]
KR,MY,ID,,174.0,0.6,BESS_[MY]
KR,MY,ID,,174.0,0.1,EL_to_HTH_[MY]
KR,MY,ID,,174.0,0.0,EL_to_NH3_[MY]
KR,MY,ID,,174.0,0.0,NH3_Storage_[MY]
KR,MY,ID,,174.0,0.0,NH3_to_EL_[MY]
KR,MY,ID,,174.0,0.0,NH3_to_HTH_[MY]
KR,MY,ID,,174.0,1.1,FF_to_HTH_[MY]
KR,MY,ID,,174.0,0.0,EL_Demand_[MY]
KR,MY,ID,,174.0,0.0,HTH_Demand_[MY]
KR,MY,ID,,174.0,0.0,NH3_Transport_[KR-ID]
KR,MY,ID,,174.0,5.5,EL_Transport_[KR-ID]
KR,MY,ID,,174.0,0.0,NH3_Transport_[KR-MY]
KR,MY,ID,,174.0,0.4,EL_Transport_[KR-MY]
KR,MY,ID,,174.0,0.0,NH3_Transport_[ID-MY]
KR,MY,ID,,174.0,0.7,EL_Transport_[ID-MY]
KR,MY,ID,,0.0,0.8,RE_PV_Rooftop_Lim_[KR]
KR,MY,ID,,0.0,2.1,RE_PV_Openfield_Lim_[KR]
KR,MY,ID,,0.0,1.3,RE_WIND_Onshore_Lim_[KR]
KR,MY,ID,,0.0,10.1,RE_WIND_Offshore_Lim_[KR]
KR,MY,ID,,0.0,0.0,PP_CO2_[KR]
KR,MY,ID,,0.0,5.1,BESS_[KR]
KR,MY,ID,,0.0,0.3,EL_to_HTH_[KR]
KR,MY,ID,,0.0,1.2,EL_to_NH3_[KR]
KR,MY,ID,,0.0,3.2,NH3_Storage_[KR]
KR,MY,ID,,0.0,0.4,NH3_to_EL_[KR]
KR,MY,ID,,0.0,0.1,NH3_to_HTH_[KR]
KR,MY,ID,,0.0,0.0,FF_to_HTH_[KR]
KR,MY,ID,,0.0,0.0,EL_Demand_[KR]
KR,MY,ID,,0.0,0.0,HTH_Demand_[KR]
KR,MY,ID,,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
KR,MY,ID,,0.0,6.2,RE_PV_Openfield_Lim_[ID]
KR,MY,ID,,0.0,32.1,RE_WIND_Onshore_Lim_[ID]
KR,MY,ID,,0.0,13.4,RE_WIND_Offshore_Lim_[ID]
KR,MY,ID,,0.0,0.0,PP_CO2_[ID]
KR,MY,ID,,0.0,0.3,BESS_[ID]
KR,MY,ID,,0.0,1.3,EL_to_HTH_[ID]
KR,MY,ID,,0.0,2.6,EL_to_NH3_[ID]
KR,MY,ID,,0.0,6.9,NH3_Storage_[ID]
KR,MY,ID,,0.0,0.0,NH3_to_EL_[ID]
KR,MY,ID,,0.0,0.3,NH3_to_HTH_[ID]
KR,MY,ID,,0.0,0.0,FF_to_HTH_[ID]
KR,MY,ID,,0.0,0.0,EL_Demand_[ID]
KR,MY,ID,,0.0,0.0,HTH_Demand_[ID]
KR,MY,ID,,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
KR,MY,ID,,0.0,1.5,RE_PV_Openfield_Lim_[MY]
KR,MY,ID,,0.0,4.8,RE_WIND_Onshore_Lim_[MY]
KR,MY,ID,,0.0,4.7,RE_WIND_Offshore_Lim_[MY]
KR,MY,ID,,0.0,0.0,PP_CO2_[MY]
KR,MY,ID,,0.0,0.3,BESS_[MY]
KR,MY,ID,,0.0,0.1,EL_to_HTH_[MY]
KR,MY,ID,,0.0,0.9,EL_to_NH3_[MY]
KR,MY,ID,,0.0,2.6,NH3_Storage_[MY]
KR,MY,ID,,0.0,0.4,NH3_to_EL_[MY]
KR,MY,ID,,0.0,0.0,NH3_to_HTH_[MY]
KR,MY,ID,,0.0,0.0,FF_to_HTH_[MY]
KR,MY,ID,,0.0,0.0,EL_Demand_[MY]
KR,MY,ID,,0.0,0.0,HTH_Demand_[MY]
KR,MY,ID,,0.0,0.1,NH3_Transport_[KR-ID]
KR,MY,ID,,0.0,6.3,EL_Transport_[KR-ID]
KR,MY,ID,,0.0,0.0,NH3_Transport_[KR-MY]
KR,MY,ID,,0.0,3.1,EL_Transport_[KR-MY]
KR,MY,ID,,0.0,0.0,NH3_Transport_[ID-MY]
KR,MY,ID,,0.0,1.3,EL_Transport_[ID-MY]
KR,MY,ID,,384.5,0.8,RE_PV_Rooftop_Lim_[KR]
KR,MY,ID,,384.5,2.1,RE_PV_Openfield_Lim_[KR]
KR,MY,ID,,384.5,1.3,RE_WIND_Onshore_Lim_[KR]
KR,MY,ID,,384.5,0.0,RE_WIND_Offshore_Lim_[KR]
KR,MY,ID,,384.5,14.1,PP_CO2_[KR]
KR,MY,ID,,384.5,0.1,BESS_[KR]
KR,MY,ID,,384.5,0.3,EL_to_HTH_[KR]
KR,MY,ID,,384.5,0.0,EL_to_NH3_[KR]
KR,MY,ID,,384.5,0.0,NH3_Storage_[KR]
KR,MY,ID,,384.5,0.0,NH3_to_EL_[KR]
KR,MY,ID,,384.5,0.0,NH3_to_HTH_[KR]
KR,MY,ID,,384.5,3.1,FF_to_HTH_[KR]
KR,MY,ID,,384.5,0.0,EL_Demand_[KR]
KR,MY,ID,,384.5,0.0,HTH_Demand_[KR]
KR,MY,ID,,384.5,0.0,RE_PV_Rooftop_Lim_[ID]
KR,MY,ID,,384.5,3.5,RE_PV_Openfield_Lim_[ID]
KR,MY,ID,,384.5,0.0,RE_WIND_Onshore_Lim_[ID]
KR,MY,ID,,384.5,18.1,RE_WIND_Offshore_Lim_[ID]
KR,MY,ID,,384.5,6.8,PP_CO2_[ID]
KR,MY,ID,,384.5,0.0,BESS_[ID]
KR,MY,ID,,384.5,1.3,EL_to_HTH_[ID]
KR,MY,ID,,384.5,0.0,EL_to_NH3_[ID]
KR,MY,ID,,384.5,0.0,NH3_Storage_[ID]
KR,MY,ID,,384.5,0.0,NH3_to_EL_[ID]
KR,MY,ID,,384.5,0.0,NH3_to_HTH_[ID]
KR,MY,ID,,384.5,10.9,FF_to_HTH_[ID]
KR,MY,ID,,384.5,0.0,EL_Demand_[ID]
KR,MY,ID,,384.5,0.0,HTH_Demand_[ID]
KR,MY,ID,,384.5,0.0,RE_PV_Rooftop_Lim_[MY]
KR,MY,ID,,384.5,1.2,RE_PV_Openfield_Lim_[MY]
KR,MY,ID,,384.5,3.9,RE_WIND_Onshore_Lim_[MY]
KR,MY,ID,,384.5,0.0,RE_WIND_Offshore_Lim_[MY]
KR,MY,ID,,384.5,1.7,PP_CO2_[MY]
KR,MY,ID,,384.5,0.2,BESS_[MY]
KR,MY,ID,,384.5,0.1,EL_to_HTH_[MY]
KR,MY,ID,,384.5,0.0,EL_to_NH3_[MY]
KR,MY,ID,,384.5,0.0,NH3_Storage_[MY]
KR,MY,ID,,384.5,0.0,NH3_to_EL_[MY]
KR,MY,ID,,384.5,0.0,NH3_to_HTH_[MY]
KR,MY,ID,,384.5,1.4,FF_to_HTH_[MY]
KR,MY,ID,,384.5,0.0,EL_Demand_[MY]
KR,MY,ID,,384.5,0.0,HTH_Demand_[MY]
KR,MY,ID,,384.5,0.0,NH3_Transport_[KR-ID]
KR,MY,ID,,384.5,1.6,EL_Transport_[KR-ID]
KR,MY,ID,,384.5,0.0,NH3_Transport_[KR-MY]
KR,MY,ID,,384.5,0.0,EL_Transport_[KR-MY]
KR,MY,ID,,384.5,0.0,NH3_Transport_[ID-MY]
KR,MY,ID,,384.5,0.5,EL_Transport_[ID-MY]
KR,MY,ID,,256.3,0.8,RE_PV_Rooftop_Lim_[KR]
KR,MY,ID,,256.3,2.1,RE_PV_Openfield_Lim_[KR]
KR,MY,ID,,256.3,1.3,RE_WIND_Onshore_Lim_[KR]
KR,MY,ID,,256.3,3.7,RE_WIND_Offshore_Lim_[KR]
KR,MY,ID,,256.3,9.6,PP_CO2_[KR]
KR,MY,ID,,256.3,1.0,BESS_[KR]
KR,MY,ID,,256.3,0.3,EL_to_HTH_[KR]
KR,MY,ID,,256.3,0.0,EL_to_NH3_[KR]
KR,MY,ID,,256.3,0.0,NH3_Storage_[KR]
KR,MY,ID,,256.3,0.0,NH3_to_EL_[KR]
KR,MY,ID,,256.3,0.0,NH3_to_HTH_[KR]
KR,MY,ID,,256.3,2.9,FF_to_HTH_[KR]
KR,MY,ID,,256.3,0.0,EL_Demand_[KR]
KR,MY,ID,,256.3,0.0,HTH_Demand_[KR]
KR,MY,ID,,256.3,0.0,RE_PV_Rooftop_Lim_[ID]
KR,MY,ID,,256.3,3.3,RE_PV_Openfield_Lim_[ID]
KR,MY,ID,,256.3,11.2,RE_WIND_Onshore_Lim_[ID]
KR,MY,ID,,256.3,13.7,RE_WIND_Offshore_Lim_[ID]
KR,MY,ID,,256.3,3.9,PP_CO2_[ID]
KR,MY,ID,,256.3,0.0,BESS_[ID]
KR,MY,ID,,256.3,1.3,EL_to_HTH_[ID]
KR,MY,ID,,256.3,0.0,EL_to_NH3_[ID]
KR,MY,ID,,256.3,0.0,NH3_Storage_[ID]
KR,MY,ID,,256.3,0.0,NH3_to_EL_[ID]
KR,MY,ID,,256.3,0.0,NH3_to_HTH_[ID]
KR,MY,ID,,256.3,9.2,FF_to_HTH_[ID]
KR,MY,ID,,256.3,0.0,EL_Demand_[ID]
KR,MY,ID,,256.3,0.0,HTH_Demand_[ID]
KR,MY,ID,,256.3,0.0,RE_PV_Rooftop_Lim_[MY]
KR,MY,ID,,256.3,1.0,RE_PV_Openfield_Lim_[MY]
KR,MY,ID,,256.3,4.8,RE_WIND_Onshore_Lim_[MY]
KR,MY,ID,,256.3,0.2,RE_WIND_Offshore_Lim_[MY]
KR,MY,ID,,256.3,0.5,PP_CO2_[MY]
KR,MY,ID,,256.3,0.5,BESS_[MY]
KR,MY,ID,,256.3,0.1,EL_to_HTH_[MY]
KR,MY,ID,,256.3,0.0,EL_to_NH3_[MY]
KR,MY,ID,,256.3,0.0,NH3_Storage_[MY]
KR,MY,ID,,256.3,0.0,NH3_to_EL_[MY]
KR,MY,ID,,256.3,0.0,NH3_to_HTH_[MY]
KR,MY,ID,,256.3,1.2,FF_to_HTH_[MY]
KR,MY,ID,,256.3,0.0,EL_Demand_[MY]
KR,MY,ID,,256.3,0.0,HTH_Demand_[MY]
KR,MY,ID,,256.3,0.0,NH3_Transport_[KR-ID]
KR,MY,ID,,256.3,2.7,EL_Transport_[KR-ID]
KR,MY,ID,,256.3,0.0,NH3_Transport_[KR-MY]
KR,MY,ID,,256.3,0.2,EL_Transport_[KR-MY]
