Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,17,17,1345
1,RE_PV_Rooftop_Lim,17,17,17
2,RE_PV_Openfield_Lim,17,17,17
3,RE_WIND_Onshore_Lim,17,17,17
4,RE_WIND_Offshore_Lim,17,17,17
5,PP_CO2,17,17,17
6,BESS,17,17,17
7,EL_to_HTH,17,17,17
8,EL_to_NH3,17,17,17
9,NH3_Storage,17,17,17
10,NH3_to_EL,17,17,17
11,NH3_to_HTH,17,17,17
12,FF_to_HTH,17,17,17
13,EL_Demand,17,17,17
14,HTH_Demand,17,17,17
15,RE_PV_Rooftop_Lim,1,1,1
16,RE_PV_Openfield_Lim,1,1,1
17,RE_WIND_Onshore_Lim,1,1,1
18,RE_WIND_Offshore_Lim,1,1,1
19,PP_CO2,1,1,1
20,BESS,1,1,1
21,EL_to_HTH,1,1,1
22,EL_to_NH3,1,1,1
23,NH3_Storage,1,1,1
24,NH3_to_EL,1,1,1
25,NH3_to_HTH,1,1,1
26,FF_to_HTH,1,1,1
27,EL_Demand,1,1,1
28,HTH_Demand,1,1,1
29,RE_PV_Rooftop_Lim,6,6,6
30,RE_PV_Openfield_Lim,6,6,6
31,RE_WIND_Onshore_Lim,6,6,6
32,RE_WIND_Offshore_Lim,6,6,6
33,PP_CO2,6,6,6
34,BESS,6,6,6
35,EL_to_HTH,6,6,6
36,EL_to_NH3,6,6,6
37,NH3_Storage,6,6,6
38,NH3_to_EL,6,6,6
39,NH3_to_HTH,6,6,6
40,FF_to_HTH,6,6,6
41,EL_Demand,6,6,6
42,HTH_Demand,6,6,6
43,NH3_Transport,17,1,0
44,EL_Transport,17,1,0
45,NH3_Transport,17,6,0
46,EL_Transport,17,6,0
47,NH3_Transport,1,6,0
48,EL_Transport,1,6,0
