country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,ID,PH,,255.5,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
KR,ID,PH,,255.5,2.1,130.0,RE_PV_Openfield_Lim_[KR]
KR,ID,PH,,255.5,0.9,20.8,RE_WIND_Onshore_Lim_[KR]
KR,ID,PH,,255.5,0.0,0.0,RE_WIND_Offshore_Lim_[KR]
KR,ID,PH,,255.5,9.0,68.1,PP_CO2_[KR]
KR,ID,PH,,255.5,0.5,29.7,BESS_[KR]
KR,ID,PH,,255.5,0.3,22.6,EL_to_HTH_[KR]
KR,ID,PH,,255.5,0.0,0.0,EL_to_NH3_[KR]
KR,ID,PH,,255.5,0.0,0.0,NH3_Storage_[KR]
KR,ID,PH,,255.5,0.0,0.0,NH3_to_EL_[KR]
KR,ID,PH,,255.5,0.0,0.0,NH3_to_HTH_[KR]
KR,ID,PH,,255.5,2.9,23.6,FF_to_HTH_[KR]
KR,ID,PH,,255.5,0.0,93.8,EL_Demand_[KR]
KR,ID,PH,,255.5,0.0,23.8,HTH_Demand_[KR]
KR,ID,PH,,255.5,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
KR,ID,PH,,255.5,3.5,171.3,RE_PV_Openfield_Lim_[ID]
KR,ID,PH,,255.5,5.8,120.6,RE_WIND_Onshore_Lim_[ID]
KR,ID,PH,,255.5,14.5,275.0,RE_WIND_Offshore_Lim_[ID]
KR,ID,PH,,255.5,4.8,64.2,PP_CO2_[ID]
KR,ID,PH,,255.5,0.0,0.4,BESS_[ID]
KR,ID,PH,,255.5,1.3,115.6,EL_to_HTH_[ID]
KR,ID,PH,,255.5,0.0,0.0,EL_to_NH3_[ID]
KR,ID,PH,,255.5,0.0,0.0,NH3_Storage_[ID]
KR,ID,PH,,255.5,0.0,0.0,NH3_to_EL_[ID]
KR,ID,PH,,255.5,0.0,0.0,NH3_to_HTH_[ID]
KR,ID,PH,,255.5,10.0,116.6,FF_to_HTH_[ID]
KR,ID,PH,,255.5,0.0,138.0,EL_Demand_[ID]
KR,ID,PH,,255.5,0.0,117.7,HTH_Demand_[ID]
KR,ID,PH,,255.5,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
KR,ID,PH,,255.5,0.0,0.0,RE_PV_Openfield_Lim_[PH]
