country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,ID,PH,,181.5,0.8,RE_PV_Rooftop_Lim_[KR]
KR,ID,PH,,181.5,2.1,RE_PV_Openfield_Lim_[KR]
KR,ID,PH,,181.5,1.3,RE_WIND_Onshore_Lim_[KR]
KR,ID,PH,,181.5,0.0,RE_WIND_Offshore_Lim_[KR]
KR,ID,PH,,181.5,5.5,PP_CO2_[KR]
KR,ID,PH,,181.5,1.5,BESS_[KR]
KR,ID,PH,,181.5,0.3,EL_to_HTH_[KR]
KR,ID,PH,,181.5,0.0,EL_to_NH3_[KR]
KR,ID,PH,,181.5,0.0,NH3_Storage_[KR]
KR,ID,PH,,181.5,0.0,NH3_to_EL_[KR]
KR,ID,PH,,181.5,0.0,NH3_to_HTH_[KR]
KR,ID,PH,,181.5,2.8,FF_to_HTH_[KR]
KR,ID,PH,,181.5,0.0,EL_Demand_[KR]
KR,ID,PH,,181.5,0.0,HTH_Demand_[KR]
KR,ID,PH,,181.5,0.0,RE_PV_Rooftop_Lim_[ID]
KR,ID,PH,,181.5,3.1,RE_PV_Openfield_Lim_[ID]
KR,ID,PH,,181.5,12.7,RE_WIND_Onshore_Lim_[ID]
KR,ID,PH,,181.5,11.2,RE_WIND_Offshore_Lim_[ID]
KR,ID,PH,,181.5,2.8,PP_CO2_[ID]
KR,ID,PH,,181.5,0.1,BESS_[ID]
KR,ID,PH,,181.5,1.3,EL_to_HTH_[ID]
KR,ID,PH,,181.5,0.0,EL_to_NH3_[ID]
KR,ID,PH,,181.5,0.0,NH3_Storage_[ID]
KR,ID,PH,,181.5,0.0,NH3_to_EL_[ID]
KR,ID,PH,,181.5,0.0,NH3_to_HTH_[ID]
KR,ID,PH,,181.5,9.0,FF_to_HTH_[ID]
KR,ID,PH,,181.5,0.0,EL_Demand_[ID]
KR,ID,PH,,181.5,0.0,HTH_Demand_[ID]
KR,ID,PH,,181.5,0.0,RE_PV_Rooftop_Lim_[PH]
KR,ID,PH,,181.5,0.0,RE_PV_Openfield_Lim_[PH]
KR,ID,PH,,181.5,3.2,RE_WIND_Onshore_Lim_[PH]
KR,ID,PH,,181.5,6.4,RE_WIND_Offshore_Lim_[PH]
KR,ID,PH,,181.5,0.0,PP_CO2_[PH]
KR,ID,PH,,181.5,0.0,BESS_[PH]
KR,ID,PH,,181.5,0.1,EL_to_HTH_[PH]
KR,ID,PH,,181.5,0.0,EL_to_NH3_[PH]
KR,ID,PH,,181.5,0.0,NH3_Storage_[PH]
KR,ID,PH,,181.5,0.0,NH3_to_EL_[PH]
KR,ID,PH,,181.5,0.0,NH3_to_HTH_[PH]
KR,ID,PH,,181.5,0.8,FF_to_HTH_[PH]
KR,ID,PH,,181.5,0.0,EL_Demand_[PH]
KR,ID,PH,,181.5,0.0,HTH_Demand_[PH]
KR,ID,PH,,181.5,0.0,NH3_Transport_[KR-ID]
KR,ID,PH,,181.5,0.0,EL_Transport_[KR-ID]
KR,ID,PH,,181.5,0.0,NH3_Transport_[KR-PH]
KR,ID,PH,,181.5,5.0,EL_Transport_[KR-PH]
KR,ID,PH,,181.5,0.0,NH3_Transport_[ID-PH]
KR,ID,PH,,181.5,3.0,EL_Transport_[ID-PH]
KR,ID,PH,,45.4,0.8,RE_PV_Rooftop_Lim_[KR]
KR,ID,PH,,45.4,2.1,RE_PV_Openfield_Lim_[KR]
KR,ID,PH,,45.4,1.3,RE_WIND_Onshore_Lim_[KR]
KR,ID,PH,,45.4,0.0,RE_WIND_Offshore_Lim_[KR]
KR,ID,PH,,45.4,0.6,PP_CO2_[KR]
KR,ID,PH,,45.4,3.0,BESS_[KR]
KR,ID,PH,,45.4,0.3,EL_to_HTH_[KR]
KR,ID,PH,,45.4,0.3,EL_to_NH3_[KR]
KR,ID,PH,,45.4,0.3,NH3_Storage_[KR]
KR,ID,PH,,45.4,0.1,NH3_to_EL_[KR]
KR,ID,PH,,45.4,0.0,NH3_to_HTH_[KR]
KR,ID,PH,,45.4,1.1,FF_to_HTH_[KR]
KR,ID,PH,,45.4,0.0,EL_Demand_[KR]
KR,ID,PH,,45.4,0.0,HTH_Demand_[KR]
KR,ID,PH,,45.4,0.0,RE_PV_Rooftop_Lim_[ID]
KR,ID,PH,,45.4,3.6,RE_PV_Openfield_Lim_[ID]
KR,ID,PH,,45.4,26.7,RE_WIND_Onshore_Lim_[ID]
KR,ID,PH,,45.4,9.0,RE_WIND_Offshore_Lim_[ID]
KR,ID,PH,,45.4,0.0,PP_CO2_[ID]
KR,ID,PH,,45.4,0.0,BESS_[ID]
KR,ID,PH,,45.4,1.3,EL_to_HTH_[ID]
KR,ID,PH,,45.4,0.3,EL_to_NH3_[ID]
KR,ID,PH,,45.4,0.4,NH3_Storage_[ID]
KR,ID,PH,,45.4,0.0,NH3_to_EL_[ID]
KR,ID,PH,,45.4,0.0,NH3_to_HTH_[ID]
KR,ID,PH,,45.4,4.1,FF_to_HTH_[ID]
KR,ID,PH,,45.4,0.0,EL_Demand_[ID]
KR,ID,PH,,45.4,0.0,HTH_Demand_[ID]
KR,ID,PH,,45.4,0.0,RE_PV_Rooftop_Lim_[PH]
KR,ID,PH,,45.4,0.0,RE_PV_Openfield_Lim_[PH]
KR,ID,PH,,45.4,7.2,RE_WIND_Onshore_Lim_[PH]
KR,ID,PH,,45.4,7.9,RE_WIND_Offshore_Lim_[PH]
KR,ID,PH,,45.4,0.0,PP_CO2_[PH]
KR,ID,PH,,45.4,0.0,BESS_[PH]
KR,ID,PH,,45.4,0.1,EL_to_HTH_[PH]
