country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,LA,,,48.88341463931737,0.7736867960386908,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,48.88341463931737,2.1143694349862385,RE_PV_Openfield_Lim_[KR]
KR,LA,,,48.88341463931737,1.2865499956210162,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,48.88341463931737,1.8440894475768952,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,48.88341463931737,3.186639502554897,PP_CO2_[KR]
KR,LA,,,48.88341463931737,4.566211681625228,BESS_[KR]
KR,LA,,,48.88341463931737,0.2582037881114314,EL_to_HTH_[KR]
KR,LA,,,48.88341463931737,9.106050363427003e-06,EL_to_NH3_[KR]
KR,LA,,,48.88341463931737,1.7501836061028864e-05,NH3_Storage_[KR]
KR,LA,,,48.88341463931737,4.866614245981695e-06,NH3_to_EL_[KR]
KR,LA,,,48.88341463931737,3.4899057188246057e-06,NH3_to_HTH_[KR]
KR,LA,,,48.88341463931737,2.3392486975329003,FF_to_HTH_[KR]
KR,LA,,,48.88341463931737,0.0,EL_Demand_[KR]
KR,LA,,,48.88341463931737,0.0,HTH_Demand_[KR]
KR,LA,,,48.88341463931737,4.692827775250923e-09,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,48.88341463931737,1.2203000728982922,RE_PV_Openfield_Lim_[LA]
KR,LA,,,48.88341463931737,6.227294457042425,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,48.88341463931737,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,48.88341463931737,8.040033783053426e-06,PP_CO2_[LA]
KR,LA,,,48.88341463931737,0.1974281331944887,BESS_[LA]
KR,LA,,,48.88341463931737,0.003251587652210719,EL_to_HTH_[LA]
KR,LA,,,48.88341463931737,6.759019738767165e-05,EL_to_NH3_[LA]
KR,LA,,,48.88341463931737,4.545659666877393e-05,NH3_Storage_[LA]
KR,LA,,,48.88341463931737,1.0204965391598215e-05,NH3_to_EL_[LA]
KR,LA,,,48.88341463931737,5.4298038762010045e-06,NH3_to_HTH_[LA]
KR,LA,,,48.88341463931737,0.018705114261789148,FF_to_HTH_[LA]
KR,LA,,,48.88341463931737,0.0,EL_Demand_[LA]
KR,LA,,,48.88341463931737,0.0,HTH_Demand_[LA]
KR,LA,,,48.88341463931737,3.6069606532596646e-07,NH3_Transport_[KR-LA]
KR,LA,,,48.88341463931737,5.686714021031735,EL_Transport_[KR-LA]
KR,LA,,,0.0,0.7736867974892598,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,0.0,2.1143694370637176,RE_PV_Openfield_Lim_[KR]
KR,LA,,,0.0,1.2865499960851376,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,0.0,4.143728335452967,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,0.0,0.0,PP_CO2_[KR]
KR,LA,,,0.0,5.45730019128698,BESS_[KR]
