country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,MY,,,69.2,0.8,RE_PV_Rooftop_Lim_[KR]
KR,MY,,,69.2,2.1,RE_PV_Openfield_Lim_[KR]
KR,MY,,,69.2,1.3,RE_WIND_Onshore_Lim_[KR]
KR,MY,,,69.2,8.1,RE_WIND_Offshore_Lim_[KR]
KR,MY,,,69.2,4.3,PP_CO2_[KR]
KR,MY,,,69.2,5.0,BESS_[KR]
KR,MY,,,69.2,0.3,EL_to_HTH_[KR]
KR,MY,,,69.2,0.0,EL_to_NH3_[KR]
KR,MY,,,69.2,0.0,NH3_Storage_[KR]
KR,MY,,,69.2,0.0,NH3_to_EL_[KR]
KR,MY,,,69.2,0.0,NH3_to_HTH_[KR]
KR,MY,,,69.2,2.7,FF_to_HTH_[KR]
KR,MY,,,69.2,0.0,EL_Demand_[KR]
KR,MY,,,69.2,0.0,HTH_Demand_[KR]
KR,MY,,,69.2,0.0,RE_PV_Rooftop_Lim_[MY]
KR,MY,,,69.2,2.6,RE_PV_Openfield_Lim_[MY]
KR,MY,,,69.2,4.8,RE_WIND_Onshore_Lim_[MY]
KR,MY,,,69.2,3.7,RE_WIND_Offshore_Lim_[MY]
KR,MY,,,69.2,0.0,PP_CO2_[MY]
KR,MY,,,69.2,2.7,BESS_[MY]
KR,MY,,,69.2,0.1,EL_to_HTH_[MY]
KR,MY,,,69.2,0.0,EL_to_NH3_[MY]
KR,MY,,,69.2,0.0,NH3_Storage_[MY]
KR,MY,,,69.2,0.0,NH3_to_EL_[MY]
KR,MY,,,69.2,0.0,NH3_to_HTH_[MY]
KR,MY,,,69.2,0.8,FF_to_HTH_[MY]
KR,MY,,,69.2,0.0,EL_Demand_[MY]
KR,MY,,,69.2,0.0,HTH_Demand_[MY]
KR,MY,,,69.2,0.0,NH3_Transport_[KR-MY]
KR,MY,,,69.2,4.1,EL_Transport_[KR-MY]
KR,MY,,,50.6,0.8,RE_PV_Rooftop_Lim_[KR]
KR,MY,,,50.6,2.1,RE_PV_Openfield_Lim_[KR]
KR,MY,,,50.6,1.3,RE_WIND_Onshore_Lim_[KR]
KR,MY,,,50.6,9.8,RE_WIND_Offshore_Lim_[KR]
KR,MY,,,50.6,3.1,PP_CO2_[KR]
KR,MY,,,50.6,5.1,BESS_[KR]
KR,MY,,,50.6,0.3,EL_to_HTH_[KR]
KR,MY,,,50.6,0.0,EL_to_NH3_[KR]
KR,MY,,,50.6,0.0,NH3_Storage_[KR]
KR,MY,,,50.6,0.0,NH3_to_EL_[KR]
