country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,PH,,,150.6,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
KR,PH,,,150.6,2.1,130.0,RE_PV_Openfield_Lim_[KR]
KR,PH,,,150.6,0.9,20.8,RE_WIND_Onshore_Lim_[KR]
KR,PH,,,150.6,0.0,0.0,RE_WIND_Offshore_Lim_[KR]
KR,PH,,,150.6,10.1,69.2,PP_CO2_[KR]
KR,PH,,,150.6,0.4,22.4,BESS_[KR]
KR,PH,,,150.6,0.3,22.7,EL_to_HTH_[KR]
KR,PH,,,150.6,0.0,0.0,EL_to_NH3_[KR]
KR,PH,,,150.6,0.0,0.0,NH3_Storage_[KR]
KR,PH,,,150.6,0.0,0.0,NH3_to_EL_[KR]
KR,PH,,,150.6,0.0,0.0,NH3_to_HTH_[KR]
KR,PH,,,150.6,2.9,23.6,FF_to_HTH_[KR]
KR,PH,,,150.6,0.0,93.8,EL_Demand_[KR]
KR,PH,,,150.6,0.0,23.8,HTH_Demand_[KR]
KR,PH,,,150.6,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
KR,PH,,,150.6,0.0,0.0,RE_PV_Openfield_Lim_[PH]
KR,PH,,,150.6,3.2,67.1,RE_WIND_Onshore_Lim_[PH]
KR,PH,,,150.6,4.8,90.8,RE_WIND_Offshore_Lim_[PH]
KR,PH,,,150.6,1.1,13.1,PP_CO2_[PH]
KR,PH,,,150.6,0.0,0.0,BESS_[PH]
KR,PH,,,150.6,0.1,11.2,EL_to_HTH_[PH]
KR,PH,,,150.6,0.0,0.0,EL_to_NH3_[PH]
KR,PH,,,150.6,0.0,0.0,NH3_Storage_[PH]
KR,PH,,,150.6,0.0,0.0,NH3_to_EL_[PH]
KR,PH,,,150.6,0.0,0.0,NH3_to_HTH_[PH]
KR,PH,,,150.6,1.0,11.3,FF_to_HTH_[PH]
KR,PH,,,150.6,0.0,36.4,EL_Demand_[PH]
KR,PH,,,150.6,0.0,11.5,HTH_Demand_[PH]
KR,PH,,,150.6,0.0,0.0,NH3_Transport_[KR-PH]
KR,PH,,,150.6,4.4,46.9,EL_Transport_[KR-PH]
KR,PH,,,100.4,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
KR,PH,,,100.4,2.1,130.0,RE_PV_Openfield_Lim_[KR]
KR,PH,,,100.4,0.9,20.8,RE_WIND_Onshore_Lim_[KR]
KR,PH,,,100.4,0.0,0.0,RE_WIND_Offshore_Lim_[KR]
KR,PH,,,100.4,7.9,78.3,PP_CO2_[KR]
KR,PH,,,100.4,0.7,41.4,BESS_[KR]
KR,PH,,,100.4,0.3,22.9,EL_to_HTH_[KR]
KR,PH,,,100.4,0.0,0.0,EL_to_NH3_[KR]
KR,PH,,,100.4,0.0,0.0,NH3_Storage_[KR]
KR,PH,,,100.4,0.0,0.0,NH3_to_EL_[KR]
KR,PH,,,100.4,0.0,0.0,NH3_to_HTH_[KR]
KR,PH,,,100.4,2.7,23.6,FF_to_HTH_[KR]
