country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,TH,LA,,90.0,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,90.0,2.1,130.0,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,90.0,1.3,33.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,90.0,14.6,98.1,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,90.0,5.6,48.0,PP_CO2_[KR]
KR,TH,LA,,90.0,4.7,263.1,BESS_[KR]
KR,TH,LA,,90.0,0.3,23.4,EL_to_HTH_[KR]
KR,TH,LA,,90.0,0.0,0.0,EL_to_NH3_[KR]
KR,TH,LA,,90.0,0.0,0.1,NH3_Storage_[KR]
KR,TH,LA,,90.0,0.0,0.0,NH3_to_EL_[KR]
KR,TH,LA,,90.0,0.0,0.0,NH3_to_HTH_[KR]
KR,TH,LA,,90.0,2.3,23.6,FF_to_HTH_[KR]
KR,TH,LA,,90.0,0.0,93.8,EL_Demand_[KR]
KR,TH,LA,,90.0,0.0,23.8,HTH_Demand_[KR]
KR,TH,LA,,90.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,90.0,2.9,143.0,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,90.0,9.7,202.0,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,90.0,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,90.0,1.2,19.7,PP_CO2_[TH]
KR,TH,LA,,90.0,1.6,90.9,BESS_[TH]
KR,TH,LA,,90.0,0.4,33.4,EL_to_HTH_[TH]
KR,TH,LA,,90.0,0.1,1.3,EL_to_NH3_[TH]
KR,TH,LA,,90.0,0.2,9.3,NH3_Storage_[TH]
KR,TH,LA,,90.0,0.1,1.5,NH3_to_EL_[TH]
KR,TH,LA,,90.0,0.0,0.2,NH3_to_HTH_[TH]
KR,TH,LA,,90.0,1.5,33.2,FF_to_HTH_[TH]
KR,TH,LA,,90.0,0.0,65.4,EL_Demand_[TH]
KR,TH,LA,,90.0,0.0,34.3,HTH_Demand_[TH]
KR,TH,LA,,90.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,90.0,0.1,3.4,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,90.0,0.2,4.9,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,90.0,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,90.0,0.0,0.4,PP_CO2_[LA]
KR,TH,LA,,90.0,0.0,2.5,BESS_[LA]
KR,TH,LA,,90.0,0.0,0.3,EL_to_HTH_[LA]
KR,TH,LA,,90.0,0.0,0.3,EL_to_NH3_[LA]
KR,TH,LA,,90.0,0.0,1.5,NH3_Storage_[LA]
KR,TH,LA,,90.0,0.0,0.1,NH3_to_EL_[LA]
KR,TH,LA,,90.0,0.0,0.1,NH3_to_HTH_[LA]
KR,TH,LA,,90.0,0.0,0.3,FF_to_HTH_[LA]
KR,TH,LA,,90.0,0.0,1.6,EL_Demand_[LA]
KR,TH,LA,,90.0,0.0,0.3,HTH_Demand_[LA]
KR,TH,LA,,22.5,0.8,42.1,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,22.5,2.1,130.2,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,22.5,1.3,33.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,22.5,25.9,174.5,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,22.5,0.6,6.7,PP_CO2_[KR]
KR,TH,LA,,22.5,7.3,405.4,BESS_[KR]
KR,TH,LA,,22.5,0.3,23.4,EL_to_HTH_[KR]
KR,TH,LA,,22.5,2.6,45.2,EL_to_NH3_[KR]
KR,TH,LA,,22.5,3.7,222.8,NH3_Storage_[KR]
KR,TH,LA,,22.5,0.8,9.5,NH3_to_EL_[KR]
