country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,TH,VN,,130.8,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,VN,,130.8,2.1,130.0,RE_PV_Openfield_Lim_[KR]
KR,TH,VN,,130.8,1.3,33.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,VN,,130.8,11.6,78.3,RE_WIND_Offshore_Lim_[KR]
KR,TH,VN,,130.8,6.9,54.2,PP_CO2_[KR]
KR,TH,VN,,130.8,3.6,202.5,BESS_[KR]
KR,TH,VN,,130.8,0.3,23.3,EL_to_HTH_[KR]
KR,TH,VN,,130.8,0.0,0.0,EL_to_NH3_[KR]
KR,TH,VN,,130.8,0.0,0.0,NH3_Storage_[KR]
KR,TH,VN,,130.8,0.0,0.0,NH3_to_EL_[KR]
KR,TH,VN,,130.8,0.0,0.0,NH3_to_HTH_[KR]
KR,TH,VN,,130.8,2.5,23.7,FF_to_HTH_[KR]
KR,TH,VN,,130.8,0.0,93.8,EL_Demand_[KR]
KR,TH,VN,,130.8,0.0,23.8,HTH_Demand_[KR]
KR,TH,VN,,130.8,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,VN,,130.8,2.8,138.5,RE_PV_Openfield_Lim_[TH]
KR,TH,VN,,130.8,9.1,189.6,RE_WIND_Onshore_Lim_[TH]
KR,TH,VN,,130.8,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,VN,,130.8,1.4,23.4,PP_CO2_[TH]
KR,TH,VN,,130.8,1.3,74.3,BESS_[TH]
KR,TH,VN,,130.8,0.4,33.4,EL_to_HTH_[TH]
KR,TH,VN,,130.8,0.1,1.3,EL_to_NH3_[TH]
KR,TH,VN,,130.8,0.1,8.9,NH3_Storage_[TH]
KR,TH,VN,,130.8,0.1,1.4,NH3_to_EL_[TH]
KR,TH,VN,,130.8,0.0,0.6,NH3_to_HTH_[TH]
KR,TH,VN,,130.8,1.7,33.2,FF_to_HTH_[TH]
KR,TH,VN,,130.8,0.0,65.4,EL_Demand_[TH]
KR,TH,VN,,130.8,0.0,34.3,HTH_Demand_[TH]
KR,TH,VN,,130.8,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
KR,TH,VN,,130.8,1.3,61.7,RE_PV_Openfield_Lim_[VN]
KR,TH,VN,,130.8,8.9,183.6,RE_WIND_Onshore_Lim_[VN]
KR,TH,VN,,130.8,1.7,33.0,RE_WIND_Offshore_Lim_[VN]
KR,TH,VN,,130.8,0.8,12.6,PP_CO2_[VN]
KR,TH,VN,,130.8,0.5,26.1,BESS_[VN]
KR,TH,VN,,130.8,0.5,45.6,EL_to_HTH_[VN]
KR,TH,VN,,130.8,0.2,3.2,EL_to_NH3_[VN]
KR,TH,VN,,130.8,0.6,33.3,NH3_Storage_[VN]
KR,TH,VN,,130.8,0.4,4.5,NH3_to_EL_[VN]
KR,TH,VN,,130.8,0.0,0.9,NH3_to_HTH_[VN]
KR,TH,VN,,130.8,1.9,45.6,FF_to_HTH_[VN]
KR,TH,VN,,130.8,0.0,51.6,EL_Demand_[VN]
KR,TH,VN,,130.8,0.0,46.8,HTH_Demand_[VN]
KR,TH,VN,,32.7,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,VN,,32.7,2.1,130.0,RE_PV_Openfield_Lim_[KR]
KR,TH,VN,,32.7,1.3,33.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,VN,,32.7,25.6,172.2,RE_WIND_Offshore_Lim_[KR]
KR,TH,VN,,32.7,0.7,7.7,PP_CO2_[KR]
KR,TH,VN,,32.7,7.3,406.8,BESS_[KR]
KR,TH,VN,,32.7,0.3,23.3,EL_to_HTH_[KR]
KR,TH,VN,,32.7,2.5,44.1,EL_to_NH3_[KR]
KR,TH,VN,,32.7,3.6,213.7,NH3_Storage_[KR]
KR,TH,VN,,32.7,0.7,8.9,NH3_to_EL_[KR]
KR,TH,VN,,32.7,0.0,4.5,NH3_to_HTH_[KR]
KR,TH,VN,,32.7,1.4,23.4,FF_to_HTH_[KR]
KR,TH,VN,,32.7,0.0,93.8,EL_Demand_[KR]
KR,TH,VN,,32.7,0.0,23.8,HTH_Demand_[KR]
KR,TH,VN,,32.7,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,VN,,32.7,3.5,169.5,RE_PV_Openfield_Lim_[TH]
KR,TH,VN,,32.7,10.8,223.0,RE_WIND_Onshore_Lim_[TH]
KR,TH,VN,,32.7,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,VN,,32.7,0.0,0.0,PP_CO2_[TH]
KR,TH,VN,,32.7,2.1,116.1,BESS_[TH]
KR,TH,VN,,32.7,0.4,33.1,EL_to_HTH_[TH]
KR,TH,VN,,32.7,0.6,10.7,EL_to_NH3_[TH]
KR,TH,VN,,32.7,1.8,107.1,NH3_Storage_[TH]
KR,TH,VN,,32.7,0.5,6.0,NH3_to_EL_[TH]
KR,TH,VN,,32.7,0.0,4.0,NH3_to_HTH_[TH]
KR,TH,VN,,32.7,0.9,32.8,FF_to_HTH_[TH]
KR,TH,VN,,32.7,0.0,65.4,EL_Demand_[TH]
KR,TH,VN,,32.7,0.0,34.3,HTH_Demand_[TH]
KR,TH,VN,,32.7,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
KR,TH,VN,,32.7,2.3,113.2,RE_PV_Openfield_Lim_[VN]
KR,TH,VN,,32.7,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
KR,TH,VN,,32.7,1.4,25.7,RE_WIND_Offshore_Lim_[VN]
KR,TH,VN,,32.7,0.0,0.0,PP_CO2_[VN]
KR,TH,VN,,32.7,1.7,92.9,BESS_[VN]
KR,TH,VN,,32.7,0.5,45.6,EL_to_HTH_[VN]
KR,TH,VN,,32.7,0.4,7.7,EL_to_NH3_[VN]
KR,TH,VN,,32.7,0.9,54.4,NH3_Storage_[VN]
KR,TH,VN,,32.7,0.4,4.9,NH3_to_EL_[VN]
KR,TH,VN,,32.7,0.0,3.3,NH3_to_HTH_[VN]
KR,TH,VN,,32.7,1.3,44.5,FF_to_HTH_[VN]
KR,TH,VN,,32.7,0.0,51.6,EL_Demand_[VN]
KR,TH,VN,,32.7,0.0,46.8,HTH_Demand_[VN]
KR,TH,VN,,189.4,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,VN,,189.4,2.1,130.0,RE_PV_Openfield_Lim_[KR]
KR,TH,VN,,189.4,1.3,33.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,VN,,189.4,8.3,55.5,RE_WIND_Offshore_Lim_[KR]
KR,TH,VN,,189.4,8.9,63.0,PP_CO2_[KR]
KR,TH,VN,,189.4,2.0,112.0,BESS_[KR]
KR,TH,VN,,189.4,0.3,22.8,EL_to_HTH_[KR]
KR,TH,VN,,189.4,0.0,0.0,EL_to_NH3_[KR]
KR,TH,VN,,189.4,0.0,0.0,NH3_Storage_[KR]
KR,TH,VN,,189.4,0.0,0.0,NH3_to_EL_[KR]
KR,TH,VN,,189.4,0.0,0.0,NH3_to_HTH_[KR]
KR,TH,VN,,189.4,2.9,23.6,FF_to_HTH_[KR]
KR,TH,VN,,189.4,0.0,93.8,EL_Demand_[KR]
KR,TH,VN,,189.4,0.0,23.8,HTH_Demand_[KR]
KR,TH,VN,,189.4,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,VN,,189.4,2.4,115.5,RE_PV_Openfield_Lim_[TH]
KR,TH,VN,,189.4,8.1,168.9,RE_WIND_Onshore_Lim_[TH]
KR,TH,VN,,189.4,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,VN,,189.4,2.2,33.2,PP_CO2_[TH]
KR,TH,VN,,189.4,0.9,50.9,BESS_[TH]
KR,TH,VN,,189.4,0.4,33.5,EL_to_HTH_[TH]
KR,TH,VN,,189.4,0.0,0.0,EL_to_NH3_[TH]
KR,TH,VN,,189.4,0.0,0.2,NH3_Storage_[TH]
KR,TH,VN,,189.4,0.0,0.0,NH3_to_EL_[TH]
KR,TH,VN,,189.4,0.0,0.0,NH3_to_HTH_[TH]
KR,TH,VN,,189.4,2.2,33.5,FF_to_HTH_[TH]
KR,TH,VN,,189.4,0.0,65.4,EL_Demand_[TH]
KR,TH,VN,,189.4,0.0,34.3,HTH_Demand_[TH]
KR,TH,VN,,189.4,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
KR,TH,VN,,189.4,1.4,68.3,RE_PV_Openfield_Lim_[VN]
KR,TH,VN,,189.4,3.1,63.4,RE_WIND_Onshore_Lim_[VN]
KR,TH,VN,,189.4,4.6,87.8,RE_WIND_Offshore_Lim_[VN]
KR,TH,VN,,189.4,2.3,36.3,PP_CO2_[VN]
KR,TH,VN,,189.4,0.2,8.5,BESS_[VN]
KR,TH,VN,,189.4,0.5,45.8,EL_to_HTH_[VN]
KR,TH,VN,,189.4,0.0,0.0,EL_to_NH3_[VN]
KR,TH,VN,,189.4,0.0,0.0,NH3_Storage_[VN]
KR,TH,VN,,189.4,0.0,0.0,NH3_to_EL_[VN]
KR,TH,VN,,189.4,0.0,0.0,NH3_to_HTH_[VN]
KR,TH,VN,,189.4,2.6,46.2,FF_to_HTH_[VN]
KR,TH,VN,,189.4,0.0,51.6,EL_Demand_[VN]
KR,TH,VN,,189.4,0.0,46.8,HTH_Demand_[VN]
KR,TH,VN,,94.7,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
