country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,TH,,,118.8,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,118.8,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,118.8,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,118.8,8.4,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,118.8,7.1,PP_CO2_[KR]
KR,TH,,,118.8,1.1,BESS_[KR]
KR,TH,,,118.8,0.3,EL_to_HTH_[KR]
KR,TH,,,118.8,0.0,EL_to_NH3_[KR]
KR,TH,,,118.8,0.0,NH3_Storage_[KR]
KR,TH,,,118.8,0.0,NH3_to_EL_[KR]
KR,TH,,,118.8,0.0,NH3_to_HTH_[KR]
KR,TH,,,118.8,2.1,FF_to_HTH_[KR]
KR,TH,,,118.8,0.0,EL_Demand_[KR]
KR,TH,,,118.8,0.0,HTH_Demand_[KR]
KR,TH,,,118.8,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,118.8,2.3,RE_PV_Openfield_Lim_[TH]
KR,TH,,,118.8,7.8,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,118.8,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,118.8,2.6,PP_CO2_[TH]
KR,TH,,,118.8,0.6,BESS_[TH]
KR,TH,,,118.8,0.4,EL_to_HTH_[TH]
KR,TH,,,118.8,0.0,EL_to_NH3_[TH]
KR,TH,,,118.8,0.0,NH3_Storage_[TH]
KR,TH,,,118.8,0.0,NH3_to_EL_[TH]
KR,TH,,,118.8,0.0,NH3_to_HTH_[TH]
KR,TH,,,118.8,2.3,FF_to_HTH_[TH]
KR,TH,,,118.8,0.0,EL_Demand_[TH]
KR,TH,,,118.8,0.0,HTH_Demand_[TH]
KR,TH,,,59.4,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,59.4,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,59.4,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,59.4,13.0,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,59.4,3.2,PP_CO2_[KR]
KR,TH,,,59.4,3.5,BESS_[KR]
KR,TH,,,59.4,0.3,EL_to_HTH_[KR]
KR,TH,,,59.4,0.5,EL_to_NH3_[KR]
KR,TH,,,59.4,0.8,NH3_Storage_[KR]
KR,TH,,,59.4,0.3,NH3_to_EL_[KR]
KR,TH,,,59.4,0.0,NH3_to_HTH_[KR]
KR,TH,,,59.4,1.6,FF_to_HTH_[KR]
KR,TH,,,59.4,0.0,EL_Demand_[KR]
KR,TH,,,59.4,0.0,HTH_Demand_[KR]
KR,TH,,,59.4,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,59.4,3.0,RE_PV_Openfield_Lim_[TH]
KR,TH,,,59.4,9.3,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,59.4,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,59.4,1.3,PP_CO2_[TH]
KR,TH,,,59.4,1.6,BESS_[TH]
KR,TH,,,59.4,0.4,EL_to_HTH_[TH]
KR,TH,,,59.4,0.1,EL_to_NH3_[TH]
KR,TH,,,59.4,0.1,NH3_Storage_[TH]
KR,TH,,,59.4,0.1,NH3_to_EL_[TH]
KR,TH,,,59.4,0.0,NH3_to_HTH_[TH]
KR,TH,,,59.4,1.6,FF_to_HTH_[TH]
KR,TH,,,59.4,0.0,EL_Demand_[TH]
KR,TH,,,59.4,0.0,HTH_Demand_[TH]
KR,TH,,,0.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,0.0,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,0.0,2.4,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,0.0,16.1,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,0.0,0.0,PP_CO2_[KR]
KR,TH,,,0.0,4.2,BESS_[KR]
KR,TH,,,0.0,0.3,EL_to_HTH_[KR]
KR,TH,,,0.0,2.6,EL_to_NH3_[KR]
KR,TH,,,0.0,9.4,NH3_Storage_[KR]
KR,TH,,,0.0,0.9,NH3_to_EL_[KR]
KR,TH,,,0.0,0.1,NH3_to_HTH_[KR]
KR,TH,,,0.0,0.0,FF_to_HTH_[KR]
KR,TH,,,0.0,0.0,EL_Demand_[KR]
KR,TH,,,0.0,0.0,HTH_Demand_[KR]
KR,TH,,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,0.0,4.2,RE_PV_Openfield_Lim_[TH]
KR,TH,,,0.0,13.1,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,0.0,0.0,PP_CO2_[TH]
KR,TH,,,0.0,2.6,BESS_[TH]
KR,TH,,,0.0,0.4,EL_to_HTH_[TH]
KR,TH,,,0.0,0.4,EL_to_NH3_[TH]
KR,TH,,,0.0,3.7,NH3_Storage_[TH]
KR,TH,,,0.0,0.3,NH3_to_EL_[TH]
KR,TH,,,0.0,0.1,NH3_to_HTH_[TH]
KR,TH,,,0.0,0.0,FF_to_HTH_[TH]
KR,TH,,,0.0,0.0,EL_Demand_[TH]
KR,TH,,,0.0,0.0,HTH_Demand_[TH]
KR,TH,,,22.2,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,22.2,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,22.2,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,22.2,15.8,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,22.2,0.6,PP_CO2_[KR]
KR,TH,,,22.2,4.1,BESS_[KR]
KR,TH,,,22.2,0.3,EL_to_HTH_[KR]
KR,TH,,,22.2,2.0,EL_to_NH3_[KR]
KR,TH,,,22.2,3.5,NH3_Storage_[KR]
KR,TH,,,22.2,0.8,NH3_to_EL_[KR]
KR,TH,,,22.2,0.0,NH3_to_HTH_[KR]
KR,TH,,,22.2,1.1,FF_to_HTH_[KR]
KR,TH,,,22.2,0.0,EL_Demand_[KR]
KR,TH,,,22.2,0.0,HTH_Demand_[KR]
KR,TH,,,22.2,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,22.2,3.2,RE_PV_Openfield_Lim_[TH]
KR,TH,,,22.2,10.9,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,22.2,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,22.2,0.4,PP_CO2_[TH]
KR,TH,,,22.2,1.8,BESS_[TH]
KR,TH,,,22.2,0.4,EL_to_HTH_[TH]
KR,TH,,,22.2,0.6,EL_to_NH3_[TH]
KR,TH,,,22.2,1.1,NH3_Storage_[TH]
KR,TH,,,22.2,0.4,NH3_to_EL_[TH]
KR,TH,,,22.2,0.0,NH3_to_HTH_[TH]
KR,TH,,,22.2,1.0,FF_to_HTH_[TH]
KR,TH,,,22.2,0.0,EL_Demand_[TH]
KR,TH,,,22.2,0.0,HTH_Demand_[TH]
KR,TH,,,44.5,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,44.5,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,44.5,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,44.5,14.0,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,44.5,1.8,PP_CO2_[KR]
KR,TH,,,44.5,4.0,BESS_[KR]
KR,TH,,,44.5,0.3,EL_to_HTH_[KR]
KR,TH,,,44.5,1.3,EL_to_NH3_[KR]
KR,TH,,,44.5,1.9,NH3_Storage_[KR]
KR,TH,,,44.5,0.6,NH3_to_EL_[KR]
KR,TH,,,44.5,0.0,NH3_to_HTH_[KR]
KR,TH,,,44.5,1.5,FF_to_HTH_[KR]
KR,TH,,,44.5,0.0,EL_Demand_[KR]
KR,TH,,,44.5,0.0,HTH_Demand_[KR]
KR,TH,,,44.5,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,44.5,3.0,RE_PV_Openfield_Lim_[TH]
KR,TH,,,44.5,9.7,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,44.5,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,44.5,1.2,PP_CO2_[TH]
KR,TH,,,44.5,1.7,BESS_[TH]
KR,TH,,,44.5,0.4,EL_to_HTH_[TH]
KR,TH,,,44.5,0.1,EL_to_NH3_[TH]
KR,TH,,,44.5,0.2,NH3_Storage_[TH]
KR,TH,,,44.5,0.1,NH3_to_EL_[TH]
KR,TH,,,44.5,0.0,NH3_to_HTH_[TH]
KR,TH,,,44.5,1.5,FF_to_HTH_[TH]
KR,TH,,,44.5,0.0,EL_Demand_[TH]
KR,TH,,,44.5,0.0,HTH_Demand_[TH]
KR,TH,,,66.7,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,66.7,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,66.7,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,66.7,12.3,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,66.7,3.8,PP_CO2_[KR]
KR,TH,,,66.7,3.2,BESS_[KR]
KR,TH,,,66.7,0.3,EL_to_HTH_[KR]
KR,TH,,,66.7,0.3,EL_to_NH3_[KR]
KR,TH,,,66.7,0.4,NH3_Storage_[KR]
KR,TH,,,66.7,0.2,NH3_to_EL_[KR]
KR,TH,,,66.7,0.0,NH3_to_HTH_[KR]
KR,TH,,,66.7,1.7,FF_to_HTH_[KR]
KR,TH,,,66.7,0.0,EL_Demand_[KR]
KR,TH,,,66.7,0.0,HTH_Demand_[KR]
KR,TH,,,66.7,0.0,RE_PV_Rooftop_Lim_[TH]
