country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,TH,,,118.8,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,118.8,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,118.8,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,118.8,7.4,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,118.8,6.1,PP_CO2_[KR]
KR,TH,,,118.8,0.6,BESS_[KR]
KR,TH,,,118.8,0.3,EL_to_HTH_[KR]
KR,TH,,,118.8,0.0,EL_to_NH3_[KR]
KR,TH,,,118.8,0.0,NH3_Storage_[KR]
KR,TH,,,118.8,0.0,NH3_to_EL_[KR]
KR,TH,,,118.8,0.0,NH3_to_HTH_[KR]
KR,TH,,,118.8,2.2,FF_to_HTH_[KR]
KR,TH,,,118.8,0.0,EL_Demand_[KR]
KR,TH,,,118.8,0.0,HTH_Demand_[KR]
KR,TH,,,118.8,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,118.8,1.9,RE_PV_Openfield_Lim_[TH]
KR,TH,,,118.8,7.9,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,118.8,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,118.8,2.7,PP_CO2_[TH]
KR,TH,,,118.8,0.1,BESS_[TH]
KR,TH,,,118.8,0.4,EL_to_HTH_[TH]
KR,TH,,,118.8,0.0,EL_to_NH3_[TH]
KR,TH,,,118.8,0.0,NH3_Storage_[TH]
KR,TH,,,118.8,0.0,NH3_to_EL_[TH]
KR,TH,,,118.8,0.0,NH3_to_HTH_[TH]
KR,TH,,,118.8,2.5,FF_to_HTH_[TH]
KR,TH,,,118.8,0.0,EL_Demand_[TH]
KR,TH,,,118.8,0.0,HTH_Demand_[TH]
KR,TH,,,118.8,0.0,NH3_Transport_[KR-TH]
KR,TH,,,118.8,1.7,EL_Transport_[KR-TH]
KR,TH,,,59.4,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,59.4,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,59.4,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,59.4,9.6,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,59.4,4.2,PP_CO2_[KR]
KR,TH,,,59.4,2.0,BESS_[KR]
KR,TH,,,59.4,0.3,EL_to_HTH_[KR]
KR,TH,,,59.4,0.0,EL_to_NH3_[KR]
KR,TH,,,59.4,0.0,NH3_Storage_[KR]
KR,TH,,,59.4,0.0,NH3_to_EL_[KR]
KR,TH,,,59.4,0.0,NH3_to_HTH_[KR]
KR,TH,,,59.4,1.7,FF_to_HTH_[KR]
KR,TH,,,59.4,0.0,EL_Demand_[KR]
KR,TH,,,59.4,0.0,HTH_Demand_[KR]
KR,TH,,,59.4,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,59.4,2.4,RE_PV_Openfield_Lim_[TH]
KR,TH,,,59.4,10.7,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,59.4,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,59.4,0.6,PP_CO2_[TH]
KR,TH,,,59.4,0.5,BESS_[TH]
KR,TH,,,59.4,0.4,EL_to_HTH_[TH]
KR,TH,,,59.4,0.0,EL_to_NH3_[TH]
KR,TH,,,59.4,0.0,NH3_Storage_[TH]
KR,TH,,,59.4,0.0,NH3_to_EL_[TH]
KR,TH,,,59.4,0.0,NH3_to_HTH_[TH]
KR,TH,,,59.4,1.7,FF_to_HTH_[TH]
KR,TH,,,59.4,0.0,EL_Demand_[TH]
KR,TH,,,59.4,0.0,HTH_Demand_[TH]
KR,TH,,,59.4,0.0,NH3_Transport_[KR-TH]
KR,TH,,,59.4,3.4,EL_Transport_[KR-TH]
KR,TH,,,0.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,0.0,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,0.0,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,0.0,14.4,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,0.0,0.0,PP_CO2_[KR]
KR,TH,,,0.0,2.6,BESS_[KR]
KR,TH,,,0.0,0.3,EL_to_HTH_[KR]
KR,TH,,,0.0,1.4,EL_to_NH3_[KR]
KR,TH,,,0.0,4.3,NH3_Storage_[KR]
KR,TH,,,0.0,1.0,NH3_to_EL_[KR]
KR,TH,,,0.0,0.1,NH3_to_HTH_[KR]
KR,TH,,,0.0,0.0,FF_to_HTH_[KR]
KR,TH,,,0.0,0.0,EL_Demand_[KR]
KR,TH,,,0.0,0.0,HTH_Demand_[KR]
KR,TH,,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,0.0,3.3,RE_PV_Openfield_Lim_[TH]
KR,TH,,,0.0,12.9,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,0.0,0.0,PP_CO2_[TH]
KR,TH,,,0.0,0.9,BESS_[TH]
KR,TH,,,0.0,0.4,EL_to_HTH_[TH]
KR,TH,,,0.0,1.4,EL_to_NH3_[TH]
KR,TH,,,0.0,3.7,NH3_Storage_[TH]
KR,TH,,,0.0,0.4,NH3_to_EL_[TH]
KR,TH,,,0.0,0.1,NH3_to_HTH_[TH]
KR,TH,,,0.0,0.0,FF_to_HTH_[TH]
KR,TH,,,0.0,0.0,EL_Demand_[TH]
KR,TH,,,0.0,0.0,HTH_Demand_[TH]
KR,TH,,,0.0,0.1,NH3_Transport_[KR-TH]
KR,TH,,,0.0,3.2,EL_Transport_[KR-TH]
KR,TH,,,22.2,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,22.2,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,22.2,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,22.2,11.5,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,22.2,1.2,PP_CO2_[KR]
KR,TH,,,22.2,2.4,BESS_[KR]
KR,TH,,,22.2,0.3,EL_to_HTH_[KR]
KR,TH,,,22.2,1.3,EL_to_NH3_[KR]
KR,TH,,,22.2,1.9,NH3_Storage_[KR]
KR,TH,,,22.2,0.6,NH3_to_EL_[KR]
KR,TH,,,22.2,0.0,NH3_to_HTH_[KR]
KR,TH,,,22.2,1.2,FF_to_HTH_[KR]
KR,TH,,,22.2,0.0,EL_Demand_[KR]
KR,TH,,,22.2,0.0,HTH_Demand_[KR]
KR,TH,,,22.2,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,22.2,2.9,RE_PV_Openfield_Lim_[TH]
KR,TH,,,22.2,11.7,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,22.2,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,22.2,0.0,PP_CO2_[TH]
KR,TH,,,22.2,0.3,BESS_[TH]
KR,TH,,,22.2,0.4,EL_to_HTH_[TH]
KR,TH,,,22.2,0.4,EL_to_NH3_[TH]
KR,TH,,,22.2,1.0,NH3_Storage_[TH]
KR,TH,,,22.2,0.3,NH3_to_EL_[TH]
KR,TH,,,22.2,0.0,NH3_to_HTH_[TH]
KR,TH,,,22.2,1.0,FF_to_HTH_[TH]
KR,TH,,,22.2,0.0,EL_Demand_[TH]
KR,TH,,,22.2,0.0,HTH_Demand_[TH]
KR,TH,,,22.2,0.0,NH3_Transport_[KR-TH]
KR,TH,,,22.2,4.3,EL_Transport_[KR-TH]
KR,TH,,,44.5,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,44.5,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,44.5,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,44.5,10.0,RE_WIND_Offshore_Lim_[KR]
KR,TH,,,44.5,3.4,PP_CO2_[KR]
KR,TH,,,44.5,2.4,BESS_[KR]
KR,TH,,,44.5,0.3,EL_to_HTH_[KR]
KR,TH,,,44.5,0.2,EL_to_NH3_[KR]
KR,TH,,,44.5,0.2,NH3_Storage_[KR]
KR,TH,,,44.5,0.1,NH3_to_EL_[KR]
KR,TH,,,44.5,0.0,NH3_to_HTH_[KR]
KR,TH,,,44.5,1.6,FF_to_HTH_[KR]
KR,TH,,,44.5,0.0,EL_Demand_[KR]
KR,TH,,,44.5,0.0,HTH_Demand_[KR]
KR,TH,,,44.5,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,,,44.5,2.4,RE_PV_Openfield_Lim_[TH]
KR,TH,,,44.5,11.9,RE_WIND_Onshore_Lim_[TH]
KR,TH,,,44.5,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,,,44.5,0.1,PP_CO2_[TH]
KR,TH,,,44.5,0.4,BESS_[TH]
KR,TH,,,44.5,0.4,EL_to_HTH_[TH]
KR,TH,,,44.5,0.1,EL_to_NH3_[TH]
KR,TH,,,44.5,0.2,NH3_Storage_[TH]
KR,TH,,,44.5,0.1,NH3_to_EL_[TH]
KR,TH,,,44.5,0.0,NH3_to_HTH_[TH]
KR,TH,,,44.5,1.4,FF_to_HTH_[TH]
KR,TH,,,44.5,0.0,EL_Demand_[TH]
KR,TH,,,44.5,0.0,HTH_Demand_[TH]
KR,TH,,,44.5,0.0,NH3_Transport_[KR-TH]
KR,TH,,,44.5,4.2,EL_Transport_[KR-TH]
KR,TH,,,66.7,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,,,66.7,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,,,66.7,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,,,66.7,9.5,RE_WIND_Offshore_Lim_[KR]
