country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
KR,VN,LA,,35.6,0.8,42.0,RE_PV_Rooftop_Lim_[KR]
KR,VN,LA,,35.6,2.1,130.0,RE_PV_Openfield_Lim_[KR]
KR,VN,LA,,35.6,1.3,33.0,RE_WIND_Onshore_Lim_[KR]
KR,VN,LA,,35.6,0.0,0.1,RE_WIND_Offshore_Lim_[KR]
KR,VN,LA,,35.6,2.7,48.7,PP_CO2_[KR]
KR,VN,LA,,35.6,4.1,229.7,BESS_[KR]
KR,VN,LA,,35.6,0.3,23.4,EL_to_HTH_[KR]
KR,VN,LA,,35.6,0.4,7.5,EL_to_NH3_[KR]
KR,VN,LA,,35.6,0.4,25.1,NH3_Storage_[KR]
KR,VN,LA,,35.6,0.1,1.8,NH3_to_EL_[KR]
KR,VN,LA,,35.6,0.0,1.5,NH3_to_HTH_[KR]
KR,VN,LA,,35.6,1.2,23.4,FF_to_HTH_[KR]
KR,VN,LA,,35.6,0.0,93.8,EL_Demand_[KR]
KR,VN,LA,,35.6,0.0,23.8,HTH_Demand_[KR]
KR,VN,LA,,35.6,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
KR,VN,LA,,35.6,1.4,70.5,RE_PV_Openfield_Lim_[VN]
KR,VN,LA,,35.6,10.0,208.0,RE_WIND_Onshore_Lim_[VN]
KR,VN,LA,,35.6,7.9,149.1,RE_WIND_Offshore_Lim_[VN]
KR,VN,LA,,35.6,0.0,0.0,PP_CO2_[VN]
KR,VN,LA,,35.6,0.0,0.1,BESS_[VN]
KR,VN,LA,,35.6,0.5,45.7,EL_to_HTH_[VN]
KR,VN,LA,,35.6,0.5,7.9,EL_to_NH3_[VN]
KR,VN,LA,,35.6,0.7,39.4,NH3_Storage_[VN]
KR,VN,LA,,35.6,0.2,2.8,NH3_to_EL_[VN]
KR,VN,LA,,35.6,0.0,2.4,NH3_to_HTH_[VN]
KR,VN,LA,,35.6,1.6,45.3,FF_to_HTH_[VN]
KR,VN,LA,,35.6,0.0,51.6,EL_Demand_[VN]
KR,VN,LA,,35.6,0.0,46.8,HTH_Demand_[VN]
KR,VN,LA,,35.6,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
KR,VN,LA,,35.6,0.1,6.6,RE_PV_Openfield_Lim_[LA]
KR,VN,LA,,35.6,0.4,8.7,RE_WIND_Onshore_Lim_[LA]
KR,VN,LA,,35.6,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
KR,VN,LA,,35.6,0.0,0.0,PP_CO2_[LA]
KR,VN,LA,,35.6,0.0,1.0,BESS_[LA]
KR,VN,LA,,35.6,0.0,0.3,EL_to_HTH_[LA]
KR,VN,LA,,35.6,0.1,1.0,EL_to_NH3_[LA]
