country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,VN,LA,,98.9,0.0,RE_PV_Rooftop_Lim_[KR]
KR,VN,LA,,98.9,2.7,RE_PV_Openfield_Lim_[KR]
KR,VN,LA,,98.9,0.0,RE_WIND_Onshore_Lim_[KR]
KR,VN,LA,,98.9,7.8,RE_WIND_Offshore_Lim_[KR]
KR,VN,LA,,98.9,6.5,PP_CO2_[KR]
KR,VN,LA,,98.9,0.5,BESS_[KR]
KR,VN,LA,,98.9,0.3,EL_to_HTH_[KR]
KR,VN,LA,,98.9,0.0,EL_to_NH3_[KR]
KR,VN,LA,,98.9,0.0,NH3_Storage_[KR]
KR,VN,LA,,98.9,0.0,NH3_to_EL_[KR]
KR,VN,LA,,98.9,0.0,NH3_to_HTH_[KR]
KR,VN,LA,,98.9,2.0,FF_to_HTH_[KR]
KR,VN,LA,,98.9,0.0,EL_Demand_[KR]
KR,VN,LA,,98.9,0.0,HTH_Demand_[KR]
KR,VN,LA,,98.9,0.0,RE_PV_Rooftop_Lim_[VN]
KR,VN,LA,,98.9,0.4,RE_PV_Openfield_Lim_[VN]
KR,VN,LA,,98.9,3.1,RE_WIND_Onshore_Lim_[VN]
KR,VN,LA,,98.9,5.7,RE_WIND_Offshore_Lim_[VN]
KR,VN,LA,,98.9,0.9,PP_CO2_[VN]
KR,VN,LA,,98.9,0.0,BESS_[VN]
KR,VN,LA,,98.9,0.5,EL_to_HTH_[VN]
KR,VN,LA,,98.9,0.0,EL_to_NH3_[VN]
KR,VN,LA,,98.9,0.0,NH3_Storage_[VN]
KR,VN,LA,,98.9,0.0,NH3_to_EL_[VN]
KR,VN,LA,,98.9,0.0,NH3_to_HTH_[VN]
KR,VN,LA,,98.9,2.8,FF_to_HTH_[VN]
KR,VN,LA,,98.9,0.0,EL_Demand_[VN]
KR,VN,LA,,98.9,0.0,HTH_Demand_[VN]
KR,VN,LA,,98.9,0.0,RE_PV_Rooftop_Lim_[LA]
KR,VN,LA,,98.9,0.1,RE_PV_Openfield_Lim_[LA]
KR,VN,LA,,98.9,0.0,RE_WIND_Onshore_Lim_[LA]
KR,VN,LA,,98.9,0.0,RE_WIND_Offshore_Lim_[LA]
KR,VN,LA,,98.9,0.2,PP_CO2_[LA]
KR,VN,LA,,98.9,0.0,BESS_[LA]
