country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
VN,KR,,,97.9,0.0,RE_PV_Rooftop_Lim_[KR]
VN,KR,,,97.9,2.7,RE_PV_Openfield_Lim_[KR]
VN,KR,,,97.9,0.0,RE_WIND_Onshore_Lim_[KR]
VN,KR,,,97.9,10.5,RE_WIND_Offshore_Lim_[KR]
VN,KR,,,97.9,5.4,PP_CO2_[KR]
VN,KR,,,97.9,2.4,BESS_[KR]
VN,KR,,,97.9,0.3,EL_to_HTH_[KR]
VN,KR,,,97.9,0.0,EL_to_NH3_[KR]
VN,KR,,,97.9,0.0,NH3_Storage_[KR]
VN,KR,,,97.9,0.0,NH3_to_EL_[KR]
VN,KR,,,97.9,0.0,NH3_to_HTH_[KR]
VN,KR,,,97.9,1.9,FF_to_HTH_[KR]
VN,KR,,,97.9,0.0,EL_Demand_[KR]
VN,KR,,,97.9,0.0,HTH_Demand_[KR]
VN,KR,,,97.9,0.0,RE_PV_Rooftop_Lim_[VN]
VN,KR,,,97.9,1.6,RE_PV_Openfield_Lim_[VN]
VN,KR,,,97.9,4.4,RE_WIND_Onshore_Lim_[VN]
VN,KR,,,97.9,4.0,RE_WIND_Offshore_Lim_[VN]
VN,KR,,,97.9,2.0,PP_CO2_[VN]
VN,KR,,,97.9,0.4,BESS_[VN]
VN,KR,,,97.9,0.5,EL_to_HTH_[VN]
VN,KR,,,97.9,0.0,EL_to_NH3_[VN]
VN,KR,,,97.9,0.0,NH3_Storage_[VN]
VN,KR,,,97.9,0.0,NH3_to_EL_[VN]
VN,KR,,,97.9,0.0,NH3_to_HTH_[VN]
VN,KR,,,97.9,2.3,FF_to_HTH_[VN]
VN,KR,,,97.9,0.0,EL_Demand_[VN]
VN,KR,,,97.9,0.0,HTH_Demand_[VN]
VN,KR,,,24.5,0.0,RE_PV_Rooftop_Lim_[KR]
VN,KR,,,24.5,2.7,RE_PV_Openfield_Lim_[KR]
VN,KR,,,24.5,0.0,RE_WIND_Onshore_Lim_[KR]
