country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
VN,KR,,,97.9,0.0,RE_PV_Rooftop_Lim_[KR]
VN,KR,,,97.9,2.7,RE_PV_Openfield_Lim_[KR]
VN,KR,,,97.9,0.0,RE_WIND_Onshore_Lim_[KR]
VN,KR,,,97.9,7.8,RE_WIND_Offshore_Lim_[KR]
VN,KR,,,97.9,6.5,PP_CO2_[KR]
VN,KR,,,97.9,0.5,BESS_[KR]
VN,KR,,,97.9,0.3,EL_to_HTH_[KR]
VN,KR,,,97.9,0.0,EL_to_NH3_[KR]
VN,KR,,,97.9,0.0,NH3_Storage_[KR]
VN,KR,,,97.9,0.0,NH3_to_EL_[KR]
VN,KR,,,97.9,0.0,NH3_to_HTH_[KR]
VN,KR,,,97.9,2.0,FF_to_HTH_[KR]
VN,KR,,,97.9,0.0,EL_Demand_[KR]
VN,KR,,,97.9,0.0,HTH_Demand_[KR]
VN,KR,,,97.9,0.0,RE_PV_Rooftop_Lim_[VN]
VN,KR,,,97.9,0.5,RE_PV_Openfield_Lim_[VN]
VN,KR,,,97.9,3.2,RE_WIND_Onshore_Lim_[VN]
VN,KR,,,97.9,5.6,RE_WIND_Offshore_Lim_[VN]
VN,KR,,,97.9,0.9,PP_CO2_[VN]
VN,KR,,,97.9,0.0,BESS_[VN]
VN,KR,,,97.9,0.5,EL_to_HTH_[VN]
VN,KR,,,97.9,0.0,EL_to_NH3_[VN]
VN,KR,,,97.9,0.0,NH3_Storage_[VN]
VN,KR,,,97.9,0.0,NH3_to_EL_[VN]
VN,KR,,,97.9,0.0,NH3_to_HTH_[VN]
VN,KR,,,97.9,2.8,FF_to_HTH_[VN]
VN,KR,,,97.9,0.0,EL_Demand_[VN]
VN,KR,,,97.9,0.0,HTH_Demand_[VN]
VN,KR,,,97.9,0.0,NH3_Transport_[KR-VN]
VN,KR,,,97.9,2.8,EL_Transport_[KR-VN]
VN,KR,,,24.5,0.0,RE_PV_Rooftop_Lim_[KR]
