country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
LA,BN,,,5.3,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
LA,BN,,,5.3,0.0,1.8,RE_PV_Openfield_Lim_[LA]
LA,BN,,,5.3,0.2,3.1,RE_WIND_Onshore_Lim_[LA]
LA,BN,,,5.3,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
LA,BN,,,5.3,0.1,1.1,PP_CO2_[LA]
LA,BN,,,5.3,0.0,0.2,BESS_[LA]
LA,BN,,,5.3,0.0,0.3,EL_to_HTH_[LA]
LA,BN,,,5.3,0.0,0.0,EL_to_NH3_[LA]
LA,BN,,,5.3,0.0,0.0,NH3_Storage_[LA]
LA,BN,,,5.3,0.0,0.0,NH3_to_EL_[LA]
LA,BN,,,5.3,0.0,0.0,NH3_to_HTH_[LA]
LA,BN,,,5.3,0.0,0.3,FF_to_HTH_[LA]
LA,BN,,,5.3,0.0,1.6,EL_Demand_[LA]
LA,BN,,,5.3,0.0,0.3,HTH_Demand_[LA]
LA,BN,,,5.3,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
LA,BN,,,5.3,0.1,2.6,RE_PV_Openfield_Lim_[BN]
LA,BN,,,5.3,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
LA,BN,,,5.3,0.0,0.4,RE_WIND_Offshore_Lim_[BN]
LA,BN,,,5.3,0.2,1.2,PP_CO2_[BN]
LA,BN,,,5.3,0.0,0.9,BESS_[BN]
LA,BN,,,5.3,0.0,0.1,EL_to_HTH_[BN]
LA,BN,,,5.3,0.0,0.0,EL_to_NH3_[BN]
LA,BN,,,5.3,0.0,0.0,NH3_Storage_[BN]
LA,BN,,,5.3,0.0,0.0,NH3_to_EL_[BN]
LA,BN,,,5.3,0.0,0.0,NH3_to_HTH_[BN]
LA,BN,,,5.3,0.0,0.1,FF_to_HTH_[BN]
LA,BN,,,5.3,0.0,1.5,EL_Demand_[BN]
LA,BN,,,5.3,0.0,0.1,HTH_Demand_[BN]
LA,BN,,,4.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
LA,BN,,,4.0,0.0,2.2,RE_PV_Openfield_Lim_[LA]
LA,BN,,,4.0,0.2,3.5,RE_WIND_Onshore_Lim_[LA]
LA,BN,,,4.0,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
LA,BN,,,4.0,0.1,1.1,PP_CO2_[LA]
LA,BN,,,4.0,0.0,0.4,BESS_[LA]
LA,BN,,,4.0,0.0,0.3,EL_to_HTH_[LA]
LA,BN,,,4.0,0.0,0.0,EL_to_NH3_[LA]
LA,BN,,,4.0,0.0,0.0,NH3_Storage_[LA]
LA,BN,,,4.0,0.0,0.0,NH3_to_EL_[LA]
LA,BN,,,4.0,0.0,0.0,NH3_to_HTH_[LA]
LA,BN,,,4.0,0.0,0.3,FF_to_HTH_[LA]
LA,BN,,,4.0,0.0,1.6,EL_Demand_[LA]
LA,BN,,,4.0,0.0,0.3,HTH_Demand_[LA]
LA,BN,,,4.0,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
LA,BN,,,4.0,0.1,3.5,RE_PV_Openfield_Lim_[BN]
LA,BN,,,4.0,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
