country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
TH,,,,65.9,1.6,80.1,RE_PV_Openfield_Lim_[TH]
TH,,,,65.9,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
TH,,,,65.9,5.9,121.7,RE_WIND_Onshore_Lim_[TH]
TH,,,,65.9,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
TH,,,,65.9,4.0,46.3,PP_CO2_[TH]
TH,,,,65.9,0.1,3.8,BESS_[TH]
TH,,,,65.9,0.4,32.3,EL_to_HTH_[TH]
TH,,,,65.9,0.0,0.0,EL_to_NH3_[TH]
TH,,,,65.9,0.0,0.0,NH3_Storage_[TH]
TH,,,,65.9,0.0,0.0,NH3_to_EL_[TH]
TH,,,,65.9,0.0,0.0,NH3_to_HTH_[TH]
TH,,,,65.9,3.4,33.2,FF_to_HTH_[TH]
TH,,,,65.9,0.0,65.4,EL_Demand_[TH]
TH,,,,65.9,0.0,34.3,HTH_Demand_[TH]
LA,,,,2.0,0.0,1.6,RE_PV_Openfield_Lim_[LA]
LA,,,,2.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
LA,,,,2.0,0.1,2.8,RE_WIND_Onshore_Lim_[LA]
LA,,,,2.0,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
LA,,,,2.0,0.1,1.2,PP_CO2_[LA]
LA,,,,2.0,0.0,0.1,BESS_[LA]
LA,,,,2.0,0.0,0.3,EL_to_HTH_[LA]
LA,,,,2.0,0.0,0.0,EL_to_NH3_[LA]
LA,,,,2.0,0.0,0.0,NH3_Storage_[LA]
LA,,,,2.0,0.0,0.0,NH3_to_EL_[LA]
LA,,,,2.0,0.0,0.0,NH3_to_HTH_[LA]
LA,,,,2.0,0.0,0.3,FF_to_HTH_[LA]
LA,,,,2.0,0.0,1.6,EL_Demand_[LA]
LA,,,,2.0,0.0,0.3,HTH_Demand_[LA]
CL,,,,1.7,0.0,0.0,RE_PV_Openfield_Lim_[CL]
CL,,,,1.7,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
CL,,,,1.7,1.7,51.8,RE_WIND_Onshore_Lim_[CL]
CL,,,,1.7,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
CL,,,,1.7,0.1,2.6,PP_CO2_[CL]
CL,,,,1.7,0.0,1.9,BESS_[CL]
CL,,,,1.7,0.2,13.4,EL_to_HTH_[CL]
CL,,,,1.7,0.0,0.0,EL_to_NH3_[CL]
CL,,,,1.7,0.0,0.0,NH3_Storage_[CL]
CL,,,,1.7,0.0,0.0,NH3_to_EL_[CL]
CL,,,,1.7,0.0,0.0,NH3_to_HTH_[CL]
CL,,,,1.7,0.3,13.2,FF_to_HTH_[CL]
CL,,,,1.7,0.0,24.8,EL_Demand_[CL]
CL,,,,1.7,0.0,13.6,HTH_Demand_[CL]
EG,,,,26.1,1.2,36.6,RE_PV_Openfield_Lim_[EG]
EG,,,,26.1,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,,,,26.1,6.3,132.1,RE_WIND_Onshore_Lim_[EG]
EG,,,,26.1,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,,,,26.1,1.9,30.6,PP_CO2_[EG]
EG,,,,26.1,0.3,18.2,BESS_[EG]
EG,,,,26.1,0.4,40.0,EL_to_HTH_[EG]
EG,,,,26.1,0.0,0.0,EL_to_NH3_[EG]
EG,,,,26.1,0.0,0.0,NH3_Storage_[EG]
EG,,,,26.1,0.0,0.0,NH3_to_EL_[EG]
EG,,,,26.1,0.0,0.0,NH3_to_HTH_[EG]
EG,,,,26.1,2.3,39.6,FF_to_HTH_[EG]
EG,,,,26.1,0.0,76.9,EL_Demand_[EG]
EG,,,,26.1,0.0,41.1,HTH_Demand_[EG]
ID,,,,198.6,3.0,147.3,RE_PV_Openfield_Lim_[ID]
ID,,,,198.6,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,,,,198.6,0.0,0.0,RE_WIND_Onshore_Lim_[ID]
ID,,,,198.6,15.7,298.6,RE_WIND_Offshore_Lim_[ID]
ID,,,,198.6,8.2,94.8,PP_CO2_[ID]
ID,,,,198.6,0.0,2.4,BESS_[ID]
ID,,,,198.6,1.2,110.5,EL_to_HTH_[ID]
ID,,,,198.6,0.0,0.0,EL_to_NH3_[ID]
ID,,,,198.6,0.0,1.9,NH3_Storage_[ID]
ID,,,,198.6,0.1,0.6,NH3_to_EL_[ID]
ID,,,,198.6,0.0,0.0,NH3_to_HTH_[ID]
ID,,,,198.6,11.9,116.6,FF_to_HTH_[ID]
ID,,,,198.6,0.0,138.0,EL_Demand_[ID]
ID,,,,198.6,0.0,117.7,HTH_Demand_[ID]
BR,,,,51.2,3.8,132.3,RE_PV_Openfield_Lim_[BR]
BR,,,,51.2,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,,,,51.2,17.2,649.4,RE_WIND_Onshore_Lim_[BR]
BR,,,,51.2,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,,,,51.2,4.9,90.8,PP_CO2_[BR]
BR,,,,51.2,0.3,17.4,BESS_[BR]
BR,,,,51.2,1.5,132.3,EL_to_HTH_[BR]
BR,,,,51.2,0.0,0.0,EL_to_NH3_[BR]
BR,,,,51.2,0.0,0.2,NH3_Storage_[BR]
BR,,,,51.2,0.0,0.0,NH3_to_EL_[BR]
BR,,,,51.2,0.0,0.2,NH3_to_HTH_[BR]
BR,,,,51.2,6.0,131.4,FF_to_HTH_[BR]
BR,,,,51.2,0.0,206.6,EL_Demand_[BR]
BR,,,,51.2,0.0,137.1,HTH_Demand_[BR]
KH,,,,9.0,0.1,5.0,RE_PV_Openfield_Lim_[KH]
KH,,,,9.0,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
KH,,,,9.0,0.7,15.5,RE_WIND_Onshore_Lim_[KH]
KH,,,,9.0,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
KH,,,,9.0,0.0,0.7,PP_CO2_[KH]
KH,,,,9.0,0.0,0.5,BESS_[KH]
KH,,,,9.0,0.1,10.4,EL_to_HTH_[KH]
KH,,,,9.0,0.0,0.0,EL_to_NH3_[KH]
KH,,,,9.0,0.0,0.0,NH3_Storage_[KH]
KH,,,,9.0,0.0,0.0,NH3_to_EL_[KH]
KH,,,,9.0,0.0,0.0,NH3_to_HTH_[KH]
KH,,,,9.0,1.0,11.2,FF_to_HTH_[KH]
KH,,,,9.0,0.0,2.8,EL_Demand_[KH]
KH,,,,9.0,0.0,11.5,HTH_Demand_[KH]
BN,,,,4.5,0.0,2.4,RE_PV_Openfield_Lim_[BN]
BN,,,,4.5,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
BN,,,,4.5,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
BN,,,,4.5,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
BN,,,,4.5,0.2,1.3,PP_CO2_[BN]
BN,,,,4.5,0.0,0.3,BESS_[BN]
BN,,,,4.5,0.0,0.1,EL_to_HTH_[BN]
