country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,50.7,0.1,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,50.7,1.9,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,50.7,0.0,PP_CO2_[MA]
EG,NG,MA,,50.7,0.0,BESS_[MA]
EG,NG,MA,,50.7,0.1,EL_to_HTH_[MA]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[MA]
EG,NG,MA,,50.7,0.0,NH3_Storage_[MA]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[MA]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,50.7,0.3,FF_to_HTH_[MA]
EG,NG,MA,,50.7,0.0,EL_Demand_[MA]
EG,NG,MA,,50.7,0.0,HTH_Demand_[MA]
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,50.7,1.0,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,50.7,6.8,RE_WIND_Onshore_Lim_[EG]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,MA,,50.7,0.3,PP_CO2_[EG]
EG,NG,MA,,50.7,0.1,BESS_[EG]
EG,NG,MA,,50.7,0.4,EL_to_HTH_[EG]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[EG]
EG,NG,MA,,50.7,0.0,NH3_Storage_[EG]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[EG]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[EG]
EG,NG,MA,,50.7,1.7,FF_to_HTH_[EG]
EG,NG,MA,,50.7,0.0,EL_Demand_[EG]
EG,NG,MA,,50.7,0.0,HTH_Demand_[EG]
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,MA,,50.7,2.8,RE_PV_Openfield_Lim_[NG]
EG,NG,MA,,50.7,6.5,RE_WIND_Onshore_Lim_[NG]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,MA,,50.7,1.2,PP_CO2_[NG]
EG,NG,MA,,50.7,1.6,BESS_[NG]
EG,NG,MA,,50.7,0.5,EL_to_HTH_[NG]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[NG]
EG,NG,MA,,50.7,0.0,NH3_Storage_[NG]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[NG]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[NG]
EG,NG,MA,,50.7,3.2,FF_to_HTH_[NG]
EG,NG,MA,,50.7,0.0,EL_Demand_[NG]
EG,NG,MA,,50.7,0.0,HTH_Demand_[NG]
EG,NG,MA,,50.7,0.0,NH3_Transport_[MA-EG]
EG,NG,MA,,50.7,0.5,EL_Transport_[MA-EG]
EG,NG,MA,,50.7,0.0,NH3_Transport_[MA-NG]
EG,NG,MA,,50.7,0.8,EL_Transport_[MA-NG]
EG,NG,MA,,50.7,0.0,NH3_Transport_[EG-NG]
EG,NG,MA,,50.7,3.1,EL_Transport_[EG-NG]
EG,NG,MA,,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,0.0,0.0,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,0.0,2.1,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,0.0,0.0,PP_CO2_[MA]
EG,NG,MA,,0.0,0.0,BESS_[MA]
EG,NG,MA,,0.0,0.1,EL_to_HTH_[MA]
EG,NG,MA,,0.0,0.1,EL_to_NH3_[MA]
EG,NG,MA,,0.0,0.5,NH3_Storage_[MA]
EG,NG,MA,,0.0,0.0,NH3_to_EL_[MA]
EG,NG,MA,,0.0,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,0.0,0.0,FF_to_HTH_[MA]
EG,NG,MA,,0.0,0.0,EL_Demand_[MA]
EG,NG,MA,,0.0,0.0,HTH_Demand_[MA]
EG,NG,MA,,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,0.0,1.1,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,0.0,9.3,RE_WIND_Onshore_Lim_[EG]
EG,NG,MA,,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,MA,,0.0,0.0,PP_CO2_[EG]
EG,NG,MA,,0.0,0.0,BESS_[EG]
EG,NG,MA,,0.0,0.5,EL_to_HTH_[EG]
EG,NG,MA,,0.0,0.2,EL_to_NH3_[EG]
EG,NG,MA,,0.0,1.1,NH3_Storage_[EG]
EG,NG,MA,,0.0,0.0,NH3_to_EL_[EG]
EG,NG,MA,,0.0,0.1,NH3_to_HTH_[EG]
EG,NG,MA,,0.0,0.0,FF_to_HTH_[EG]
EG,NG,MA,,0.0,0.0,EL_Demand_[EG]
EG,NG,MA,,0.0,0.0,HTH_Demand_[EG]
EG,NG,MA,,0.0,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,MA,,0.0,3.5,RE_PV_Openfield_Lim_[NG]
EG,NG,MA,,0.0,10.1,RE_WIND_Onshore_Lim_[NG]
EG,NG,MA,,0.0,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,MA,,0.0,0.0,PP_CO2_[NG]
EG,NG,MA,,0.0,0.9,BESS_[NG]
EG,NG,MA,,0.0,0.5,EL_to_HTH_[NG]
EG,NG,MA,,0.0,0.8,EL_to_NH3_[NG]
EG,NG,MA,,0.0,2.2,NH3_Storage_[NG]
EG,NG,MA,,0.0,0.0,NH3_to_EL_[NG]
EG,NG,MA,,0.0,0.1,NH3_to_HTH_[NG]
EG,NG,MA,,0.0,0.0,FF_to_HTH_[NG]
EG,NG,MA,,0.0,0.0,EL_Demand_[NG]
EG,NG,MA,,0.0,0.0,HTH_Demand_[NG]
EG,NG,MA,,0.0,0.0,NH3_Transport_[MA-EG]
EG,NG,MA,,0.0,0.4,EL_Transport_[MA-EG]
EG,NG,MA,,0.0,0.0,NH3_Transport_[MA-NG]
EG,NG,MA,,0.0,1.0,EL_Transport_[MA-NG]
EG,NG,MA,,0.0,0.0,NH3_Transport_[EG-NG]
EG,NG,MA,,0.0,6.1,EL_Transport_[EG-NG]
EG,NG,MA,,11.7,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,11.7,0.0,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,11.7,2.3,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,11.7,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,11.7,0.0,PP_CO2_[MA]
EG,NG,MA,,11.7,0.0,BESS_[MA]
EG,NG,MA,,11.7,0.1,EL_to_HTH_[MA]
EG,NG,MA,,11.7,0.1,EL_to_NH3_[MA]
EG,NG,MA,,11.7,0.1,NH3_Storage_[MA]
EG,NG,MA,,11.7,0.0,NH3_to_EL_[MA]
EG,NG,MA,,11.7,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,11.7,0.1,FF_to_HTH_[MA]
EG,NG,MA,,11.7,0.0,EL_Demand_[MA]
EG,NG,MA,,11.7,0.0,HTH_Demand_[MA]
EG,NG,MA,,11.7,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,11.7,1.0,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,11.7,8.2,RE_WIND_Onshore_Lim_[EG]
EG,NG,MA,,11.7,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,MA,,11.7,0.0,PP_CO2_[EG]
EG,NG,MA,,11.7,0.0,BESS_[EG]
EG,NG,MA,,11.7,0.4,EL_to_HTH_[EG]
EG,NG,MA,,11.7,0.5,EL_to_NH3_[EG]
EG,NG,MA,,11.7,0.7,NH3_Storage_[EG]
EG,NG,MA,,11.7,0.0,NH3_to_EL_[EG]
EG,NG,MA,,11.7,0.0,NH3_to_HTH_[EG]
EG,NG,MA,,11.7,0.4,FF_to_HTH_[EG]
EG,NG,MA,,11.7,0.0,EL_Demand_[EG]
EG,NG,MA,,11.7,0.0,HTH_Demand_[EG]
EG,NG,MA,,11.7,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,MA,,11.7,3.1,RE_PV_Openfield_Lim_[NG]
EG,NG,MA,,11.7,9.2,RE_WIND_Onshore_Lim_[NG]
EG,NG,MA,,11.7,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,MA,,11.7,0.0,PP_CO2_[NG]
EG,NG,MA,,11.7,1.8,BESS_[NG]
EG,NG,MA,,11.7,0.5,EL_to_HTH_[NG]
EG,NG,MA,,11.7,0.3,EL_to_NH3_[NG]
EG,NG,MA,,11.7,0.4,NH3_Storage_[NG]
EG,NG,MA,,11.7,0.0,NH3_to_EL_[NG]
EG,NG,MA,,11.7,0.0,NH3_to_HTH_[NG]
EG,NG,MA,,11.7,1.2,FF_to_HTH_[NG]
EG,NG,MA,,11.7,0.0,EL_Demand_[NG]
EG,NG,MA,,11.7,0.0,HTH_Demand_[NG]
EG,NG,MA,,11.7,0.0,NH3_Transport_[MA-EG]
EG,NG,MA,,11.7,0.4,EL_Transport_[MA-EG]
EG,NG,MA,,11.7,0.0,NH3_Transport_[MA-NG]
EG,NG,MA,,11.7,1.2,EL_Transport_[MA-NG]
EG,NG,MA,,11.7,0.0,NH3_Transport_[EG-NG]
EG,NG,MA,,11.7,4.1,EL_Transport_[EG-NG]
EG,NG,MA,,23.4,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,23.4,0.0,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,23.4,2.3,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,23.4,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,23.4,0.0,PP_CO2_[MA]
EG,NG,MA,,23.4,0.0,BESS_[MA]
EG,NG,MA,,23.4,0.1,EL_to_HTH_[MA]
EG,NG,MA,,23.4,0.0,EL_to_NH3_[MA]
EG,NG,MA,,23.4,0.0,NH3_Storage_[MA]
EG,NG,MA,,23.4,0.0,NH3_to_EL_[MA]
EG,NG,MA,,23.4,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,23.4,0.1,FF_to_HTH_[MA]
EG,NG,MA,,23.4,0.0,EL_Demand_[MA]
EG,NG,MA,,23.4,0.0,HTH_Demand_[MA]
EG,NG,MA,,23.4,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,23.4,1.0,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,23.4,7.8,RE_WIND_Onshore_Lim_[EG]
EG,NG,MA,,23.4,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,MA,,23.4,0.0,PP_CO2_[EG]
EG,NG,MA,,23.4,0.1,BESS_[EG]
EG,NG,MA,,23.4,0.4,EL_to_HTH_[EG]
EG,NG,MA,,23.4,0.1,EL_to_NH3_[EG]
EG,NG,MA,,23.4,0.1,NH3_Storage_[EG]
EG,NG,MA,,23.4,0.0,NH3_to_EL_[EG]
EG,NG,MA,,23.4,0.0,NH3_to_HTH_[EG]
EG,NG,MA,,23.4,1.0,FF_to_HTH_[EG]
EG,NG,MA,,23.4,0.0,EL_Demand_[EG]
EG,NG,MA,,23.4,0.0,HTH_Demand_[EG]
EG,NG,MA,,23.4,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,MA,,23.4,3.2,RE_PV_Openfield_Lim_[NG]
EG,NG,MA,,23.4,8.2,RE_WIND_Onshore_Lim_[NG]
EG,NG,MA,,23.4,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,MA,,23.4,0.0,PP_CO2_[NG]
EG,NG,MA,,23.4,2.1,BESS_[NG]
EG,NG,MA,,23.4,0.5,EL_to_HTH_[NG]
EG,NG,MA,,23.4,0.0,EL_to_NH3_[NG]
EG,NG,MA,,23.4,0.0,NH3_Storage_[NG]
EG,NG,MA,,23.4,0.0,NH3_to_EL_[NG]
EG,NG,MA,,23.4,0.0,NH3_to_HTH_[NG]
EG,NG,MA,,23.4,2.0,FF_to_HTH_[NG]
EG,NG,MA,,23.4,0.0,EL_Demand_[NG]
EG,NG,MA,,23.4,0.0,HTH_Demand_[NG]
EG,NG,MA,,23.4,0.0,NH3_Transport_[MA-EG]
EG,NG,MA,,23.4,0.4,EL_Transport_[MA-EG]
EG,NG,MA,,23.4,0.0,NH3_Transport_[MA-NG]
EG,NG,MA,,23.4,1.2,EL_Transport_[MA-NG]
EG,NG,MA,,23.4,0.0,NH3_Transport_[EG-NG]
EG,NG,MA,,23.4,3.7,EL_Transport_[EG-NG]
EG,NG,MA,,35.1,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,35.1,0.0,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,35.1,2.0,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,35.1,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,35.1,0.0,PP_CO2_[MA]
EG,NG,MA,,35.1,0.0,BESS_[MA]
EG,NG,MA,,35.1,0.1,EL_to_HTH_[MA]
EG,NG,MA,,35.1,0.0,EL_to_NH3_[MA]
EG,NG,MA,,35.1,0.0,NH3_Storage_[MA]
EG,NG,MA,,35.1,0.0,NH3_to_EL_[MA]
EG,NG,MA,,35.1,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,35.1,0.2,FF_to_HTH_[MA]
EG,NG,MA,,35.1,0.0,EL_Demand_[MA]
EG,NG,MA,,35.1,0.0,HTH_Demand_[MA]
EG,NG,MA,,35.1,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,35.1,1.0,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,35.1,7.4,RE_WIND_Onshore_Lim_[EG]
EG,NG,MA,,35.1,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,MA,,35.1,0.1,PP_CO2_[EG]
EG,NG,MA,,35.1,0.2,BESS_[EG]
EG,NG,MA,,35.1,0.5,EL_to_HTH_[EG]
EG,NG,MA,,35.1,0.0,EL_to_NH3_[EG]
EG,NG,MA,,35.1,0.0,NH3_Storage_[EG]
EG,NG,MA,,35.1,0.0,NH3_to_EL_[EG]
EG,NG,MA,,35.1,0.0,NH3_to_HTH_[EG]
EG,NG,MA,,35.1,1.3,FF_to_HTH_[EG]
EG,NG,MA,,35.1,0.0,EL_Demand_[EG]
EG,NG,MA,,35.1,0.0,HTH_Demand_[EG]
EG,NG,MA,,35.1,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,MA,,35.1,3.2,RE_PV_Openfield_Lim_[NG]
EG,NG,MA,,35.1,7.1,RE_WIND_Onshore_Lim_[NG]
EG,NG,MA,,35.1,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,MA,,35.1,0.4,PP_CO2_[NG]
EG,NG,MA,,35.1,2.1,BESS_[NG]
EG,NG,MA,,35.1,0.5,EL_to_HTH_[NG]
EG,NG,MA,,35.1,0.0,EL_to_NH3_[NG]
EG,NG,MA,,35.1,0.0,NH3_Storage_[NG]
EG,NG,MA,,35.1,0.0,NH3_to_EL_[NG]
EG,NG,MA,,35.1,0.0,NH3_to_HTH_[NG]
EG,NG,MA,,35.1,2.6,FF_to_HTH_[NG]
EG,NG,MA,,35.1,0.0,EL_Demand_[NG]
EG,NG,MA,,35.1,0.0,HTH_Demand_[NG]
EG,NG,MA,,35.1,0.0,NH3_Transport_[MA-EG]
EG,NG,MA,,35.1,0.5,EL_Transport_[MA-EG]
EG,NG,MA,,35.1,0.0,NH3_Transport_[MA-NG]
EG,NG,MA,,35.1,0.9,EL_Transport_[MA-NG]
EG,NG,MA,,35.1,0.0,NH3_Transport_[EG-NG]
EG,NG,MA,,35.1,3.5,EL_Transport_[EG-NG]
EG,NG,MA,,46.8,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,46.8,0.1,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,46.8,1.9,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,46.8,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,46.8,0.0,PP_CO2_[MA]
EG,NG,MA,,46.8,0.0,BESS_[MA]
EG,NG,MA,,46.8,0.1,EL_to_HTH_[MA]
EG,NG,MA,,46.8,0.0,EL_to_NH3_[MA]
EG,NG,MA,,46.8,0.0,NH3_Storage_[MA]
EG,NG,MA,,46.8,0.0,NH3_to_EL_[MA]
EG,NG,MA,,46.8,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,46.8,0.3,FF_to_HTH_[MA]
EG,NG,MA,,46.8,0.0,EL_Demand_[MA]
EG,NG,MA,,46.8,0.0,HTH_Demand_[MA]
EG,NG,MA,,46.8,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,46.8,1.0,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,46.8,6.9,RE_WIND_Onshore_Lim_[EG]
EG,NG,MA,,46.8,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,MA,,46.8,0.3,PP_CO2_[EG]
EG,NG,MA,,46.8,0.1,BESS_[EG]
EG,NG,MA,,46.8,0.4,EL_to_HTH_[EG]
EG,NG,MA,,46.8,0.0,EL_to_NH3_[EG]
EG,NG,MA,,46.8,0.0,NH3_Storage_[EG]
EG,NG,MA,,46.8,0.0,NH3_to_EL_[EG]
EG,NG,MA,,46.8,0.0,NH3_to_HTH_[EG]
EG,NG,MA,,46.8,1.6,FF_to_HTH_[EG]
EG,NG,MA,,46.8,0.0,EL_Demand_[EG]
EG,NG,MA,,46.8,0.0,HTH_Demand_[EG]
EG,NG,MA,,46.8,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,MA,,46.8,2.9,RE_PV_Openfield_Lim_[NG]
EG,NG,MA,,46.8,6.6,RE_WIND_Onshore_Lim_[NG]
EG,NG,MA,,46.8,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,MA,,46.8,1.0,PP_CO2_[NG]
EG,NG,MA,,46.8,1.8,BESS_[NG]
EG,NG,MA,,46.8,0.5,EL_to_HTH_[NG]
EG,NG,MA,,46.8,0.0,EL_to_NH3_[NG]
EG,NG,MA,,46.8,0.0,NH3_Storage_[NG]
EG,NG,MA,,46.8,0.0,NH3_to_EL_[NG]
EG,NG,MA,,46.8,0.0,NH3_to_HTH_[NG]
EG,NG,MA,,46.8,3.1,FF_to_HTH_[NG]
EG,NG,MA,,46.8,0.0,EL_Demand_[NG]
EG,NG,MA,,46.8,0.0,HTH_Demand_[NG]
EG,NG,MA,,46.8,0.0,NH3_Transport_[MA-EG]
EG,NG,MA,,46.8,0.5,EL_Transport_[MA-EG]
EG,NG,MA,,46.8,0.0,NH3_Transport_[MA-NG]
EG,NG,MA,,46.8,0.8,EL_Transport_[MA-NG]
EG,NG,MA,,46.8,0.0,NH3_Transport_[EG-NG]
EG,NG,MA,,46.8,3.2,EL_Transport_[EG-NG]
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,50.7,0.1,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,50.7,1.9,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,50.7,0.0,PP_CO2_[MA]
EG,NG,MA,,50.7,0.0,BESS_[MA]
EG,NG,MA,,50.7,0.1,EL_to_HTH_[MA]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[MA]
EG,NG,MA,,50.7,0.0,NH3_Storage_[MA]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[MA]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,50.7,0.3,FF_to_HTH_[MA]
EG,NG,MA,,50.7,0.0,EL_Demand_[MA]
EG,NG,MA,,50.7,0.0,HTH_Demand_[MA]
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,50.7,1.0,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,50.7,6.8,RE_WIND_Onshore_Lim_[EG]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,MA,,50.7,0.3,PP_CO2_[EG]
EG,NG,MA,,50.7,0.1,BESS_[EG]
EG,NG,MA,,50.7,0.4,EL_to_HTH_[EG]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[EG]
EG,NG,MA,,50.7,0.0,NH3_Storage_[EG]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[EG]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[EG]
EG,NG,MA,,50.7,1.7,FF_to_HTH_[EG]
EG,NG,MA,,50.7,0.0,EL_Demand_[EG]
EG,NG,MA,,50.7,0.0,HTH_Demand_[EG]
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,MA,,50.7,2.8,RE_PV_Openfield_Lim_[NG]
EG,NG,MA,,50.7,6.5,RE_WIND_Onshore_Lim_[NG]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,MA,,50.7,1.2,PP_CO2_[NG]
EG,NG,MA,,50.7,1.6,BESS_[NG]
EG,NG,MA,,50.7,0.5,EL_to_HTH_[NG]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[NG]
EG,NG,MA,,50.7,0.0,NH3_Storage_[NG]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[NG]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[NG]
EG,NG,MA,,50.7,3.2,FF_to_HTH_[NG]
EG,NG,MA,,50.7,0.0,EL_Demand_[NG]
EG,NG,MA,,50.7,0.0,HTH_Demand_[NG]
EG,NG,MA,,50.7,0.0,NH3_Transport_[MA-EG]
EG,NG,MA,,50.7,0.5,EL_Transport_[MA-EG]
EG,NG,MA,,50.7,0.0,NH3_Transport_[MA-NG]
EG,NG,MA,,50.7,0.8,EL_Transport_[MA-NG]
EG,NG,MA,,50.7,0.0,NH3_Transport_[EG-NG]
EG,NG,MA,,50.7,3.1,EL_Transport_[EG-NG]
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,50.7,0.1,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,50.7,1.9,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,50.7,0.0,PP_CO2_[MA]
EG,NG,MA,,50.7,0.0,BESS_[MA]
EG,NG,MA,,50.7,0.1,EL_to_HTH_[MA]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[MA]
EG,NG,MA,,50.7,0.0,NH3_Storage_[MA]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[MA]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,50.7,0.3,FF_to_HTH_[MA]
EG,NG,MA,,50.7,0.0,EL_Demand_[MA]
EG,NG,MA,,50.7,0.0,HTH_Demand_[MA]
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[EG]
EG,NG,MA,,50.7,1.0,RE_PV_Openfield_Lim_[EG]
EG,NG,MA,,50.7,6.8,RE_WIND_Onshore_Lim_[EG]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[EG]
EG,NG,MA,,50.7,0.3,PP_CO2_[EG]
EG,NG,MA,,50.7,0.1,BESS_[EG]
EG,NG,MA,,50.7,0.4,EL_to_HTH_[EG]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[EG]
EG,NG,MA,,50.7,0.0,NH3_Storage_[EG]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[EG]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[EG]
EG,NG,MA,,50.7,1.7,FF_to_HTH_[EG]
EG,NG,MA,,50.7,0.0,EL_Demand_[EG]
EG,NG,MA,,50.7,0.0,HTH_Demand_[EG]
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[NG]
EG,NG,MA,,50.7,2.8,RE_PV_Openfield_Lim_[NG]
EG,NG,MA,,50.7,6.5,RE_WIND_Onshore_Lim_[NG]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[NG]
EG,NG,MA,,50.7,1.2,PP_CO2_[NG]
EG,NG,MA,,50.7,1.6,BESS_[NG]
EG,NG,MA,,50.7,0.5,EL_to_HTH_[NG]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[NG]
EG,NG,MA,,50.7,0.0,NH3_Storage_[NG]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[NG]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[NG]
EG,NG,MA,,50.7,3.2,FF_to_HTH_[NG]
EG,NG,MA,,50.7,0.0,EL_Demand_[NG]
EG,NG,MA,,50.7,0.0,HTH_Demand_[NG]
EG,NG,MA,,50.7,0.0,NH3_Transport_[MA-EG]
EG,NG,MA,,50.7,0.5,EL_Transport_[MA-EG]
EG,NG,MA,,50.7,0.0,NH3_Transport_[MA-NG]
EG,NG,MA,,50.7,0.8,EL_Transport_[MA-NG]
EG,NG,MA,,50.7,0.0,NH3_Transport_[EG-NG]
EG,NG,MA,,50.7,3.1,EL_Transport_[EG-NG]
EG,NG,MA,,50.7,0.0,RE_PV_Rooftop_Lim_[MA]
EG,NG,MA,,50.7,0.1,RE_PV_Openfield_Lim_[MA]
EG,NG,MA,,50.7,1.9,RE_WIND_Onshore_Lim_[MA]
EG,NG,MA,,50.7,0.0,RE_WIND_Offshore_Lim_[MA]
EG,NG,MA,,50.7,0.0,PP_CO2_[MA]
EG,NG,MA,,50.7,0.0,BESS_[MA]
EG,NG,MA,,50.7,0.1,EL_to_HTH_[MA]
EG,NG,MA,,50.7,0.0,EL_to_NH3_[MA]
EG,NG,MA,,50.7,0.0,NH3_Storage_[MA]
EG,NG,MA,,50.7,0.0,NH3_to_EL_[MA]
EG,NG,MA,,50.7,0.0,NH3_to_HTH_[MA]
EG,NG,MA,,50.7,0.3,FF_to_HTH_[MA]
EG,NG,MA,,50.7,0.0,EL_Demand_[MA]
EG,NG,MA,,50.7,0.0,HTH_Demand_[MA]
