country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
EG,MA,,,33.7,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,,,33.7,0.3,RE_PV_Openfield_Lim_[MA]
EG,MA,,,33.7,1.5,RE_WIND_Onshore_Lim_[MA]
EG,MA,,,33.7,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,,,33.7,0.8,PP_CO2_[MA]
EG,MA,,,33.7,0.1,BESS_[MA]
EG,MA,,,33.7,0.1,EL_to_HTH_[MA]
EG,MA,,,33.7,0.0,EL_to_NH3_[MA]
EG,MA,,,33.7,0.0,NH3_Storage_[MA]
EG,MA,,,33.7,0.0,NH3_to_EL_[MA]
EG,MA,,,33.7,0.0,NH3_to_HTH_[MA]
EG,MA,,,33.7,0.5,FF_to_HTH_[MA]
EG,MA,,,33.7,0.0,EL_Demand_[MA]
EG,MA,,,33.7,0.0,HTH_Demand_[MA]
EG,MA,,,33.7,0.0,RE_PV_Rooftop_Lim_[EG]
EG,MA,,,33.7,1.3,RE_PV_Openfield_Lim_[EG]
EG,MA,,,33.7,6.4,RE_WIND_Onshore_Lim_[EG]
EG,MA,,,33.7,0.0,RE_WIND_Offshore_Lim_[EG]
EG,MA,,,33.7,1.7,PP_CO2_[EG]
EG,MA,,,33.7,0.4,BESS_[EG]
EG,MA,,,33.7,0.4,EL_to_HTH_[EG]
EG,MA,,,33.7,0.0,EL_to_NH3_[EG]
EG,MA,,,33.7,0.0,NH3_Storage_[EG]
EG,MA,,,33.7,0.0,NH3_to_EL_[EG]
EG,MA,,,33.7,0.0,NH3_to_HTH_[EG]
EG,MA,,,33.7,2.1,FF_to_HTH_[EG]
EG,MA,,,33.7,0.0,EL_Demand_[EG]
EG,MA,,,33.7,0.0,HTH_Demand_[EG]
EG,MA,,,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,,,0.0,0.6,RE_PV_Openfield_Lim_[MA]
EG,MA,,,0.0,2.5,RE_WIND_Onshore_Lim_[MA]
EG,MA,,,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,,,0.0,0.0,PP_CO2_[MA]
EG,MA,,,0.0,0.2,BESS_[MA]
EG,MA,,,0.0,0.1,EL_to_HTH_[MA]
EG,MA,,,0.0,0.4,EL_to_NH3_[MA]
EG,MA,,,0.0,0.7,NH3_Storage_[MA]
EG,MA,,,0.0,0.2,NH3_to_EL_[MA]
EG,MA,,,0.0,0.0,NH3_to_HTH_[MA]
EG,MA,,,0.0,0.0,FF_to_HTH_[MA]
EG,MA,,,0.0,0.0,EL_Demand_[MA]
EG,MA,,,0.0,0.0,HTH_Demand_[MA]
EG,MA,,,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,MA,,,0.0,2.9,RE_PV_Openfield_Lim_[EG]
EG,MA,,,0.0,7.7,RE_WIND_Onshore_Lim_[EG]
EG,MA,,,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,MA,,,0.0,0.0,PP_CO2_[EG]
EG,MA,,,0.0,0.8,BESS_[EG]
EG,MA,,,0.0,0.5,EL_to_HTH_[EG]
EG,MA,,,0.0,0.7,EL_to_NH3_[EG]
EG,MA,,,0.0,3.0,NH3_Storage_[EG]
EG,MA,,,0.0,0.5,NH3_to_EL_[EG]
EG,MA,,,0.0,0.1,NH3_to_HTH_[EG]
EG,MA,,,0.0,0.0,FF_to_HTH_[EG]
EG,MA,,,0.0,0.0,EL_Demand_[EG]
EG,MA,,,0.0,0.0,HTH_Demand_[EG]
EG,MA,,,3.8,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,,,3.8,0.5,RE_PV_Openfield_Lim_[MA]
EG,MA,,,3.8,2.2,RE_WIND_Onshore_Lim_[MA]
EG,MA,,,3.8,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,,,3.8,0.0,PP_CO2_[MA]
EG,MA,,,3.8,0.2,BESS_[MA]
EG,MA,,,3.8,0.1,EL_to_HTH_[MA]
EG,MA,,,3.8,0.2,EL_to_NH3_[MA]
EG,MA,,,3.8,0.5,NH3_Storage_[MA]
EG,MA,,,3.8,0.2,NH3_to_EL_[MA]
EG,MA,,,3.8,0.0,NH3_to_HTH_[MA]
EG,MA,,,3.8,0.1,FF_to_HTH_[MA]
EG,MA,,,3.8,0.0,EL_Demand_[MA]
EG,MA,,,3.8,0.0,HTH_Demand_[MA]
EG,MA,,,3.8,0.0,RE_PV_Rooftop_Lim_[EG]
EG,MA,,,3.8,2.7,RE_PV_Openfield_Lim_[EG]
EG,MA,,,3.8,7.8,RE_WIND_Onshore_Lim_[EG]
EG,MA,,,3.8,0.0,RE_WIND_Offshore_Lim_[EG]
EG,MA,,,3.8,0.0,PP_CO2_[EG]
EG,MA,,,3.8,0.6,BESS_[EG]
EG,MA,,,3.8,0.5,EL_to_HTH_[EG]
EG,MA,,,3.8,0.6,EL_to_NH3_[EG]
EG,MA,,,3.8,1.5,NH3_Storage_[EG]
EG,MA,,,3.8,0.6,NH3_to_EL_[EG]
EG,MA,,,3.8,0.0,NH3_to_HTH_[EG]
EG,MA,,,3.8,0.4,FF_to_HTH_[EG]
EG,MA,,,3.8,0.0,EL_Demand_[EG]
EG,MA,,,3.8,0.0,HTH_Demand_[EG]
EG,MA,,,7.6,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,,,7.6,0.5,RE_PV_Openfield_Lim_[MA]
EG,MA,,,7.6,2.1,RE_WIND_Onshore_Lim_[MA]
EG,MA,,,7.6,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,,,7.6,0.0,PP_CO2_[MA]
EG,MA,,,7.6,0.1,BESS_[MA]
EG,MA,,,7.6,0.1,EL_to_HTH_[MA]
EG,MA,,,7.6,0.2,EL_to_NH3_[MA]
EG,MA,,,7.6,0.5,NH3_Storage_[MA]
