country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
EG,MA,,,28.4,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,,,28.4,0.1,2.4,RE_PV_Openfield_Lim_[MA]
EG,MA,,,28.4,1.5,31.9,RE_WIND_Onshore_Lim_[MA]
EG,MA,,,28.4,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,,,28.4,0.3,4.1,PP_CO2_[MA]
EG,MA,,,28.4,0.0,2.5,BESS_[MA]
EG,MA,,,28.4,0.1,7.6,EL_to_HTH_[MA]
EG,MA,,,28.4,0.0,0.0,EL_to_NH3_[MA]
EG,MA,,,28.4,0.0,0.0,NH3_Storage_[MA]
EG,MA,,,28.4,0.0,0.0,NH3_to_EL_[MA]
EG,MA,,,28.4,0.0,0.0,NH3_to_HTH_[MA]
EG,MA,,,28.4,0.4,7.6,FF_to_HTH_[MA]
EG,MA,,,28.4,0.0,18.0,EL_Demand_[MA]
EG,MA,,,28.4,0.0,7.8,HTH_Demand_[MA]
EG,MA,,,28.4,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,MA,,,28.4,1.1,34.3,RE_PV_Openfield_Lim_[EG]
EG,MA,,,28.4,5.9,135.1,RE_WIND_Onshore_Lim_[EG]
EG,MA,,,28.4,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,MA,,,28.4,1.4,23.9,PP_CO2_[EG]
EG,MA,,,28.4,0.3,17.8,BESS_[EG]
EG,MA,,,28.4,0.4,40.0,EL_to_HTH_[EG]
EG,MA,,,28.4,0.0,0.0,EL_to_NH3_[EG]
EG,MA,,,28.4,0.0,0.0,NH3_Storage_[EG]
EG,MA,,,28.4,0.0,0.0,NH3_to_EL_[EG]
EG,MA,,,28.4,0.0,0.0,NH3_to_HTH_[EG]
EG,MA,,,28.4,2.2,39.7,FF_to_HTH_[EG]
EG,MA,,,28.4,0.0,76.9,EL_Demand_[EG]
EG,MA,,,28.4,0.0,41.1,HTH_Demand_[EG]
EG,MA,,,28.4,0.0,0.0,NH3_Transport_[MA-EG]
EG,MA,,,28.4,0.9,7.0,EL_Transport_[MA-EG]
EG,MA,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,,,0.0,0.2,6.1,RE_PV_Openfield_Lim_[MA]
EG,MA,,,0.0,1.9,39.7,RE_WIND_Onshore_Lim_[MA]
EG,MA,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,,,0.0,0.0,0.0,PP_CO2_[MA]
EG,MA,,,0.0,0.1,3.8,BESS_[MA]
EG,MA,,,0.0,0.1,7.7,EL_to_HTH_[MA]
