country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
EG,MA,,,18.9,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,,,18.9,0.3,RE_PV_Openfield_Lim_[MA]
EG,MA,,,18.9,2.0,RE_WIND_Onshore_Lim_[MA]
EG,MA,,,18.9,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,,,18.9,0.1,PP_CO2_[MA]
EG,MA,,,18.9,0.2,BESS_[MA]
EG,MA,,,18.9,0.1,EL_to_HTH_[MA]
EG,MA,,,18.9,0.0,EL_to_NH3_[MA]
EG,MA,,,18.9,0.0,NH3_Storage_[MA]
EG,MA,,,18.9,0.0,NH3_to_EL_[MA]
EG,MA,,,18.9,0.0,NH3_to_HTH_[MA]
EG,MA,,,18.9,0.4,FF_to_HTH_[MA]
EG,MA,,,18.9,0.0,EL_Demand_[MA]
EG,MA,,,18.9,0.0,HTH_Demand_[MA]
EG,MA,,,18.9,3.3,RE_PV_Rooftop_Lim_[EG]
EG,MA,,,18.9,1.0,RE_PV_Openfield_Lim_[EG]
EG,MA,,,18.9,7.6,RE_WIND_Onshore_Lim_[EG]
EG,MA,,,18.9,0.0,RE_WIND_Offshore_Lim_[EG]
EG,MA,,,18.9,1.1,PP_CO2_[EG]
EG,MA,,,18.9,0.4,BESS_[EG]
EG,MA,,,18.9,0.5,EL_to_HTH_[EG]
EG,MA,,,18.9,0.0,EL_to_NH3_[EG]
EG,MA,,,18.9,0.0,NH3_Storage_[EG]
EG,MA,,,18.9,0.0,NH3_to_EL_[EG]
EG,MA,,,18.9,0.0,NH3_to_HTH_[EG]
EG,MA,,,18.9,1.7,FF_to_HTH_[EG]
EG,MA,,,18.9,0.0,EL_Demand_[EG]
EG,MA,,,18.9,0.0,HTH_Demand_[EG]
EG,MA,,,18.9,0.0,NH3_Transport_[MA-EG]
EG,MA,,,18.9,0.4,EL_Transport_[MA-EG]
EG,MA,,,7.6,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,,,7.6,0.3,RE_PV_Openfield_Lim_[MA]
EG,MA,,,7.6,2.4,RE_WIND_Onshore_Lim_[MA]
EG,MA,,,7.6,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,,,7.6,0.0,PP_CO2_[MA]
EG,MA,,,7.6,0.1,BESS_[MA]
EG,MA,,,7.6,0.1,EL_to_HTH_[MA]
EG,MA,,,7.6,0.1,EL_to_NH3_[MA]
EG,MA,,,7.6,0.3,NH3_Storage_[MA]
EG,MA,,,7.6,0.0,NH3_to_EL_[MA]
EG,MA,,,7.6,0.0,NH3_to_HTH_[MA]
EG,MA,,,7.6,0.1,FF_to_HTH_[MA]
EG,MA,,,7.6,0.0,EL_Demand_[MA]
EG,MA,,,7.6,0.0,HTH_Demand_[MA]
EG,MA,,,7.6,3.3,RE_PV_Rooftop_Lim_[EG]
EG,MA,,,7.6,1.4,RE_PV_Openfield_Lim_[EG]
EG,MA,,,7.6,8.5,RE_WIND_Onshore_Lim_[EG]
EG,MA,,,7.6,0.0,RE_WIND_Offshore_Lim_[EG]
EG,MA,,,7.6,0.0,PP_CO2_[EG]
EG,MA,,,7.6,0.4,BESS_[EG]
EG,MA,,,7.6,0.5,EL_to_HTH_[EG]
EG,MA,,,7.6,0.3,EL_to_NH3_[EG]
EG,MA,,,7.6,0.6,NH3_Storage_[EG]
