country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MA,KE,EG,NG,61.0,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
MA,KE,EG,NG,61.0,0.4,13.8,RE_PV_Openfield_Lim_[MA]
MA,KE,EG,NG,61.0,1.7,31.7,RE_WIND_Onshore_Lim_[MA]
MA,KE,EG,NG,61.0,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
MA,KE,EG,NG,61.0,0.4,5.3,PP_CO2_[MA]
MA,KE,EG,NG,61.0,0.1,8.1,BESS_[MA]
MA,KE,EG,NG,61.0,0.1,7.7,EL_to_HTH_[MA]
MA,KE,EG,NG,61.0,0.1,1.1,EL_to_NH3_[MA]
MA,KE,EG,NG,61.0,0.1,7.3,NH3_Storage_[MA]
MA,KE,EG,NG,61.0,0.1,1.2,NH3_to_EL_[MA]
MA,KE,EG,NG,61.0,0.0,0.0,NH3_to_HTH_[MA]
MA,KE,EG,NG,61.0,0.4,7.6,FF_to_HTH_[MA]
MA,KE,EG,NG,61.0,0.0,18.0,EL_Demand_[MA]
MA,KE,EG,NG,61.0,0.0,7.8,HTH_Demand_[MA]
MA,KE,EG,NG,61.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
MA,KE,EG,NG,61.0,0.2,11.9,RE_PV_Openfield_Lim_[KE]
MA,KE,EG,NG,61.0,1.1,22.1,RE_WIND_Onshore_Lim_[KE]
MA,KE,EG,NG,61.0,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
MA,KE,EG,NG,61.0,0.5,7.2,PP_CO2_[KE]
MA,KE,EG,NG,61.0,0.1,5.6,BESS_[KE]
MA,KE,EG,NG,61.0,0.1,5.7,EL_to_HTH_[KE]
MA,KE,EG,NG,61.0,0.0,0.0,EL_to_NH3_[KE]
MA,KE,EG,NG,61.0,0.0,0.1,NH3_Storage_[KE]
MA,KE,EG,NG,61.0,0.0,0.1,NH3_to_EL_[KE]
