country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
EG,MA,KE,,35.0,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,KE,,35.0,0.3,9.8,RE_PV_Openfield_Lim_[MA]
EG,MA,KE,,35.0,1.6,29.9,RE_WIND_Onshore_Lim_[MA]
EG,MA,KE,,35.0,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,KE,,35.0,0.7,9.8,PP_CO2_[MA]
EG,MA,KE,,35.0,0.1,5.6,BESS_[MA]
EG,MA,KE,,35.0,0.1,7.7,EL_to_HTH_[MA]
EG,MA,KE,,35.0,0.0,0.0,EL_to_NH3_[MA]
EG,MA,KE,,35.0,0.0,0.1,NH3_Storage_[MA]
EG,MA,KE,,35.0,0.0,0.0,NH3_to_EL_[MA]
EG,MA,KE,,35.0,0.0,0.0,NH3_to_HTH_[MA]
EG,MA,KE,,35.0,0.5,7.6,FF_to_HTH_[MA]
EG,MA,KE,,35.0,0.0,18.0,EL_Demand_[MA]
EG,MA,KE,,35.0,0.0,7.8,HTH_Demand_[MA]
EG,MA,KE,,35.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
EG,MA,KE,,35.0,0.2,11.1,RE_PV_Openfield_Lim_[KE]
EG,MA,KE,,35.0,1.1,21.0,RE_WIND_Onshore_Lim_[KE]
EG,MA,KE,,35.0,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
EG,MA,KE,,35.0,0.6,7.6,PP_CO2_[KE]
EG,MA,KE,,35.0,0.1,5.3,BESS_[KE]
EG,MA,KE,,35.0,0.1,5.7,EL_to_HTH_[KE]
EG,MA,KE,,35.0,0.0,0.0,EL_to_NH3_[KE]
EG,MA,KE,,35.0,0.0,0.0,NH3_Storage_[KE]
EG,MA,KE,,35.0,0.0,0.0,NH3_to_EL_[KE]
EG,MA,KE,,35.0,0.0,0.0,NH3_to_HTH_[KE]
EG,MA,KE,,35.0,0.3,5.6,FF_to_HTH_[KE]
EG,MA,KE,,35.0,0.0,12.2,EL_Demand_[KE]
EG,MA,KE,,35.0,0.0,5.8,HTH_Demand_[KE]
EG,MA,KE,,35.0,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,MA,KE,,35.0,1.4,43.6,RE_PV_Openfield_Lim_[EG]
EG,MA,KE,,35.0,6.5,137.0,RE_WIND_Onshore_Lim_[EG]
EG,MA,KE,,35.0,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,MA,KE,,35.0,1.7,29.5,PP_CO2_[EG]
EG,MA,KE,,35.0,0.4,19.9,BESS_[EG]
EG,MA,KE,,35.0,0.5,40.2,EL_to_HTH_[EG]
EG,MA,KE,,35.0,0.0,0.0,EL_to_NH3_[EG]
EG,MA,KE,,35.0,0.0,0.0,NH3_Storage_[EG]
EG,MA,KE,,35.0,0.0,0.0,NH3_to_EL_[EG]
EG,MA,KE,,35.0,0.0,0.0,NH3_to_HTH_[EG]
EG,MA,KE,,35.0,2.0,39.4,FF_to_HTH_[EG]
EG,MA,KE,,35.0,0.0,76.9,EL_Demand_[EG]
EG,MA,KE,,35.0,0.0,41.1,HTH_Demand_[EG]
