country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
EG,MA,KE,,29.9,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,KE,,29.9,0.1,2.1,RE_PV_Openfield_Lim_[MA]
EG,MA,KE,,29.9,1.5,32.0,RE_WIND_Onshore_Lim_[MA]
EG,MA,KE,,29.9,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,KE,,29.9,0.3,4.1,PP_CO2_[MA]
EG,MA,KE,,29.9,0.0,2.8,BESS_[MA]
EG,MA,KE,,29.9,0.1,7.6,EL_to_HTH_[MA]
EG,MA,KE,,29.9,0.0,0.0,EL_to_NH3_[MA]
EG,MA,KE,,29.9,0.0,0.0,NH3_Storage_[MA]
EG,MA,KE,,29.9,0.0,0.0,NH3_to_EL_[MA]
EG,MA,KE,,29.9,0.0,0.0,NH3_to_HTH_[MA]
EG,MA,KE,,29.9,0.4,7.6,FF_to_HTH_[MA]
EG,MA,KE,,29.9,0.0,18.0,EL_Demand_[MA]
EG,MA,KE,,29.9,0.0,7.8,HTH_Demand_[MA]
EG,MA,KE,,29.9,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
EG,MA,KE,,29.9,0.2,12.2,RE_PV_Openfield_Lim_[KE]
EG,MA,KE,,29.9,0.9,20.4,RE_WIND_Onshore_Lim_[KE]
EG,MA,KE,,29.9,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
EG,MA,KE,,29.9,0.3,5.0,PP_CO2_[KE]
EG,MA,KE,,29.9,0.1,4.9,BESS_[KE]
EG,MA,KE,,29.9,0.1,5.7,EL_to_HTH_[KE]
EG,MA,KE,,29.9,0.0,0.0,EL_to_NH3_[KE]
EG,MA,KE,,29.9,0.0,0.0,NH3_Storage_[KE]
EG,MA,KE,,29.9,0.0,0.0,NH3_to_EL_[KE]
EG,MA,KE,,29.9,0.0,0.0,NH3_to_HTH_[KE]
EG,MA,KE,,29.9,0.3,5.8,FF_to_HTH_[KE]
EG,MA,KE,,29.9,0.0,12.2,EL_Demand_[KE]
EG,MA,KE,,29.9,0.0,5.8,HTH_Demand_[KE]
EG,MA,KE,,29.9,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,MA,KE,,29.9,1.1,33.9,RE_PV_Openfield_Lim_[EG]
EG,MA,KE,,29.9,5.9,135.8,RE_WIND_Onshore_Lim_[EG]
EG,MA,KE,,29.9,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,MA,KE,,29.9,1.2,21.0,PP_CO2_[EG]
EG,MA,KE,,29.9,0.3,18.6,BESS_[EG]
EG,MA,KE,,29.9,0.4,40.0,EL_to_HTH_[EG]
EG,MA,KE,,29.9,0.0,0.0,EL_to_NH3_[EG]
EG,MA,KE,,29.9,0.0,0.0,NH3_Storage_[EG]
EG,MA,KE,,29.9,0.0,0.0,NH3_to_EL_[EG]
EG,MA,KE,,29.9,0.0,0.0,NH3_to_HTH_[EG]
EG,MA,KE,,29.9,2.1,40.6,FF_to_HTH_[EG]
EG,MA,KE,,29.9,0.0,76.9,EL_Demand_[EG]
EG,MA,KE,,29.9,0.0,41.1,HTH_Demand_[EG]
EG,MA,KE,,29.9,0.0,0.0,NH3_Transport_[MA-KE]
EG,MA,KE,,29.9,0.0,0.0,EL_Transport_[MA-KE]
EG,MA,KE,,29.9,0.0,0.0,NH3_Transport_[MA-EG]
EG,MA,KE,,29.9,0.9,7.0,EL_Transport_[MA-EG]
EG,MA,KE,,29.9,0.0,0.0,NH3_Transport_[KE-EG]
EG,MA,KE,,29.9,0.3,2.9,EL_Transport_[KE-EG]
EG,MA,KE,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,KE,,0.0,0.1,3.7,RE_PV_Openfield_Lim_[MA]
EG,MA,KE,,0.0,2.0,40.8,RE_WIND_Onshore_Lim_[MA]
EG,MA,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,KE,,0.0,0.0,0.0,PP_CO2_[MA]
EG,MA,KE,,0.0,0.0,1.0,BESS_[MA]
EG,MA,KE,,0.0,0.1,7.7,EL_to_HTH_[MA]
EG,MA,KE,,0.0,0.1,1.1,EL_to_NH3_[MA]
EG,MA,KE,,0.0,0.5,27.6,NH3_Storage_[MA]
EG,MA,KE,,0.0,0.0,0.0,NH3_to_EL_[MA]
EG,MA,KE,,0.0,0.0,1.5,NH3_to_HTH_[MA]
EG,MA,KE,,0.0,0.0,0.0,FF_to_HTH_[MA]
EG,MA,KE,,0.0,0.0,18.0,EL_Demand_[MA]
EG,MA,KE,,0.0,0.0,7.8,HTH_Demand_[MA]
EG,MA,KE,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
EG,MA,KE,,0.0,0.3,15.8,RE_PV_Openfield_Lim_[KE]
EG,MA,KE,,0.0,1.2,26.4,RE_WIND_Onshore_Lim_[KE]
EG,MA,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
EG,MA,KE,,0.0,0.0,0.0,PP_CO2_[KE]
EG,MA,KE,,0.0,0.1,7.3,BESS_[KE]
EG,MA,KE,,0.0,0.1,5.7,EL_to_HTH_[KE]
EG,MA,KE,,0.0,0.1,1.1,EL_to_NH3_[KE]
EG,MA,KE,,0.0,0.4,27.0,NH3_Storage_[KE]
EG,MA,KE,,0.0,0.1,1.1,NH3_to_EL_[KE]
EG,MA,KE,,0.0,0.0,1.1,NH3_to_HTH_[KE]
EG,MA,KE,,0.0,0.0,0.0,FF_to_HTH_[KE]
EG,MA,KE,,0.0,0.0,12.2,EL_Demand_[KE]
EG,MA,KE,,0.0,0.0,5.8,HTH_Demand_[KE]
EG,MA,KE,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[EG]
EG,MA,KE,,0.0,2.7,85.4,RE_PV_Openfield_Lim_[EG]
EG,MA,KE,,0.0,7.6,173.1,RE_WIND_Onshore_Lim_[EG]
EG,MA,KE,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[EG]
EG,MA,KE,,0.0,0.0,0.0,PP_CO2_[EG]
EG,MA,KE,,0.0,0.5,27.4,BESS_[EG]
EG,MA,KE,,0.0,0.5,40.3,EL_to_HTH_[EG]
EG,MA,KE,,0.0,0.5,8.7,EL_to_NH3_[EG]
EG,MA,KE,,0.0,1.9,112.0,NH3_Storage_[EG]
EG,MA,KE,,0.0,0.2,3.1,NH3_to_EL_[EG]
EG,MA,KE,,0.0,0.1,7.9,NH3_to_HTH_[EG]
EG,MA,KE,,0.0,0.0,0.0,FF_to_HTH_[EG]
EG,MA,KE,,0.0,0.0,76.9,EL_Demand_[EG]
EG,MA,KE,,0.0,0.0,41.1,HTH_Demand_[EG]
EG,MA,KE,,0.0,0.0,12.6,NH3_Transport_[MA-KE]
EG,MA,KE,,0.0,0.2,1.3,EL_Transport_[MA-KE]
EG,MA,KE,,0.0,0.0,27.8,NH3_Transport_[MA-EG]
EG,MA,KE,,0.0,1.2,9.7,EL_Transport_[MA-EG]
EG,MA,KE,,0.0,0.0,27.1,NH3_Transport_[KE-EG]
EG,MA,KE,,0.0,0.5,4.1,EL_Transport_[KE-EG]
EG,MA,KE,,4.3,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
EG,MA,KE,,4.3,0.1,3.9,RE_PV_Openfield_Lim_[MA]
EG,MA,KE,,4.3,2.0,40.5,RE_WIND_Onshore_Lim_[MA]
EG,MA,KE,,4.3,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
EG,MA,KE,,4.3,0.0,0.0,PP_CO2_[MA]
EG,MA,KE,,4.3,0.1,2.9,BESS_[MA]
