country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
NG,MA,KE,,43.0,0.0,0.0,RE_PV_Rooftop_Lim_[MA]
NG,MA,KE,,43.0,0.0,0.0,RE_PV_Openfield_Lim_[MA]
NG,MA,KE,,43.0,2.2,42.1,RE_WIND_Onshore_Lim_[MA]
NG,MA,KE,,43.0,0.0,0.0,RE_WIND_Offshore_Lim_[MA]
NG,MA,KE,,43.0,0.1,2.1,PP_CO2_[MA]
NG,MA,KE,,43.0,0.1,3.3,BESS_[MA]
NG,MA,KE,,43.0,0.1,7.7,EL_to_HTH_[MA]
NG,MA,KE,,43.0,0.0,0.0,EL_to_NH3_[MA]
NG,MA,KE,,43.0,0.0,0.1,NH3_Storage_[MA]
NG,MA,KE,,43.0,0.0,0.0,NH3_to_EL_[MA]
NG,MA,KE,,43.0,0.0,0.0,NH3_to_HTH_[MA]
NG,MA,KE,,43.0,0.3,7.7,FF_to_HTH_[MA]
NG,MA,KE,,43.0,0.0,18.0,EL_Demand_[MA]
NG,MA,KE,,43.0,0.0,7.8,HTH_Demand_[MA]
NG,MA,KE,,43.0,0.0,0.0,RE_PV_Rooftop_Lim_[KE]
NG,MA,KE,,43.0,0.0,0.0,RE_PV_Openfield_Lim_[KE]
NG,MA,KE,,43.0,1.5,30.7,RE_WIND_Onshore_Lim_[KE]
NG,MA,KE,,43.0,0.0,0.0,RE_WIND_Offshore_Lim_[KE]
NG,MA,KE,,43.0,0.0,0.0,PP_CO2_[KE]
NG,MA,KE,,43.0,0.0,2.0,BESS_[KE]
NG,MA,KE,,43.0,0.1,5.7,EL_to_HTH_[KE]
NG,MA,KE,,43.0,0.0,0.0,EL_to_NH3_[KE]
NG,MA,KE,,43.0,0.0,0.0,NH3_Storage_[KE]
NG,MA,KE,,43.0,0.0,0.0,NH3_to_EL_[KE]
NG,MA,KE,,43.0,0.0,0.0,NH3_to_HTH_[KE]
NG,MA,KE,,43.0,0.2,5.6,FF_to_HTH_[KE]
NG,MA,KE,,43.0,0.0,12.2,EL_Demand_[KE]
NG,MA,KE,,43.0,0.0,5.8,HTH_Demand_[KE]
NG,MA,KE,,43.0,0.0,0.0,RE_PV_Rooftop_Lim_[NG]
NG,MA,KE,,43.0,2.9,181.9,RE_PV_Openfield_Lim_[NG]
NG,MA,KE,,43.0,7.6,151.0,RE_WIND_Onshore_Lim_[NG]
NG,MA,KE,,43.0,0.0,0.0,RE_WIND_Offshore_Lim_[NG]
