country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,MY,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
SG,MY,LA,,0.0,3.9,RE_PV_Openfield_Lim_[MY]
SG,MY,LA,,0.0,4.8,RE_WIND_Onshore_Lim_[MY]
SG,MY,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
SG,MY,LA,,0.0,0.0,PP_CO2_[MY]
SG,MY,LA,,0.0,4.9,BESS_[MY]
SG,MY,LA,,0.0,0.1,EL_to_HTH_[MY]
SG,MY,LA,,0.0,0.6,EL_to_NH3_[MY]
SG,MY,LA,,0.0,1.1,NH3_Storage_[MY]
SG,MY,LA,,0.0,0.0,NH3_to_EL_[MY]
SG,MY,LA,,0.0,0.0,NH3_to_HTH_[MY]
SG,MY,LA,,0.0,0.0,FF_to_HTH_[MY]
SG,MY,LA,,0.0,0.0,EL_Demand_[MY]
SG,MY,LA,,0.0,0.0,HTH_Demand_[MY]
SG,MY,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
SG,MY,LA,,0.0,0.1,RE_PV_Openfield_Lim_[LA]
SG,MY,LA,,0.0,2.0,RE_WIND_Onshore_Lim_[LA]
SG,MY,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
SG,MY,LA,,0.0,0.0,PP_CO2_[LA]
SG,MY,LA,,0.0,0.1,BESS_[LA]
SG,MY,LA,,0.0,0.0,EL_to_HTH_[LA]
SG,MY,LA,,0.0,0.2,EL_to_NH3_[LA]
SG,MY,LA,,0.0,0.4,NH3_Storage_[LA]
SG,MY,LA,,0.0,0.1,NH3_to_EL_[LA]
SG,MY,LA,,0.0,0.0,NH3_to_HTH_[LA]
SG,MY,LA,,0.0,0.0,FF_to_HTH_[LA]
SG,MY,LA,,0.0,0.0,EL_Demand_[LA]
SG,MY,LA,,0.0,0.0,HTH_Demand_[LA]
SG,MY,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,MY,LA,,0.0,0.0,RE_PV_Openfield_Lim_[SG]
