country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
LA,MY,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
LA,MY,,,0.0,3.4,167.5,RE_PV_Openfield_Lim_[MY]
LA,MY,,,0.0,4.8,100.3,RE_WIND_Onshore_Lim_[MY]
LA,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
LA,MY,,,0.0,0.0,0.0,PP_CO2_[MY]
LA,MY,,,0.0,4.5,250.5,BESS_[MY]
LA,MY,,,0.0,0.1,12.4,EL_to_HTH_[MY]
LA,MY,,,0.0,0.4,7.2,EL_to_NH3_[MY]
LA,MY,,,0.0,1.8,107.1,NH3_Storage_[MY]
LA,MY,,,0.0,0.0,0.0,NH3_to_EL_[MY]
LA,MY,,,0.0,0.0,2.4,NH3_to_HTH_[MY]
LA,MY,,,0.0,0.0,0.0,FF_to_HTH_[MY]
LA,MY,,,0.0,0.0,34.4,EL_Demand_[MY]
LA,MY,,,0.0,0.0,12.7,HTH_Demand_[MY]
LA,MY,,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
LA,MY,,,0.0,0.1,4.8,RE_PV_Openfield_Lim_[LA]
LA,MY,,,0.0,0.2,5.1,RE_WIND_Onshore_Lim_[LA]
LA,MY,,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
LA,MY,,,0.0,0.0,0.0,PP_CO2_[LA]
LA,MY,,,0.0,0.1,5.6,BESS_[LA]
LA,MY,,,0.0,0.0,0.3,EL_to_HTH_[LA]
LA,MY,,,0.0,0.0,0.4,EL_to_NH3_[LA]
LA,MY,,,0.0,0.1,4.5,NH3_Storage_[LA]
LA,MY,,,0.0,0.0,0.2,NH3_to_EL_[LA]
LA,MY,,,0.0,0.0,0.1,NH3_to_HTH_[LA]
LA,MY,,,0.0,0.0,0.0,FF_to_HTH_[LA]
LA,MY,,,0.0,0.0,1.6,EL_Demand_[LA]
LA,MY,,,0.0,0.0,0.3,HTH_Demand_[LA]
