country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,PH,,,147.9,0.0,RE_PV_Rooftop_Lim_[MY]
MY,PH,,,147.9,1.3,RE_PV_Openfield_Lim_[MY]
MY,PH,,,147.9,1.0,RE_WIND_Onshore_Lim_[MY]
MY,PH,,,147.9,0.7,RE_WIND_Offshore_Lim_[MY]
MY,PH,,,147.9,4.4,PP_CO2_[MY]
MY,PH,,,147.9,0.0,BESS_[MY]
MY,PH,,,147.9,0.1,EL_to_HTH_[MY]
MY,PH,,,147.9,0.0,EL_to_NH3_[MY]
MY,PH,,,147.9,0.0,NH3_Storage_[MY]
MY,PH,,,147.9,0.0,NH3_to_EL_[MY]
MY,PH,,,147.9,0.0,NH3_to_HTH_[MY]
MY,PH,,,147.9,1.7,FF_to_HTH_[MY]
MY,PH,,,147.9,0.0,EL_Demand_[MY]
MY,PH,,,147.9,0.0,HTH_Demand_[MY]
MY,PH,,,147.9,0.0,RE_PV_Rooftop_Lim_[PH]
MY,PH,,,147.9,0.6,RE_PV_Openfield_Lim_[PH]
MY,PH,,,147.9,0.7,RE_WIND_Onshore_Lim_[PH]
MY,PH,,,147.9,2.1,RE_WIND_Offshore_Lim_[PH]
MY,PH,,,147.9,2.9,PP_CO2_[PH]
MY,PH,,,147.9,0.0,BESS_[PH]
MY,PH,,,147.9,0.1,EL_to_HTH_[PH]
MY,PH,,,147.9,0.0,EL_to_NH3_[PH]
MY,PH,,,147.9,0.0,NH3_Storage_[PH]
MY,PH,,,147.9,0.0,NH3_to_EL_[PH]
MY,PH,,,147.9,0.0,NH3_to_HTH_[PH]
MY,PH,,,147.9,1.2,FF_to_HTH_[PH]
MY,PH,,,147.9,0.0,EL_Demand_[PH]
MY,PH,,,147.9,0.0,HTH_Demand_[PH]
MY,PH,,,147.9,0.0,NH3_Transport_[MY-PH]
MY,PH,,,147.9,0.0,EL_Transport_[MY-PH]
MY,PH,,,147.9,0.0,RE_PV_Rooftop_Lim_[MY]
MY,PH,,,147.9,1.3,RE_PV_Openfield_Lim_[MY]
MY,PH,,,147.9,1.0,RE_WIND_Onshore_Lim_[MY]
MY,PH,,,147.9,0.7,RE_WIND_Offshore_Lim_[MY]
MY,PH,,,147.9,4.4,PP_CO2_[MY]
MY,PH,,,147.9,0.0,BESS_[MY]
MY,PH,,,147.9,0.1,EL_to_HTH_[MY]
MY,PH,,,147.9,0.0,EL_to_NH3_[MY]
MY,PH,,,147.9,0.0,NH3_Storage_[MY]
