country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
PE,CL,,,6.7,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,6.7,0.2,14.3,RE_PV_Openfield_Lim_[PE]
PE,CL,,,6.7,2.6,66.9,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,6.7,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,6.7,0.6,6.8,PP_CO2_[PE]
PE,CL,,,6.7,0.5,28.6,BESS_[PE]
PE,CL,,,6.7,0.1,5.6,EL_to_HTH_[PE]
PE,CL,,,6.7,0.0,0.0,EL_to_NH3_[PE]
PE,CL,,,6.7,0.0,0.0,NH3_Storage_[PE]
PE,CL,,,6.7,0.0,0.0,NH3_to_EL_[PE]
PE,CL,,,6.7,0.0,0.0,NH3_to_HTH_[PE]
PE,CL,,,6.7,0.4,5.6,FF_to_HTH_[PE]
PE,CL,,,6.7,0.0,19.3,EL_Demand_[PE]
PE,CL,,,6.7,0.0,5.7,HTH_Demand_[PE]
PE,CL,,,6.7,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,6.7,0.0,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,6.7,1.9,57.1,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,6.7,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,6.7,0.0,0.4,PP_CO2_[CL]
PE,CL,,,6.7,0.0,2.5,BESS_[CL]
PE,CL,,,6.7,0.2,13.4,EL_to_HTH_[CL]
PE,CL,,,6.7,0.0,0.0,EL_to_NH3_[CL]
PE,CL,,,6.7,0.0,0.1,NH3_Storage_[CL]
PE,CL,,,6.7,0.0,0.0,NH3_to_EL_[CL]
PE,CL,,,6.7,0.0,0.0,NH3_to_HTH_[CL]
PE,CL,,,6.7,0.2,13.2,FF_to_HTH_[CL]
PE,CL,,,6.7,0.0,24.8,EL_Demand_[CL]
PE,CL,,,6.7,0.0,13.6,HTH_Demand_[CL]
PE,CL,,,2.7,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,2.7,0.3,21.2,RE_PV_Openfield_Lim_[PE]
PE,CL,,,2.7,2.9,74.3,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,2.7,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,2.7,0.1,2.1,PP_CO2_[PE]
PE,CL,,,2.7,1.1,58.8,BESS_[PE]
PE,CL,,,2.7,0.1,5.6,EL_to_HTH_[PE]
PE,CL,,,2.7,0.1,2.1,EL_to_NH3_[PE]
PE,CL,,,2.7,0.1,5.5,NH3_Storage_[PE]
PE,CL,,,2.7,0.0,0.5,NH3_to_EL_[PE]
PE,CL,,,2.7,0.0,0.4,NH3_to_HTH_[PE]
PE,CL,,,2.7,0.2,3.7,FF_to_HTH_[PE]
PE,CL,,,2.7,0.0,19.3,EL_Demand_[PE]
PE,CL,,,2.7,0.0,5.7,HTH_Demand_[PE]
PE,CL,,,2.7,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,2.7,0.0,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,2.7,1.9,57.9,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,2.7,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,2.7,0.0,0.0,PP_CO2_[CL]
PE,CL,,,2.7,0.0,2.8,BESS_[CL]
PE,CL,,,2.7,0.1,13.3,EL_to_HTH_[CL]
PE,CL,,,2.7,0.0,0.1,EL_to_NH3_[CL]
PE,CL,,,2.7,0.0,0.7,NH3_Storage_[CL]
PE,CL,,,2.7,0.0,0.0,NH3_to_EL_[CL]
PE,CL,,,2.7,0.0,0.2,NH3_to_HTH_[CL]
PE,CL,,,2.7,0.2,12.4,FF_to_HTH_[CL]
PE,CL,,,2.7,0.0,24.8,EL_Demand_[CL]
PE,CL,,,2.7,0.0,13.6,HTH_Demand_[CL]
PE,CL,,,9.5,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,9.5,0.2,12.8,RE_PV_Openfield_Lim_[PE]
PE,CL,,,9.5,2.4,60.8,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,9.5,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,9.5,1.0,9.0,PP_CO2_[PE]
PE,CL,,,9.5,0.2,11.1,BESS_[PE]
PE,CL,,,9.5,0.1,5.6,EL_to_HTH_[PE]
PE,CL,,,9.5,0.0,0.0,EL_to_NH3_[PE]
