country_1,country_2,country_3,country_4,Mitigation_Cost($/tCO2e),BAU_Emissions(MtCO2e),Mitigation_Potential(MtCO2e),Mitigation_Potential_at_Average_0($/tCO2e),Mitigation_Potential_at_Average_10($/tCO2e),Mitigation_Potential_at_Average_20($/tCO2e),Mitigation_Potential_at_Average_50($/tCO2e)
ID,,,,24.287333249906784,775.6074492161666,775.6074492161666,726.0328997881024,750.8201744134723,750.8201744134723,775.6074492161666
ID,MY,,,24.473064647362616,965.4520666519179,965.4520666519179,881.4956385788571,923.4738525657033,923.4738525657033,965.4520666519179
ID,MY,PH,,24.109223211461064,1151.3021218390397,1151.3021218390397,1052.286636760103,1101.7943790985328,1101.7943790985328,1151.3021218390397
ID,PH,,,23.887637400653247,961.4575044032885,961.4575044032885,898.7062796575321,930.08189202711,930.08189202711,961.4575044032885
KH,,,,59.66260370902561,24.75191352024364,24.75191352024364,20.905964091606492,20.905964091606492,22.276722169502467,23.469930377804804
LA,,,,18.718841389058177,6.606657785080218,6.606657785080218,6.029998070788631,6.318327927971558,6.606657785080218,6.606657785080218
MY,,,,25.231595332715298,189.84461743575133,189.84461743575133,151.87569410202676,170.8601556960845,170.8601556960845,189.84461743575133
MY,PH,,,23.74159728298556,375.6946726228731,375.6946726228731,338.12520542301814,354.515244072522,354.515244072522,375.6946726228731
PH,,,,22.21957931681959,185.8500551871218,185.8500551871218,172.67338021502448,179.26171770882266,179.26171770882266,185.8500551871218
SG,,,,,37.85579172133391,3.028463368992803,0.757115987458171,1.1356737806799657,1.5142316670104634,3.028463368992803
SG,ID,,,,813.4632409375006,754.5148237385989,732.1169171182107,754.5148237385989,754.5148237385989,754.5148237385989
SG,ID,MY,,,1003.307858373252,955.9731484651011,908.6384388293299,908.6384388293299,955.9731484651011,955.9731484651011
SG,ID,MY,PH,,1189.1579135603738,1134.293675120769,1079.4294367968396,1079.4294367968396,1134.293675120769,1134.293675120769
SG,ID,PH,,,999.3132961246224,963.2507500178127,899.3819667716518,927.1882038150438,927.1882038150438,963.2507500178127
SG,MY,,,,227.70040915708523,182.16032740709713,159.3902865117621,182.16032740709713,182.16032740709713,182.16032740709713
SG,MY,PH,,,413.55046434420706,372.1954179982625,330.84037150745553,351.63330774404744,372.1954179982625,372.1954179982625
SG,PH,,,,223.7058469084557,178.9646775619055,163.57106692192832,178.9646775619055,178.9646775619055,178.9646775619055
TH,,,,14.794272947630093,278.0720460290865,278.0720460290865,269.83722605336203,269.83722605336203,278.0720460290865,278.0720460290865
VN,,,,15.049205635560721,352.58947862470137,352.58947862470137,342.1235424006002,342.1235424006002,352.58947862470137,352.58947862470137
