country_1,country_2,country_3,country_4,Mitigation_Potential(MtCO2e),Mitigation_Potential_at_Average_0($/tCO2e),Mitigation_Potential_at_Average_50($/tCO2e),Mitigation_Potential_at_Average_100($/tCO2e),Mitigation_Potential_at_Average_200($/tCO2e),BAU_Emissions(MtCO2e)
ID,,,,775.6074492161666,698.0467052148975,775.6074492161666,775.6074492161666,775.6074492161666,775.6074492161666
ID,MY,,,965.4520666519179,868.9068625653533,965.4520666519179,965.4520666519179,965.4520666519179,965.4520666519179
ID,MY,PH,,1151.3021218390397,1036.1719103946687,1151.3021218390397,1151.3021218390397,1151.3021218390397,1151.3021218390397
ID,PH,,,961.4575044032885,865.3117557264122,961.4575044032885,961.4575044032885,961.4575044032885,961.4575044032885
KH,,,,24.75191352024364,19.80153081818818,22.276722169502467,24.75191352024364,24.75191352024364,24.75191352024364
LA,,,,6.606657785080218,4.588348697404081,6.606657785080218,6.606657785080218,6.606657785080218,6.606657785080218
MY,,,,189.84461743575133,151.8756941020267,189.84461743575133,189.84461743575133,189.84461743575133,189.84461743575133
MY,PH,,,375.6946726228731,338.1252053923886,375.6946726228731,375.6946726228731,375.6946726228731,375.6946726228731
PH,,,,185.8500551871218,167.26504969172458,185.8500551871218,185.8500551871218,185.8500551871218,185.8500551871218
SG,,,,3.0284633689927816,0.7571159874581994,3.0284633689927816,3.0284633689927816,3.0284633689927816,37.85579172133391
SG,ID,,,813.4632409375006,732.116917903817,813.4632409375006,813.4632409375006,813.4632409375006,813.4632409375006
SG,ID,MY,,1003.307858373252,902.9770732523134,1003.307858373252,1003.307858373252,1003.307858373252,1003.307858373252
SG,ID,MY,PH,1189.1579135603738,1070.2421281050415,1189.1579135603738,1189.1579135603738,1189.1579135603738,1189.1579135603738
SG,ID,PH,,999.3132961246224,899.3819672446904,999.3132961246224,999.3132961246224,999.3132961246224,999.3132961246224
SG,MY,,,227.70040915708523,182.16032738389373,227.70040915708523,227.70040915708523,227.70040915708523,227.70040915708523
SG,MY,PH,,413.55046434420706,372.19541792960933,413.55046434420706,413.55046434420706,413.55046434420706,413.55046434420706
SG,PH,,,223.7058469084557,201.33526224379452,223.7058469084557,223.7058469084557,223.7058469084557,223.7058469084557
TH,,,,278.0720460290865,250.26484160281908,278.0720460290865,278.0720460290865,278.0720460290865,278.0720460290865
VN,,,,352.58947862470137,334.00447316441193,352.58947862470137,352.58947862470137,352.58947862470137,352.58947862470137
