country_1,country_2,country_3,country_4,collaboration_emissions,technology_name,technology_cost
KR,MY,PH,,111.55671093266882,RE_PV_Rooftop_Lim_[KR],0.7736868011832994
KR,MY,PH,,111.55671093266882,RE_PV_Openfield_Lim_[KR],2.114369443159768
KR,MY,PH,,111.55671093266882,RE_WIND_Onshore_Lim_[KR],1.2865499998810497
KR,MY,PH,,111.55671093266882,RE_WIND_Offshore_Lim_[KR],4.2883144824049864e-10
KR,MY,PH,,111.55671093266882,PP_CO2_[KR],7.0222449741362025
KR,MY,PH,,111.55671093266882,BESS_[KR],1.321985065671071
KR,MY,PH,,111.55671093266882,EL_to_HTH_[KR],0.2571748459077492
KR,MY,PH,,111.55671093266882,EL_to_NH3_[KR],2.054347563614532e-07
KR,MY,PH,,111.55671093266882,NH3_Storage_[KR],1.424175411408597e-07
KR,MY,PH,,111.55671093266882,NH3_to_EL_[KR],6.771645636949468e-08
KR,MY,PH,,111.55671093266882,NH3_to_HTH_[KR],3.0688611961611586e-08
KR,MY,PH,,111.55671093266882,FF_to_HTH_[KR],2.65014385936039
KR,MY,PH,,111.55671093266882,EL_Demand_[KR],0.0
KR,MY,PH,,111.55671093266882,HTH_Demand_[KR],0.0
KR,MY,PH,,111.55671093266882,RE_PV_Rooftop_Lim_[PH],4.6699598688113326e-11
KR,MY,PH,,111.55671093266882,RE_PV_Openfield_Lim_[PH],1.7621200662141255e-10
KR,MY,PH,,111.55671093266882,RE_WIND_Onshore_Lim_[PH],8.22985731102824
KR,MY,PH,,111.55671093266882,RE_WIND_Offshore_Lim_[PH],3.3537799582865144
KR,MY,PH,,111.55671093266882,PP_CO2_[PH],2.828031786996065e-07
KR,MY,PH,,111.55671093266882,BESS_[PH],1.30312315184671e-06
KR,MY,PH,,111.55671093266882,EL_to_HTH_[PH],0.1264390985183152
KR,MY,PH,,111.55671093266882,EL_to_NH3_[PH],5.252697604822875e-07
KR,MY,PH,,111.55671093266882,NH3_Storage_[PH],3.222515515043856e-07
KR,MY,PH,,111.55671093266882,NH3_to_EL_[PH],1.5287592332141632e-07
KR,MY,PH,,111.55671093266882,NH3_to_HTH_[PH],4.5603186844324594e-08
KR,MY,PH,,111.55671093266882,FF_to_HTH_[PH],0.7700411141505784
KR,MY,PH,,111.55671093266882,EL_Demand_[PH],0.0
KR,MY,PH,,111.55671093266882,HTH_Demand_[PH],0.0
KR,MY,PH,,111.55671093266882,RE_PV_Rooftop_Lim_[MY],4.865856218251012e-11
KR,MY,PH,,111.55671093266882,RE_PV_Openfield_Lim_[MY],1.2741783629053212
KR,MY,PH,,111.55671093266882,RE_WIND_Onshore_Lim_[MY],4.8353152089316245
KR,MY,PH,,111.55671093266882,RE_WIND_Offshore_Lim_[MY],0.0285843730613679
KR,MY,PH,,111.55671093266882,PP_CO2_[MY],0.859482038605118
KR,MY,PH,,111.55671093266882,BESS_[MY],0.9489706720910756
KR,MY,PH,,111.55671093266882,EL_to_HTH_[MY],0.1382718385454178
KR,MY,PH,,111.55671093266882,EL_to_NH3_[MY],2.743744543105349e-07
KR,MY,PH,,111.55671093266882,NH3_Storage_[MY],2.0042539002217946e-07
KR,MY,PH,,111.55671093266882,NH3_to_EL_[MY],7.940874216814939e-08
KR,MY,PH,,111.55671093266882,NH3_to_HTH_[MY],3.6460256444472e-08
KR,MY,PH,,111.55671093266882,FF_to_HTH_[MY],1.1574596510184545
KR,MY,PH,,111.55671093266882,EL_Demand_[MY],0.0
KR,MY,PH,,111.55671093266882,HTH_Demand_[MY],0.0
KR,MY,PH,,111.55671093266882,NH3_Transport_[KR-PH],2.037879467445853e-09
KR,MY,PH,,111.55671093266882,EL_Transport_[KR-PH],5.734695874511609
KR,MY,PH,,111.55671093266882,NH3_Transport_[KR-MY],1.651148733536799e-10
KR,MY,PH,,111.55671093266882,EL_Transport_[KR-MY],1.933401047994952e-07
KR,MY,PH,,111.55671093266882,NH3_Transport_[PH-MY],2.838885624465123e-09
KR,MY,PH,,111.55671093266882,EL_Transport_[PH-MY],0.5215079923604065
KR,MY,PH,,1.4754177009817782e-10,RE_PV_Rooftop_Lim_[KR],0.7736868014353057
KR,MY,PH,,1.4754177009817782e-10,RE_PV_Openfield_Lim_[KR],2.1143694432137874
KR,MY,PH,,1.4754177009817782e-10,RE_WIND_Onshore_Lim_[KR],1.2865499998151533
KR,MY,PH,,1.4754177009817782e-10,RE_WIND_Offshore_Lim_[KR],8.31038513926044
KR,MY,PH,,1.4754177009817782e-10,PP_CO2_[KR],0.0
KR,MY,PH,,1.4754177009817782e-10,BESS_[KR],6.290544697392364
KR,MY,PH,,1.4754177009817782e-10,EL_to_HTH_[KR],0.2626630498657575
KR,MY,PH,,1.4754177009817782e-10,EL_to_NH3_[KR],0.7333597177486089
KR,MY,PH,,1.4754177009817782e-10,NH3_Storage_[KR],3.1029677172024597
