country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,MY,PH,501.4,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,MY,PH,501.4,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,MY,PH,501.4,0.1,RE_WIND_Onshore_Lim_[SG]
SG,ID,MY,PH,501.4,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,MY,PH,501.4,0.0,PP_CO2_[SG]
SG,ID,MY,PH,501.4,0.0,BESS_[SG]
SG,ID,MY,PH,501.4,0.6,EL_to_HTH_[SG]
SG,ID,MY,PH,501.4,0.0,EL_to_NH3_[SG]
SG,ID,MY,PH,501.4,0.0,NH3_Storage_[SG]
SG,ID,MY,PH,501.4,0.0,NH3_to_EL_[SG]
SG,ID,MY,PH,501.4,0.0,NH3_to_HTH_[SG]
SG,ID,MY,PH,501.4,0.0,EL_Demand_[SG]
SG,ID,MY,PH,501.4,0.0,HTH_Demand_[SG]
SG,ID,MY,PH,501.4,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,MY,PH,501.4,1.0,RE_PV_Openfield_Lim_[ID]
SG,ID,MY,PH,501.4,0.0,RE_WIND_Onshore_Lim_[ID]
SG,ID,MY,PH,501.4,0.2,RE_WIND_Offshore_Lim_[ID]
SG,ID,MY,PH,501.4,36.2,PP_CO2_[ID]
SG,ID,MY,PH,501.4,0.0,BESS_[ID]
SG,ID,MY,PH,501.4,14.2,EL_to_HTH_[ID]
SG,ID,MY,PH,501.4,0.1,EL_to_NH3_[ID]
SG,ID,MY,PH,501.4,0.1,NH3_Storage_[ID]
SG,ID,MY,PH,501.4,0.0,NH3_to_EL_[ID]
SG,ID,MY,PH,501.4,0.0,NH3_to_HTH_[ID]
SG,ID,MY,PH,501.4,0.0,EL_Demand_[ID]
SG,ID,MY,PH,501.4,0.0,HTH_Demand_[ID]
SG,ID,MY,PH,501.4,0.0,RE_PV_Rooftop_Lim_[MY]
SG,ID,MY,PH,501.4,0.0,RE_PV_Openfield_Lim_[MY]
SG,ID,MY,PH,501.4,0.0,RE_WIND_Onshore_Lim_[MY]
SG,ID,MY,PH,501.4,0.0,RE_WIND_Offshore_Lim_[MY]
SG,ID,MY,PH,501.4,9.1,PP_CO2_[MY]
SG,ID,MY,PH,501.4,0.0,BESS_[MY]
SG,ID,MY,PH,501.4,1.5,EL_to_HTH_[MY]
SG,ID,MY,PH,501.4,0.0,EL_to_NH3_[MY]
SG,ID,MY,PH,501.4,0.0,NH3_Storage_[MY]
SG,ID,MY,PH,501.4,0.0,NH3_to_EL_[MY]
SG,ID,MY,PH,501.4,0.0,NH3_to_HTH_[MY]
SG,ID,MY,PH,501.4,0.0,EL_Demand_[MY]
SG,ID,MY,PH,501.4,0.0,HTH_Demand_[MY]
SG,ID,MY,PH,501.4,0.0,RE_PV_Rooftop_Lim_[PH]
SG,ID,MY,PH,501.4,0.2,RE_PV_Openfield_Lim_[PH]
SG,ID,MY,PH,501.4,0.0,RE_WIND_Onshore_Lim_[PH]
SG,ID,MY,PH,501.4,0.0,RE_WIND_Offshore_Lim_[PH]
SG,ID,MY,PH,501.4,6.4,PP_CO2_[PH]
SG,ID,MY,PH,501.4,0.0,BESS_[PH]
SG,ID,MY,PH,501.4,1.3,EL_to_HTH_[PH]
SG,ID,MY,PH,501.4,0.0,EL_to_NH3_[PH]
SG,ID,MY,PH,501.4,0.0,NH3_Storage_[PH]
SG,ID,MY,PH,501.4,0.0,NH3_to_EL_[PH]
SG,ID,MY,PH,501.4,0.0,NH3_to_HTH_[PH]
SG,ID,MY,PH,501.4,0.0,EL_Demand_[PH]
SG,ID,MY,PH,501.4,0.0,HTH_Demand_[PH]
SG,ID,MY,PH,501.4,0.0,NH3_Transport_[SG-ID]
SG,ID,MY,PH,501.4,0.0,EL_Transport_[SG-ID]
SG,ID,MY,PH,501.4,0.0,NH3_Transport_[SG-MY]
SG,ID,MY,PH,501.4,0.4,EL_Transport_[SG-MY]
SG,ID,MY,PH,501.4,0.0,NH3_Transport_[SG-PH]
SG,ID,MY,PH,501.4,0.0,EL_Transport_[SG-PH]
SG,ID,MY,PH,501.4,0.0,NH3_Transport_[ID-MY]
SG,ID,MY,PH,501.4,0.0,EL_Transport_[ID-MY]
