country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,MY,,176.8,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,MY,,176.8,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,MY,,176.8,0.2,RE_WIND_Onshore_Lim_[SG]
SG,ID,MY,,176.8,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,MY,,176.8,1.7,PP_CO2_[SG]
SG,ID,MY,,176.8,0.0,BESS_[SG]
SG,ID,MY,,176.8,0.6,EL_to_HTH_[SG]
SG,ID,MY,,176.8,0.0,EL_to_NH3_[SG]
SG,ID,MY,,176.8,0.1,NH3_Storage_[SG]
SG,ID,MY,,176.8,0.0,NH3_to_EL_[SG]
SG,ID,MY,,176.8,0.0,NH3_to_HTH_[SG]
SG,ID,MY,,176.8,0.0,EL_Demand_[SG]
SG,ID,MY,,176.8,0.0,HTH_Demand_[SG]
SG,ID,MY,,176.8,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,MY,,176.8,3.2,RE_PV_Openfield_Lim_[ID]
SG,ID,MY,,176.8,0.0,RE_WIND_Onshore_Lim_[ID]
SG,ID,MY,,176.8,22.0,RE_WIND_Offshore_Lim_[ID]
SG,ID,MY,,176.8,16.8,PP_CO2_[ID]
SG,ID,MY,,176.8,0.0,BESS_[ID]
SG,ID,MY,,176.8,14.1,EL_to_HTH_[ID]
SG,ID,MY,,176.8,0.3,EL_to_NH3_[ID]
SG,ID,MY,,176.8,1.0,NH3_Storage_[ID]
SG,ID,MY,,176.8,0.0,NH3_to_EL_[ID]
SG,ID,MY,,176.8,0.1,NH3_to_HTH_[ID]
SG,ID,MY,,176.8,0.0,EL_Demand_[ID]
SG,ID,MY,,176.8,0.0,HTH_Demand_[ID]
SG,ID,MY,,176.8,0.0,RE_PV_Rooftop_Lim_[MY]
SG,ID,MY,,176.8,2.0,RE_PV_Openfield_Lim_[MY]
SG,ID,MY,,176.8,1.4,RE_WIND_Onshore_Lim_[MY]
SG,ID,MY,,176.8,0.0,RE_WIND_Offshore_Lim_[MY]
SG,ID,MY,,176.8,4.6,PP_CO2_[MY]
SG,ID,MY,,176.8,0.0,BESS_[MY]
SG,ID,MY,,176.8,1.5,EL_to_HTH_[MY]
SG,ID,MY,,176.8,0.0,EL_to_NH3_[MY]
SG,ID,MY,,176.8,0.0,NH3_Storage_[MY]
SG,ID,MY,,176.8,0.0,NH3_to_EL_[MY]
SG,ID,MY,,176.8,0.0,NH3_to_HTH_[MY]
SG,ID,MY,,176.8,0.0,EL_Demand_[MY]
SG,ID,MY,,176.8,0.0,HTH_Demand_[MY]
SG,ID,MY,,176.8,0.0,NH3_Transport_[SG-ID]
SG,ID,MY,,176.8,0.4,EL_Transport_[SG-ID]
SG,ID,MY,,176.8,0.0,NH3_Transport_[SG-MY]
SG,ID,MY,,176.8,0.0,EL_Transport_[SG-MY]
SG,ID,MY,,176.8,0.0,NH3_Transport_[ID-MY]
SG,ID,MY,,176.8,0.2,EL_Transport_[ID-MY]
SG,ID,MY,,309.4,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,MY,,309.4,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,MY,,309.4,0.2,RE_WIND_Onshore_Lim_[SG]
SG,ID,MY,,309.4,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,MY,,309.4,2.2,PP_CO2_[SG]
SG,ID,MY,,309.4,0.0,BESS_[SG]
SG,ID,MY,,309.4,0.6,EL_to_HTH_[SG]
SG,ID,MY,,309.4,0.0,EL_to_NH3_[SG]
SG,ID,MY,,309.4,0.0,NH3_Storage_[SG]
SG,ID,MY,,309.4,0.0,NH3_to_EL_[SG]
SG,ID,MY,,309.4,0.0,NH3_to_HTH_[SG]
SG,ID,MY,,309.4,0.0,EL_Demand_[SG]
SG,ID,MY,,309.4,0.0,HTH_Demand_[SG]
SG,ID,MY,,309.4,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,MY,,309.4,1.6,RE_PV_Openfield_Lim_[ID]
SG,ID,MY,,309.4,0.0,RE_WIND_Onshore_Lim_[ID]
SG,ID,MY,,309.4,11.9,RE_WIND_Offshore_Lim_[ID]
SG,ID,MY,,309.4,25.6,PP_CO2_[ID]
SG,ID,MY,,309.4,0.0,BESS_[ID]
SG,ID,MY,,309.4,14.2,EL_to_HTH_[ID]
SG,ID,MY,,309.4,0.0,EL_to_NH3_[ID]
SG,ID,MY,,309.4,0.4,NH3_Storage_[ID]
