country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,PH,,65.1,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,PH,,65.1,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,PH,,65.1,0.2,RE_WIND_Onshore_Lim_[SG]
SG,ID,PH,,65.1,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,PH,,65.1,19929.5,PP_CO2_[SG]
SG,ID,PH,,65.1,0.0,BESS_[SG]
SG,ID,PH,,65.1,0.9,EL_to_HTH_[SG]
SG,ID,PH,,65.1,0.0,EL_to_NH3_[SG]
SG,ID,PH,,65.1,0.0,NH3_Storage_[SG]
SG,ID,PH,,65.1,0.0,NH3_to_EL_[SG]
SG,ID,PH,,65.1,0.0,NH3_to_HTH_[SG]
SG,ID,PH,,65.1,0.0,EL_Demand_[SG]
SG,ID,PH,,65.1,0.0,HTH_Demand_[SG]
SG,ID,PH,,65.1,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,PH,,65.1,0.7,RE_PV_Openfield_Lim_[ID]
SG,ID,PH,,65.1,2.1,RE_WIND_Onshore_Lim_[ID]
SG,ID,PH,,65.1,7.9,RE_WIND_Offshore_Lim_[ID]
SG,ID,PH,,65.1,6.9,PP_CO2_[ID]
SG,ID,PH,,65.1,0.0,BESS_[ID]
SG,ID,PH,,65.1,7.3,EL_to_HTH_[ID]
SG,ID,PH,,65.1,0.2,EL_to_NH3_[ID]
SG,ID,PH,,65.1,0.4,NH3_Storage_[ID]
SG,ID,PH,,65.1,0.0,NH3_to_EL_[ID]
SG,ID,PH,,65.1,0.0,NH3_to_HTH_[ID]
SG,ID,PH,,65.1,0.0,EL_Demand_[ID]
SG,ID,PH,,65.1,0.0,HTH_Demand_[ID]
SG,ID,PH,,65.1,0.0,RE_PV_Rooftop_Lim_[PH]
SG,ID,PH,,65.1,2.0,RE_PV_Openfield_Lim_[PH]
SG,ID,PH,,65.1,1.6,RE_WIND_Onshore_Lim_[PH]
SG,ID,PH,,65.1,0.0,RE_WIND_Offshore_Lim_[PH]
SG,ID,PH,,65.1,0.0,PP_CO2_[PH]
SG,ID,PH,,65.1,2.4,BESS_[PH]
SG,ID,PH,,65.1,0.4,EL_to_HTH_[PH]
SG,ID,PH,,65.1,0.4,EL_to_NH3_[PH]
SG,ID,PH,,65.1,0.9,NH3_Storage_[PH]
SG,ID,PH,,65.1,0.0,NH3_to_EL_[PH]
SG,ID,PH,,65.1,0.0,NH3_to_HTH_[PH]
SG,ID,PH,,65.1,0.0,EL_Demand_[PH]
SG,ID,PH,,65.1,0.0,HTH_Demand_[PH]
SG,ID,PH,,24.4,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,PH,,24.4,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,PH,,24.4,0.2,RE_WIND_Onshore_Lim_[SG]
SG,ID,PH,,24.4,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,PH,,24.4,19929.5,PP_CO2_[SG]
SG,ID,PH,,24.4,0.0,BESS_[SG]
SG,ID,PH,,24.4,0.9,EL_to_HTH_[SG]
SG,ID,PH,,24.4,0.0,EL_to_NH3_[SG]
SG,ID,PH,,24.4,0.0,NH3_Storage_[SG]
SG,ID,PH,,24.4,0.0,NH3_to_EL_[SG]
SG,ID,PH,,24.4,0.0,NH3_to_HTH_[SG]
SG,ID,PH,,24.4,0.0,EL_Demand_[SG]
SG,ID,PH,,24.4,0.0,HTH_Demand_[SG]
SG,ID,PH,,24.4,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,PH,,24.4,2.8,RE_PV_Openfield_Lim_[ID]
SG,ID,PH,,24.4,19.2,RE_WIND_Onshore_Lim_[ID]
SG,ID,PH,,24.4,0.0,RE_WIND_Offshore_Lim_[ID]
SG,ID,PH,,24.4,1.0,PP_CO2_[ID]
SG,ID,PH,,24.4,0.0,BESS_[ID]
SG,ID,PH,,24.4,5.9,EL_to_HTH_[ID]
SG,ID,PH,,24.4,1.9,EL_to_NH3_[ID]
SG,ID,PH,,24.4,2.8,NH3_Storage_[ID]
SG,ID,PH,,24.4,0.0,NH3_to_EL_[ID]
SG,ID,PH,,24.4,0.1,NH3_to_HTH_[ID]
SG,ID,PH,,24.4,0.0,EL_Demand_[ID]
SG,ID,PH,,24.4,0.0,HTH_Demand_[ID]
SG,ID,PH,,24.4,0.0,RE_PV_Rooftop_Lim_[PH]
SG,ID,PH,,24.4,2.0,RE_PV_Openfield_Lim_[PH]
SG,ID,PH,,24.4,1.6,RE_WIND_Onshore_Lim_[PH]
SG,ID,PH,,24.4,0.0,RE_WIND_Offshore_Lim_[PH]
SG,ID,PH,,24.4,0.0,PP_CO2_[PH]
SG,ID,PH,,24.4,2.4,BESS_[PH]
SG,ID,PH,,24.4,0.4,EL_to_HTH_[PH]
SG,ID,PH,,24.4,0.4,EL_to_NH3_[PH]
SG,ID,PH,,24.4,0.9,NH3_Storage_[PH]
SG,ID,PH,,24.4,0.0,NH3_to_EL_[PH]
SG,ID,PH,,24.4,0.0,NH3_to_HTH_[PH]
SG,ID,PH,,24.4,0.0,EL_Demand_[PH]
SG,ID,PH,,24.4,0.0,HTH_Demand_[PH]
SG,ID,PH,,114.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,PH,,114.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,PH,,114.0,0.2,RE_WIND_Onshore_Lim_[SG]
SG,ID,PH,,114.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,PH,,114.0,19929.5,PP_CO2_[SG]
SG,ID,PH,,114.0,0.0,BESS_[SG]
SG,ID,PH,,114.0,0.9,EL_to_HTH_[SG]
SG,ID,PH,,114.0,0.0,EL_to_NH3_[SG]
SG,ID,PH,,114.0,0.0,NH3_Storage_[SG]
SG,ID,PH,,114.0,0.0,NH3_to_EL_[SG]
SG,ID,PH,,114.0,0.0,NH3_to_HTH_[SG]
SG,ID,PH,,114.0,0.0,EL_Demand_[SG]
SG,ID,PH,,114.0,0.0,HTH_Demand_[SG]
SG,ID,PH,,114.0,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,PH,,114.0,0.0,RE_PV_Openfield_Lim_[ID]
SG,ID,PH,,114.0,0.0,RE_WIND_Onshore_Lim_[ID]
SG,ID,PH,,114.0,4.7,RE_WIND_Offshore_Lim_[ID]
SG,ID,PH,,114.0,11.3,PP_CO2_[ID]
SG,ID,PH,,114.0,0.0,BESS_[ID]
SG,ID,PH,,114.0,7.4,EL_to_HTH_[ID]
SG,ID,PH,,114.0,0.0,EL_to_NH3_[ID]
SG,ID,PH,,114.0,0.1,NH3_Storage_[ID]
SG,ID,PH,,114.0,0.0,NH3_to_EL_[ID]
SG,ID,PH,,114.0,0.0,NH3_to_HTH_[ID]
SG,ID,PH,,114.0,0.0,EL_Demand_[ID]
SG,ID,PH,,114.0,0.0,HTH_Demand_[ID]
SG,ID,PH,,114.0,0.0,RE_PV_Rooftop_Lim_[PH]
SG,ID,PH,,114.0,2.0,RE_PV_Openfield_Lim_[PH]
SG,ID,PH,,114.0,1.6,RE_WIND_Onshore_Lim_[PH]
SG,ID,PH,,114.0,0.0,RE_WIND_Offshore_Lim_[PH]
SG,ID,PH,,114.0,0.0,PP_CO2_[PH]
SG,ID,PH,,114.0,2.4,BESS_[PH]
SG,ID,PH,,114.0,0.4,EL_to_HTH_[PH]
SG,ID,PH,,114.0,0.4,EL_to_NH3_[PH]
SG,ID,PH,,114.0,0.9,NH3_Storage_[PH]
SG,ID,PH,,114.0,0.0,NH3_to_EL_[PH]
SG,ID,PH,,114.0,0.0,NH3_to_HTH_[PH]
SG,ID,PH,,114.0,0.0,EL_Demand_[PH]
SG,ID,PH,,114.0,0.0,HTH_Demand_[PH]
SG,ID,PH,,162.8,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,PH,,162.8,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,PH,,162.8,0.2,RE_WIND_Onshore_Lim_[SG]
SG,ID,PH,,162.8,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,PH,,162.8,19929.5,PP_CO2_[SG]
SG,ID,PH,,162.8,0.0,BESS_[SG]
SG,ID,PH,,162.8,0.9,EL_to_HTH_[SG]
SG,ID,PH,,162.8,0.0,EL_to_NH3_[SG]
SG,ID,PH,,162.8,0.0,NH3_Storage_[SG]
SG,ID,PH,,162.8,0.0,NH3_to_EL_[SG]
SG,ID,PH,,162.8,0.0,NH3_to_HTH_[SG]
SG,ID,PH,,162.8,0.0,EL_Demand_[SG]
SG,ID,PH,,162.8,0.0,HTH_Demand_[SG]
SG,ID,PH,,162.8,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,PH,,162.8,0.0,RE_PV_Openfield_Lim_[ID]
SG,ID,PH,,162.8,0.0,RE_WIND_Onshore_Lim_[ID]
SG,ID,PH,,162.8,0.0,RE_WIND_Offshore_Lim_[ID]
SG,ID,PH,,162.8,15.2,PP_CO2_[ID]
SG,ID,PH,,162.8,0.0,BESS_[ID]
SG,ID,PH,,162.8,7.4,EL_to_HTH_[ID]
SG,ID,PH,,162.8,0.0,EL_to_NH3_[ID]
SG,ID,PH,,162.8,0.1,NH3_Storage_[ID]
SG,ID,PH,,162.8,0.0,NH3_to_EL_[ID]
SG,ID,PH,,162.8,0.0,NH3_to_HTH_[ID]
SG,ID,PH,,162.8,0.0,EL_Demand_[ID]
SG,ID,PH,,162.8,0.0,HTH_Demand_[ID]
SG,ID,PH,,162.8,0.0,RE_PV_Rooftop_Lim_[PH]
SG,ID,PH,,162.8,2.0,RE_PV_Openfield_Lim_[PH]
SG,ID,PH,,162.8,1.6,RE_WIND_Onshore_Lim_[PH]
SG,ID,PH,,162.8,0.0,RE_WIND_Offshore_Lim_[PH]
SG,ID,PH,,162.8,0.0,PP_CO2_[PH]
SG,ID,PH,,162.8,2.4,BESS_[PH]
SG,ID,PH,,162.8,0.4,EL_to_HTH_[PH]
SG,ID,PH,,162.8,0.4,EL_to_NH3_[PH]
SG,ID,PH,,162.8,0.9,NH3_Storage_[PH]
SG,ID,PH,,162.8,0.0,NH3_to_EL_[PH]
SG,ID,PH,,162.8,0.0,NH3_to_HTH_[PH]
SG,ID,PH,,162.8,0.0,EL_Demand_[PH]
SG,ID,PH,,162.8,0.0,HTH_Demand_[PH]
SG,ID,PH,,146.6,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,PH,,146.6,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,PH,,146.6,0.2,RE_WIND_Onshore_Lim_[SG]
SG,ID,PH,,146.6,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,PH,,146.6,19929.5,PP_CO2_[SG]
SG,ID,PH,,146.6,0.0,BESS_[SG]
SG,ID,PH,,146.6,0.9,EL_to_HTH_[SG]
SG,ID,PH,,146.6,0.0,EL_to_NH3_[SG]
SG,ID,PH,,146.6,0.0,NH3_Storage_[SG]
SG,ID,PH,,146.6,0.0,NH3_to_EL_[SG]
SG,ID,PH,,146.6,0.0,NH3_to_HTH_[SG]
SG,ID,PH,,146.6,0.0,EL_Demand_[SG]
SG,ID,PH,,146.6,0.0,HTH_Demand_[SG]
