country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,PH,,9.1,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,PH,,9.1,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,PH,,9.1,0.1,RE_WIND_Onshore_Lim_[SG]
SG,ID,PH,,9.1,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,PH,,9.1,0.0,PP_CO2_[SG]
SG,ID,PH,,9.1,0.1,BESS_[SG]
SG,ID,PH,,9.1,0.3,EL_to_HTH_[SG]
SG,ID,PH,,9.1,0.0,EL_to_NH3_[SG]
SG,ID,PH,,9.1,0.4,NH3_Storage_[SG]
SG,ID,PH,,9.1,0.0,NH3_to_EL_[SG]
SG,ID,PH,,9.1,0.0,NH3_to_HTH_[SG]
SG,ID,PH,,9.1,0.0,EL_Demand_[SG]
SG,ID,PH,,9.1,0.0,HTH_Demand_[SG]
SG,ID,PH,,9.1,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,PH,,9.1,8.2,RE_PV_Openfield_Lim_[ID]
SG,ID,PH,,9.1,31.4,RE_WIND_Onshore_Lim_[ID]
SG,ID,PH,,9.1,7.7,RE_WIND_Offshore_Lim_[ID]
SG,ID,PH,,9.1,1.5,PP_CO2_[ID]
SG,ID,PH,,9.1,0.1,BESS_[ID]
SG,ID,PH,,9.1,11.4,EL_to_HTH_[ID]
SG,ID,PH,,9.1,3.3,EL_to_NH3_[ID]
SG,ID,PH,,9.1,5.4,NH3_Storage_[ID]
SG,ID,PH,,9.1,0.0,NH3_to_EL_[ID]
SG,ID,PH,,9.1,0.3,NH3_to_HTH_[ID]
SG,ID,PH,,9.1,0.0,EL_Demand_[ID]
SG,ID,PH,,9.1,0.0,HTH_Demand_[ID]
SG,ID,PH,,9.1,0.0,RE_PV_Rooftop_Lim_[PH]
SG,ID,PH,,9.1,0.0,RE_PV_Openfield_Lim_[PH]
SG,ID,PH,,9.1,7.7,RE_WIND_Onshore_Lim_[PH]
SG,ID,PH,,9.1,3.1,RE_WIND_Offshore_Lim_[PH]
SG,ID,PH,,9.1,0.5,PP_CO2_[PH]
SG,ID,PH,,9.1,0.1,BESS_[PH]
SG,ID,PH,,9.1,0.8,EL_to_HTH_[PH]
SG,ID,PH,,9.1,0.8,EL_to_NH3_[PH]
SG,ID,PH,,9.1,1.5,NH3_Storage_[PH]
SG,ID,PH,,9.1,0.0,NH3_to_EL_[PH]
SG,ID,PH,,9.1,0.0,NH3_to_HTH_[PH]
SG,ID,PH,,9.1,0.0,EL_Demand_[PH]
SG,ID,PH,,9.1,0.0,HTH_Demand_[PH]
SG,ID,PH,,9.1,0.0,NH3_Transport_[SG-ID]
SG,ID,PH,,9.1,0.2,EL_Transport_[SG-ID]
SG,ID,PH,,9.1,0.0,NH3_Transport_[SG-PH]
SG,ID,PH,,9.1,1.1,EL_Transport_[SG-PH]
SG,ID,PH,,9.1,0.0,NH3_Transport_[ID-PH]
SG,ID,PH,,9.1,3.8,EL_Transport_[ID-PH]
SG,ID,PH,,4.2,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,PH,,4.2,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,PH,,4.2,0.1,RE_WIND_Onshore_Lim_[SG]
SG,ID,PH,,4.2,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,PH,,4.2,0.0,PP_CO2_[SG]
SG,ID,PH,,4.2,0.1,BESS_[SG]
SG,ID,PH,,4.2,0.3,EL_to_HTH_[SG]
SG,ID,PH,,4.2,0.0,EL_to_NH3_[SG]
SG,ID,PH,,4.2,0.4,NH3_Storage_[SG]
SG,ID,PH,,4.2,0.0,NH3_to_EL_[SG]
SG,ID,PH,,4.2,0.0,NH3_to_HTH_[SG]
