country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,,,168.5,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,,,168.5,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,,,168.5,0.2,RE_WIND_Onshore_Lim_[SG]
SG,ID,,,168.5,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,,,168.5,20215.6,PP_CO2_[SG]
SG,ID,,,168.5,0.0,BESS_[SG]
SG,ID,,,168.5,0.9,EL_to_HTH_[SG]
SG,ID,,,168.5,0.0,EL_to_NH3_[SG]
SG,ID,,,168.5,0.0,NH3_Storage_[SG]
SG,ID,,,168.5,0.0,NH3_to_EL_[SG]
SG,ID,,,168.5,0.0,NH3_to_HTH_[SG]
SG,ID,,,168.5,0.0,EL_Demand_[SG]
SG,ID,,,168.5,0.0,HTH_Demand_[SG]
SG,ID,,,168.5,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,,,168.5,0.0,RE_PV_Openfield_Lim_[ID]
SG,ID,,,168.5,0.0,RE_WIND_Onshore_Lim_[ID]
SG,ID,,,168.5,0.0,RE_WIND_Offshore_Lim_[ID]
SG,ID,,,168.5,15.6,PP_CO2_[ID]
SG,ID,,,168.5,0.0,BESS_[ID]
SG,ID,,,168.5,7.7,EL_to_HTH_[ID]
SG,ID,,,168.5,0.0,EL_to_NH3_[ID]
SG,ID,,,168.5,0.0,NH3_Storage_[ID]
SG,ID,,,168.5,0.0,NH3_to_EL_[ID]
SG,ID,,,168.5,0.0,NH3_to_HTH_[ID]
SG,ID,,,168.5,0.0,EL_Demand_[ID]
SG,ID,,,168.5,0.0,HTH_Demand_[ID]
