country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,,,153.4,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,,,153.4,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,,,153.4,0.0,RE_WIND_Onshore_Lim_[SG]
SG,ID,,,153.4,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,,,153.4,2.0,PP_CO2_[SG]
SG,ID,,,153.4,0.0,BESS_[SG]
SG,ID,,,153.4,0.6,EL_to_HTH_[SG]
SG,ID,,,153.4,0.0,EL_to_NH3_[SG]
SG,ID,,,153.4,0.0,NH3_Storage_[SG]
SG,ID,,,153.4,0.0,NH3_to_EL_[SG]
SG,ID,,,153.4,0.0,NH3_to_HTH_[SG]
SG,ID,,,153.4,0.0,EL_Demand_[SG]
SG,ID,,,153.4,0.0,HTH_Demand_[SG]
SG,ID,,,153.4,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,,,153.4,2.3,RE_PV_Openfield_Lim_[ID]
SG,ID,,,153.4,0.0,RE_WIND_Onshore_Lim_[ID]
SG,ID,,,153.4,21.2,RE_WIND_Offshore_Lim_[ID]
SG,ID,,,153.4,18.1,PP_CO2_[ID]
SG,ID,,,153.4,0.0,BESS_[ID]
SG,ID,,,153.4,14.1,EL_to_HTH_[ID]
SG,ID,,,153.4,0.1,EL_to_NH3_[ID]
SG,ID,,,153.4,0.8,NH3_Storage_[ID]
SG,ID,,,153.4,0.0,NH3_to_EL_[ID]
SG,ID,,,153.4,0.1,NH3_to_HTH_[ID]
SG,ID,,,153.4,0.0,EL_Demand_[ID]
SG,ID,,,153.4,0.0,HTH_Demand_[ID]
SG,ID,,,153.4,0.0,NH3_Transport_[SG-ID]
SG,ID,,,153.4,0.4,EL_Transport_[SG-ID]
SG,ID,,,268.4,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,,,268.4,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,,,268.4,0.0,RE_WIND_Onshore_Lim_[SG]
SG,ID,,,268.4,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,,,268.4,2.4,PP_CO2_[SG]
SG,ID,,,268.4,0.0,BESS_[SG]
SG,ID,,,268.4,0.6,EL_to_HTH_[SG]
SG,ID,,,268.4,0.0,EL_to_NH3_[SG]
SG,ID,,,268.4,0.0,NH3_Storage_[SG]
SG,ID,,,268.4,0.0,NH3_to_EL_[SG]
SG,ID,,,268.4,0.0,NH3_to_HTH_[SG]
SG,ID,,,268.4,0.0,EL_Demand_[SG]
SG,ID,,,268.4,0.0,HTH_Demand_[SG]
SG,ID,,,268.4,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,,,268.4,1.3,RE_PV_Openfield_Lim_[ID]
SG,ID,,,268.4,0.0,RE_WIND_Onshore_Lim_[ID]
SG,ID,,,268.4,9.9,RE_WIND_Offshore_Lim_[ID]
