country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
SG,ID,KH,VN,238.2,0.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,KH,VN,238.2,0.0,1.2,RE_PV_Openfield_Lim_[SG]
SG,ID,KH,VN,238.2,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,ID,KH,VN,238.2,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,KH,VN,238.2,3.6,10.4,PP_CO2_[SG]
SG,ID,KH,VN,238.2,0.0,0.3,BESS_[SG]
SG,ID,KH,VN,238.2,0.0,0.0,EL_to_HTH_[SG]
SG,ID,KH,VN,238.2,0.0,0.0,EL_to_NH3_[SG]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_Storage_[SG]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_to_EL_[SG]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_to_HTH_[SG]
SG,ID,KH,VN,238.2,0.7,4.9,FF_to_HTH_[SG]
SG,ID,KH,VN,238.2,0.0,10.7,EL_Demand_[SG]
SG,ID,KH,VN,238.2,0.0,4.9,HTH_Demand_[SG]
SG,ID,KH,VN,238.2,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
SG,ID,KH,VN,238.2,0.2,11.7,RE_PV_Openfield_Lim_[KH]
SG,ID,KH,VN,238.2,0.8,17.5,RE_WIND_Onshore_Lim_[KH]
SG,ID,KH,VN,238.2,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
SG,ID,KH,VN,238.2,0.0,0.6,PP_CO2_[KH]
SG,ID,KH,VN,238.2,0.0,0.6,BESS_[KH]
SG,ID,KH,VN,238.2,0.1,11.0,EL_to_HTH_[KH]
SG,ID,KH,VN,238.2,0.0,0.0,EL_to_NH3_[KH]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_Storage_[KH]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_to_EL_[KH]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_to_HTH_[KH]
SG,ID,KH,VN,238.2,0.8,11.2,FF_to_HTH_[KH]
SG,ID,KH,VN,238.2,0.0,2.8,EL_Demand_[KH]
SG,ID,KH,VN,238.2,0.0,11.5,HTH_Demand_[KH]
SG,ID,KH,VN,238.2,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,ID,KH,VN,238.2,1.2,57.0,RE_PV_Openfield_Lim_[VN]
SG,ID,KH,VN,238.2,0.4,9.3,RE_WIND_Onshore_Lim_[VN]
SG,ID,KH,VN,238.2,6.2,118.5,RE_WIND_Offshore_Lim_[VN]
SG,ID,KH,VN,238.2,2.8,40.5,PP_CO2_[VN]
SG,ID,KH,VN,238.2,0.0,2.5,BESS_[VN]
SG,ID,KH,VN,238.2,0.5,45.3,EL_to_HTH_[VN]
SG,ID,KH,VN,238.2,0.0,0.0,EL_to_NH3_[VN]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_Storage_[VN]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_to_EL_[VN]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_to_HTH_[VN]
SG,ID,KH,VN,238.2,2.9,46.0,FF_to_HTH_[VN]
SG,ID,KH,VN,238.2,0.0,51.6,EL_Demand_[VN]
SG,ID,KH,VN,238.2,0.0,46.8,HTH_Demand_[VN]
SG,ID,KH,VN,238.2,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,KH,VN,238.2,4.2,202.8,RE_PV_Openfield_Lim_[ID]
SG,ID,KH,VN,238.2,5.5,113.8,RE_WIND_Onshore_Lim_[ID]
SG,ID,KH,VN,238.2,14.4,273.2,RE_WIND_Offshore_Lim_[ID]
SG,ID,KH,VN,238.2,5.8,80.1,PP_CO2_[ID]
SG,ID,KH,VN,238.2,0.1,7.8,BESS_[ID]
SG,ID,KH,VN,238.2,1.3,115.6,EL_to_HTH_[ID]
SG,ID,KH,VN,238.2,0.0,0.0,EL_to_NH3_[ID]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_Storage_[ID]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_to_EL_[ID]
SG,ID,KH,VN,238.2,0.0,0.0,NH3_to_HTH_[ID]
SG,ID,KH,VN,238.2,9.7,116.6,FF_to_HTH_[ID]
SG,ID,KH,VN,238.2,0.0,138.0,EL_Demand_[ID]
SG,ID,KH,VN,238.2,0.0,117.7,HTH_Demand_[ID]
SG,ID,KH,VN,119.1,0.4,7.4,RE_PV_Rooftop_Lim_[SG]
SG,ID,KH,VN,119.1,0.0,1.2,RE_PV_Openfield_Lim_[SG]
SG,ID,KH,VN,119.1,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,ID,KH,VN,119.1,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,KH,VN,119.1,3.3,10.4,PP_CO2_[SG]
SG,ID,KH,VN,119.1,0.0,0.2,BESS_[SG]
SG,ID,KH,VN,119.1,0.0,0.0,EL_to_HTH_[SG]
SG,ID,KH,VN,119.1,0.0,0.0,EL_to_NH3_[SG]
SG,ID,KH,VN,119.1,0.0,0.0,NH3_Storage_[SG]
SG,ID,KH,VN,119.1,0.0,0.0,NH3_to_EL_[SG]
SG,ID,KH,VN,119.1,0.0,0.0,NH3_to_HTH_[SG]
SG,ID,KH,VN,119.1,0.7,4.9,FF_to_HTH_[SG]
SG,ID,KH,VN,119.1,0.0,10.7,EL_Demand_[SG]
SG,ID,KH,VN,119.1,0.0,4.9,HTH_Demand_[SG]
SG,ID,KH,VN,119.1,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
SG,ID,KH,VN,119.1,0.4,19.2,RE_PV_Openfield_Lim_[KH]
SG,ID,KH,VN,119.1,1.2,24.6,RE_WIND_Onshore_Lim_[KH]
SG,ID,KH,VN,119.1,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
SG,ID,KH,VN,119.1,0.0,0.0,PP_CO2_[KH]
SG,ID,KH,VN,119.1,0.0,0.8,BESS_[KH]
SG,ID,KH,VN,119.1,0.1,11.2,EL_to_HTH_[KH]
SG,ID,KH,VN,119.1,0.0,0.1,EL_to_NH3_[KH]
SG,ID,KH,VN,119.1,0.0,0.2,NH3_Storage_[KH]
SG,ID,KH,VN,119.1,0.0,0.0,NH3_to_EL_[KH]
SG,ID,KH,VN,119.1,0.0,0.0,NH3_to_HTH_[KH]
SG,ID,KH,VN,119.1,0.5,10.9,FF_to_HTH_[KH]
SG,ID,KH,VN,119.1,0.0,2.8,EL_Demand_[KH]
SG,ID,KH,VN,119.1,0.0,11.5,HTH_Demand_[KH]
SG,ID,KH,VN,119.1,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,ID,KH,VN,119.1,1.3,62.4,RE_PV_Openfield_Lim_[VN]
SG,ID,KH,VN,119.1,8.8,182.8,RE_WIND_Onshore_Lim_[VN]
SG,ID,KH,VN,119.1,1.7,32.2,RE_WIND_Offshore_Lim_[VN]
SG,ID,KH,VN,119.1,0.8,14.1,PP_CO2_[VN]
SG,ID,KH,VN,119.1,0.5,26.3,BESS_[VN]
SG,ID,KH,VN,119.1,0.5,45.8,EL_to_HTH_[VN]
SG,ID,KH,VN,119.1,0.2,2.8,EL_to_NH3_[VN]
SG,ID,KH,VN,119.1,0.5,29.1,NH3_Storage_[VN]
SG,ID,KH,VN,119.1,0.3,4.0,NH3_to_EL_[VN]
SG,ID,KH,VN,119.1,0.0,0.8,NH3_to_HTH_[VN]
SG,ID,KH,VN,119.1,1.9,45.6,FF_to_HTH_[VN]
SG,ID,KH,VN,119.1,0.0,51.6,EL_Demand_[VN]
SG,ID,KH,VN,119.1,0.0,46.8,HTH_Demand_[VN]
SG,ID,KH,VN,119.1,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,KH,VN,119.1,4.2,205.6,RE_PV_Openfield_Lim_[ID]
SG,ID,KH,VN,119.1,23.8,494.3,RE_WIND_Onshore_Lim_[ID]
SG,ID,KH,VN,119.1,7.6,144.2,RE_WIND_Offshore_Lim_[ID]
SG,ID,KH,VN,119.1,1.7,29.6,PP_CO2_[ID]
SG,ID,KH,VN,119.1,1.4,80.1,BESS_[ID]
SG,ID,KH,VN,119.1,1.3,116.6,EL_to_HTH_[ID]
SG,ID,KH,VN,119.1,0.0,0.6,EL_to_NH3_[ID]
SG,ID,KH,VN,119.1,0.0,3.0,NH3_Storage_[ID]
SG,ID,KH,VN,119.1,0.0,0.5,NH3_to_EL_[ID]
SG,ID,KH,VN,119.1,0.0,0.4,NH3_to_HTH_[ID]
SG,ID,KH,VN,119.1,6.0,115.6,FF_to_HTH_[ID]
SG,ID,KH,VN,119.1,0.0,138.0,EL_Demand_[ID]
SG,ID,KH,VN,119.1,0.0,117.7,HTH_Demand_[ID]
SG,ID,KH,VN,41.1,0.4,7.4,RE_PV_Rooftop_Lim_[SG]
SG,ID,KH,VN,41.1,0.0,1.2,RE_PV_Openfield_Lim_[SG]
