country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SGP,MYS,NIL,NIL,111.4,0.0,RE_PV_Rooftop_Lim_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,RE_PV_Openfield_Lim_[SGP]
SGP,MYS,NIL,NIL,111.4,0.2,RE_WIND_Onshore_Lim_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,RE_WIND_Offshore_Lim_[SGP]
SGP,MYS,NIL,NIL,111.4,3.2,PP_CO2_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,BESS_[SGP]
SGP,MYS,NIL,NIL,111.4,0.9,EL_to_HTH_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,EL_to_NH3_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,NH3_Storage_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,NH3_to_EL_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,NH3_to_HTH_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,EL_Demand_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,HTH_Demand_[SGP]
SGP,MYS,NIL,NIL,111.4,0.0,RE_PV_Rooftop_Lim_[MYS]
SGP,MYS,NIL,NIL,111.4,2.5,RE_PV_Openfield_Lim_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,RE_WIND_Onshore_Lim_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,RE_WIND_Offshore_Lim_[MYS]
SGP,MYS,NIL,NIL,111.4,8.1,PP_CO2_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,BESS_[MYS]
SGP,MYS,NIL,NIL,111.4,2.6,EL_to_HTH_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,EL_to_NH3_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,NH3_Storage_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,NH3_to_EL_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,NH3_to_HTH_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,EL_Demand_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,HTH_Demand_[MYS]
SGP,MYS,NIL,NIL,111.4,0.0,NH3_Transport_[SGP-MYS]
SGP,MYS,NIL,NIL,111.4,0.2,EL_Transport_[SGP-MYS]
SGP,MYS,NIL,NIL,100.3,0.0,RE_PV_Rooftop_Lim_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,RE_PV_Openfield_Lim_[SGP]
SGP,MYS,NIL,NIL,100.3,0.2,RE_WIND_Onshore_Lim_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,RE_WIND_Offshore_Lim_[SGP]
SGP,MYS,NIL,NIL,100.3,3.0,PP_CO2_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,BESS_[SGP]
SGP,MYS,NIL,NIL,100.3,0.9,EL_to_HTH_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,EL_to_NH3_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,NH3_Storage_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,NH3_to_EL_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,NH3_to_HTH_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,EL_Demand_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,HTH_Demand_[SGP]
SGP,MYS,NIL,NIL,100.3,0.0,RE_PV_Rooftop_Lim_[MYS]
SGP,MYS,NIL,NIL,100.3,2.7,RE_PV_Openfield_Lim_[MYS]
SGP,MYS,NIL,NIL,100.3,0.2,RE_WIND_Onshore_Lim_[MYS]
SGP,MYS,NIL,NIL,100.3,0.9,RE_WIND_Offshore_Lim_[MYS]
SGP,MYS,NIL,NIL,100.3,7.2,PP_CO2_[MYS]
SGP,MYS,NIL,NIL,100.3,0.1,BESS_[MYS]
SGP,MYS,NIL,NIL,100.3,2.6,EL_to_HTH_[MYS]
SGP,MYS,NIL,NIL,100.3,0.0,EL_to_NH3_[MYS]
SGP,MYS,NIL,NIL,100.3,0.0,NH3_Storage_[MYS]
SGP,MYS,NIL,NIL,100.3,0.0,NH3_to_EL_[MYS]
SGP,MYS,NIL,NIL,100.3,0.0,NH3_to_HTH_[MYS]
SGP,MYS,NIL,NIL,100.3,0.0,EL_Demand_[MYS]
SGP,MYS,NIL,NIL,100.3,0.0,HTH_Demand_[MYS]
SGP,MYS,NIL,NIL,100.3,0.0,NH3_Transport_[SGP-MYS]
SGP,MYS,NIL,NIL,100.3,0.2,EL_Transport_[SGP-MYS]
SGP,MYS,NIL,NIL,89.1,0.0,RE_PV_Rooftop_Lim_[SGP]
SGP,MYS,NIL,NIL,89.1,0.0,RE_PV_Openfield_Lim_[SGP]
SGP,MYS,NIL,NIL,89.1,0.2,RE_WIND_Onshore_Lim_[SGP]
SGP,MYS,NIL,NIL,89.1,0.0,RE_WIND_Offshore_Lim_[SGP]
SGP,MYS,NIL,NIL,89.1,2.9,PP_CO2_[SGP]
SGP,MYS,NIL,NIL,89.1,0.0,BESS_[SGP]
SGP,MYS,NIL,NIL,89.1,0.9,EL_to_HTH_[SGP]
SGP,MYS,NIL,NIL,89.1,0.0,EL_to_NH3_[SGP]
