country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,VN,,,117.1,0.4,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,117.1,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,117.1,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,117.1,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,117.1,3.3,PP_CO2_[SG]
SG,VN,,,117.1,0.0,BESS_[SG]
SG,VN,,,117.1,0.0,EL_to_HTH_[SG]
SG,VN,,,117.1,0.0,EL_to_NH3_[SG]
SG,VN,,,117.1,0.0,NH3_Storage_[SG]
SG,VN,,,117.1,0.0,NH3_to_EL_[SG]
SG,VN,,,117.1,0.0,NH3_to_HTH_[SG]
SG,VN,,,117.1,0.7,FF_to_HTH_[SG]
SG,VN,,,117.1,0.0,EL_Demand_[SG]
SG,VN,,,117.1,0.0,HTH_Demand_[SG]
SG,VN,,,117.1,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,,,117.1,4.5,RE_PV_Openfield_Lim_[VN]
SG,VN,,,117.1,8.2,RE_WIND_Onshore_Lim_[VN]
SG,VN,,,117.1,12.9,RE_WIND_Offshore_Lim_[VN]
SG,VN,,,117.1,5.7,PP_CO2_[VN]
SG,VN,,,117.1,1.0,BESS_[VN]
SG,VN,,,117.1,1.3,EL_to_HTH_[VN]
SG,VN,,,117.1,0.0,EL_to_NH3_[VN]
SG,VN,,,117.1,0.0,NH3_Storage_[VN]
SG,VN,,,117.1,0.0,NH3_to_EL_[VN]
SG,VN,,,117.1,0.0,NH3_to_HTH_[VN]
SG,VN,,,117.1,5.9,FF_to_HTH_[VN]
SG,VN,,,117.1,0.0,EL_Demand_[VN]
SG,VN,,,117.1,0.0,HTH_Demand_[VN]
SG,VN,,,78.1,0.4,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,78.1,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,78.1,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,78.1,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,78.1,3.3,PP_CO2_[SG]
SG,VN,,,78.1,0.0,BESS_[SG]
