country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,VN,,,104.9,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,104.9,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,104.9,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,104.9,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,104.9,0.0,PP_CO2_[SG]
SG,VN,,,104.9,0.0,BESS_[SG]
SG,VN,,,104.9,0.0,EL_to_HTH_[SG]
SG,VN,,,104.9,0.0,EL_to_NH3_[SG]
SG,VN,,,104.9,0.0,NH3_Storage_[SG]
SG,VN,,,104.9,0.0,NH3_to_EL_[SG]
SG,VN,,,104.9,0.0,NH3_to_HTH_[SG]
SG,VN,,,104.9,0.6,FF_to_HTH_[SG]
SG,VN,,,104.9,0.0,EL_Demand_[SG]
SG,VN,,,104.9,0.0,HTH_Demand_[SG]
SG,VN,,,104.9,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,,,104.9,0.0,RE_PV_Openfield_Lim_[VN]
SG,VN,,,104.9,0.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,,,104.9,7.0,RE_WIND_Offshore_Lim_[VN]
SG,VN,,,104.9,4.4,PP_CO2_[VN]
SG,VN,,,104.9,0.0,BESS_[VN]
SG,VN,,,104.9,0.5,EL_to_HTH_[VN]
SG,VN,,,104.9,0.0,EL_to_NH3_[VN]
SG,VN,,,104.9,0.0,NH3_Storage_[VN]
SG,VN,,,104.9,0.0,NH3_to_EL_[VN]
SG,VN,,,104.9,0.0,NH3_to_HTH_[VN]
SG,VN,,,104.9,3.7,FF_to_HTH_[VN]
SG,VN,,,104.9,0.0,EL_Demand_[VN]
SG,VN,,,104.9,0.0,HTH_Demand_[VN]
SG,VN,,,104.9,0.0,NH3_Transport_[SG-VN]
SG,VN,,,104.9,0.5,EL_Transport_[SG-VN]
SG,VN,,,78.1,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,78.1,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,78.1,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,78.1,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,78.1,0.0,PP_CO2_[SG]
SG,VN,,,78.1,0.0,BESS_[SG]
SG,VN,,,78.1,0.0,EL_to_HTH_[SG]
SG,VN,,,78.1,0.0,EL_to_NH3_[SG]
SG,VN,,,78.1,0.0,NH3_Storage_[SG]
SG,VN,,,78.1,0.0,NH3_to_EL_[SG]
SG,VN,,,78.1,0.0,NH3_to_HTH_[SG]
SG,VN,,,78.1,0.6,FF_to_HTH_[SG]
SG,VN,,,78.1,0.0,EL_Demand_[SG]
SG,VN,,,78.1,0.0,HTH_Demand_[SG]
SG,VN,,,78.1,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,,,78.1,1.1,RE_PV_Openfield_Lim_[VN]
SG,VN,,,78.1,0.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,,,78.1,7.3,RE_WIND_Offshore_Lim_[VN]
SG,VN,,,78.1,3.7,PP_CO2_[VN]
SG,VN,,,78.1,0.0,BESS_[VN]
SG,VN,,,78.1,0.5,EL_to_HTH_[VN]
SG,VN,,,78.1,0.0,EL_to_NH3_[VN]
SG,VN,,,78.1,0.0,NH3_Storage_[VN]
SG,VN,,,78.1,0.0,NH3_to_EL_[VN]
SG,VN,,,78.1,0.0,NH3_to_HTH_[VN]
SG,VN,,,78.1,3.1,FF_to_HTH_[VN]
SG,VN,,,78.1,0.0,EL_Demand_[VN]
SG,VN,,,78.1,0.0,HTH_Demand_[VN]
SG,VN,,,78.1,0.0,NH3_Transport_[SG-VN]
SG,VN,,,78.1,0.6,EL_Transport_[SG-VN]
SG,VN,,,39.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,39.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,39.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,39.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,39.0,2.2,PP_CO2_[SG]
SG,VN,,,39.0,0.1,BESS_[SG]
SG,VN,,,39.0,0.1,EL_to_HTH_[SG]
SG,VN,,,39.0,0.0,EL_to_NH3_[SG]
SG,VN,,,39.0,0.0,NH3_Storage_[SG]
SG,VN,,,39.0,0.0,NH3_to_EL_[SG]
SG,VN,,,39.0,0.0,NH3_to_HTH_[SG]
SG,VN,,,39.0,0.4,FF_to_HTH_[SG]
SG,VN,,,39.0,0.0,EL_Demand_[SG]
SG,VN,,,39.0,0.0,HTH_Demand_[SG]
SG,VN,,,39.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,,,39.0,1.5,RE_PV_Openfield_Lim_[VN]
SG,VN,,,39.0,3.4,RE_WIND_Onshore_Lim_[VN]
SG,VN,,,39.0,5.7,RE_WIND_Offshore_Lim_[VN]
SG,VN,,,39.0,1.2,PP_CO2_[VN]
SG,VN,,,39.0,0.2,BESS_[VN]
SG,VN,,,39.0,0.5,EL_to_HTH_[VN]
SG,VN,,,39.0,0.0,EL_to_NH3_[VN]
SG,VN,,,39.0,0.0,NH3_Storage_[VN]
SG,VN,,,39.0,0.0,NH3_to_EL_[VN]
SG,VN,,,39.0,0.0,NH3_to_HTH_[VN]
SG,VN,,,39.0,2.4,FF_to_HTH_[VN]
SG,VN,,,39.0,0.0,EL_Demand_[VN]
SG,VN,,,39.0,0.0,HTH_Demand_[VN]
SG,VN,,,39.0,0.0,NH3_Transport_[SG-VN]
SG,VN,,,39.0,0.7,EL_Transport_[SG-VN]
SG,VN,,,0.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,0.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,0.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,0.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,0.0,0.0,PP_CO2_[SG]
SG,VN,,,0.0,0.0,BESS_[SG]
SG,VN,,,0.0,0.1,EL_to_HTH_[SG]
SG,VN,,,0.0,0.0,EL_to_NH3_[SG]
SG,VN,,,0.0,1.7,NH3_Storage_[SG]
SG,VN,,,0.0,0.3,NH3_to_EL_[SG]
SG,VN,,,0.0,0.0,NH3_to_HTH_[SG]
SG,VN,,,0.0,0.0,FF_to_HTH_[SG]
SG,VN,,,0.0,0.0,EL_Demand_[SG]
SG,VN,,,0.0,0.0,HTH_Demand_[SG]
SG,VN,,,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,,,0.0,3.8,RE_PV_Openfield_Lim_[VN]
SG,VN,,,0.0,10.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,,,0.0,1.7,RE_WIND_Offshore_Lim_[VN]
SG,VN,,,0.0,0.0,PP_CO2_[VN]
SG,VN,,,0.0,1.8,BESS_[VN]
SG,VN,,,0.0,0.5,EL_to_HTH_[VN]
SG,VN,,,0.0,1.8,EL_to_NH3_[VN]
SG,VN,,,0.0,5.3,NH3_Storage_[VN]
SG,VN,,,0.0,0.4,NH3_to_EL_[VN]
SG,VN,,,0.0,0.1,NH3_to_HTH_[VN]
SG,VN,,,0.0,0.0,FF_to_HTH_[VN]
SG,VN,,,0.0,0.0,EL_Demand_[VN]
SG,VN,,,0.0,0.0,HTH_Demand_[VN]
SG,VN,,,0.0,0.0,NH3_Transport_[SG-VN]
SG,VN,,,0.0,0.7,EL_Transport_[SG-VN]
SG,VN,,,17.3,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,17.3,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,17.3,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,17.3,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,17.3,0.9,PP_CO2_[SG]
SG,VN,,,17.3,0.1,BESS_[SG]
SG,VN,,,17.3,0.1,EL_to_HTH_[SG]
SG,VN,,,17.3,0.1,EL_to_NH3_[SG]
SG,VN,,,17.3,0.4,NH3_Storage_[SG]
SG,VN,,,17.3,0.2,NH3_to_EL_[SG]
SG,VN,,,17.3,0.0,NH3_to_HTH_[SG]
SG,VN,,,17.3,0.2,FF_to_HTH_[SG]
SG,VN,,,17.3,0.0,EL_Demand_[SG]
SG,VN,,,17.3,0.0,HTH_Demand_[SG]
SG,VN,,,17.3,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,,,17.3,1.8,RE_PV_Openfield_Lim_[VN]
SG,VN,,,17.3,10.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,,,17.3,2.5,RE_WIND_Offshore_Lim_[VN]
SG,VN,,,17.3,0.0,PP_CO2_[VN]
SG,VN,,,17.3,0.5,BESS_[VN]
SG,VN,,,17.3,0.5,EL_to_HTH_[VN]
SG,VN,,,17.3,0.3,EL_to_NH3_[VN]
SG,VN,,,17.3,0.5,NH3_Storage_[VN]
SG,VN,,,17.3,0.4,NH3_to_EL_[VN]
SG,VN,,,17.3,0.0,NH3_to_HTH_[VN]
SG,VN,,,17.3,1.6,FF_to_HTH_[VN]
SG,VN,,,17.3,0.0,EL_Demand_[VN]
SG,VN,,,17.3,0.0,HTH_Demand_[VN]
SG,VN,,,17.3,0.0,NH3_Transport_[SG-VN]
SG,VN,,,17.3,0.8,EL_Transport_[SG-VN]
SG,VN,,,34.6,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,34.6,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,34.6,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,34.6,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,34.6,2.0,PP_CO2_[SG]
SG,VN,,,34.6,0.1,BESS_[SG]
SG,VN,,,34.6,0.1,EL_to_HTH_[SG]
SG,VN,,,34.6,0.0,EL_to_NH3_[SG]
SG,VN,,,34.6,0.0,NH3_Storage_[SG]
SG,VN,,,34.6,0.0,NH3_to_EL_[SG]
SG,VN,,,34.6,0.0,NH3_to_HTH_[SG]
SG,VN,,,34.6,0.4,FF_to_HTH_[SG]
SG,VN,,,34.6,0.0,EL_Demand_[SG]
SG,VN,,,34.6,0.0,HTH_Demand_[SG]
SG,VN,,,34.6,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,,,34.6,1.8,RE_PV_Openfield_Lim_[VN]
SG,VN,,,34.6,4.3,RE_WIND_Onshore_Lim_[VN]
SG,VN,,,34.6,5.3,RE_WIND_Offshore_Lim_[VN]
SG,VN,,,34.6,1.0,PP_CO2_[VN]
SG,VN,,,34.6,0.4,BESS_[VN]
SG,VN,,,34.6,0.5,EL_to_HTH_[VN]
SG,VN,,,34.6,0.0,EL_to_NH3_[VN]
SG,VN,,,34.6,0.0,NH3_Storage_[VN]
SG,VN,,,34.6,0.0,NH3_to_EL_[VN]
SG,VN,,,34.6,0.0,NH3_to_HTH_[VN]
SG,VN,,,34.6,2.3,FF_to_HTH_[VN]
SG,VN,,,34.6,0.0,EL_Demand_[VN]
SG,VN,,,34.6,0.0,HTH_Demand_[VN]
SG,VN,,,34.6,0.0,NH3_Transport_[SG-VN]
SG,VN,,,34.6,0.7,EL_Transport_[SG-VN]
SG,VN,,,52.0,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,52.0,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,52.0,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,52.0,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,52.0,1.4,PP_CO2_[SG]
SG,VN,,,52.0,0.0,BESS_[SG]
SG,VN,,,52.0,0.1,EL_to_HTH_[SG]
SG,VN,,,52.0,0.0,EL_to_NH3_[SG]
SG,VN,,,52.0,0.0,NH3_Storage_[SG]
SG,VN,,,52.0,0.0,NH3_to_EL_[SG]
SG,VN,,,52.0,0.0,NH3_to_HTH_[SG]
SG,VN,,,52.0,0.5,FF_to_HTH_[SG]
SG,VN,,,52.0,0.0,EL_Demand_[SG]
SG,VN,,,52.0,0.0,HTH_Demand_[SG]
SG,VN,,,52.0,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,,,52.0,1.5,RE_PV_Openfield_Lim_[VN]
SG,VN,,,52.0,2.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,,,52.0,6.3,RE_WIND_Offshore_Lim_[VN]
SG,VN,,,52.0,2.2,PP_CO2_[VN]
SG,VN,,,52.0,0.1,BESS_[VN]
SG,VN,,,52.0,0.5,EL_to_HTH_[VN]
SG,VN,,,52.0,0.0,EL_to_NH3_[VN]
SG,VN,,,52.0,0.0,NH3_Storage_[VN]
SG,VN,,,52.0,0.0,NH3_to_EL_[VN]
SG,VN,,,52.0,0.0,NH3_to_HTH_[VN]
SG,VN,,,52.0,2.7,FF_to_HTH_[VN]
SG,VN,,,52.0,0.0,EL_Demand_[VN]
SG,VN,,,52.0,0.0,HTH_Demand_[VN]
SG,VN,,,52.0,0.0,NH3_Transport_[SG-VN]
SG,VN,,,52.0,0.7,EL_Transport_[SG-VN]
SG,VN,,,69.3,0.0,RE_PV_Rooftop_Lim_[SG]
SG,VN,,,69.3,0.0,RE_PV_Openfield_Lim_[SG]
SG,VN,,,69.3,0.0,RE_WIND_Onshore_Lim_[SG]
SG,VN,,,69.3,0.0,RE_WIND_Offshore_Lim_[SG]
SG,VN,,,69.3,0.8,PP_CO2_[SG]
SG,VN,,,69.3,0.0,BESS_[SG]
SG,VN,,,69.3,0.0,EL_to_HTH_[SG]
SG,VN,,,69.3,0.0,EL_to_NH3_[SG]
SG,VN,,,69.3,0.0,NH3_Storage_[SG]
SG,VN,,,69.3,0.0,NH3_to_EL_[SG]
SG,VN,,,69.3,0.0,NH3_to_HTH_[SG]
SG,VN,,,69.3,0.5,FF_to_HTH_[SG]
SG,VN,,,69.3,0.0,EL_Demand_[SG]
SG,VN,,,69.3,0.0,HTH_Demand_[SG]
SG,VN,,,69.3,0.0,RE_PV_Rooftop_Lim_[VN]
SG,VN,,,69.3,1.2,RE_PV_Openfield_Lim_[VN]
SG,VN,,,69.3,0.0,RE_WIND_Onshore_Lim_[VN]
SG,VN,,,69.3,7.3,RE_WIND_Offshore_Lim_[VN]
SG,VN,,,69.3,3.1,PP_CO2_[VN]
SG,VN,,,69.3,0.0,BESS_[VN]
SG,VN,,,69.3,0.5,EL_to_HTH_[VN]
SG,VN,,,69.3,0.0,EL_to_NH3_[VN]
SG,VN,,,69.3,0.0,NH3_Storage_[VN]
SG,VN,,,69.3,0.0,NH3_to_EL_[VN]
SG,VN,,,69.3,0.0,NH3_to_HTH_[VN]
SG,VN,,,69.3,3.0,FF_to_HTH_[VN]
SG,VN,,,69.3,0.0,EL_Demand_[VN]
