Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,EL_Demand,0,0,4
1,EL_to_HTH,0,0,0
2,HTH_Demand,0,0,1
3,BESS,0,0,0
4,EL_to_H2,0,0,0
5,H2_to_EL,0,0,0
6,H2_Storage,0,0,0
7,H2_to_HTH,0,0,0
8,RE,1,1,0
9,RE,1,1,1
10,BESS,1,1,0
11,EL_to_H2,1,1,0
12,H2_to_EL,1,1,0
13,H2_Storage,1,1,0
14,RE,2,2,0
15,RE,2,2,1
16,BESS,2,2,0
17,EL_to_H2,2,2,0
18,H2_to_EL,2,2,0
19,H2_Storage,2,2,0
20,RE,3,3,0
21,RE,3,3,1
22,BESS,3,3,0
23,EL_to_H2,3,3,0
24,H2_to_EL,3,3,0
25,H2_Storage,3,3,0
26,EL_Transport,0,1,0
27,H2_Transport,0,1,0
28,EL_Transport,0,2,0
29,H2_Transport,0,2,0
30,EL_Transport,0,3,0
31,H2_Transport,0,3,0
32,EL_Transport,1,2,0
33,H2_Transport,1,2,0
34,EL_Transport,1,3,0
35,H2_Transport,1,3,0
36,EL_Transport,2,3,0
37,H2_Transport,2,3,0
