country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KH,TH,,,60.6,0.0,RE_PV_Rooftop_Lim_[TH]
KH,TH,,,60.6,1.9,RE_PV_Openfield_Lim_[TH]
KH,TH,,,60.6,6.5,RE_WIND_Onshore_Lim_[TH]
KH,TH,,,60.6,0.0,RE_WIND_Offshore_Lim_[TH]
KH,TH,,,60.6,3.4,PP_CO2_[TH]
KH,TH,,,60.6,0.2,BESS_[TH]
KH,TH,,,60.6,0.4,EL_to_HTH_[TH]
KH,TH,,,60.6,0.0,EL_to_NH3_[TH]
KH,TH,,,60.6,0.0,NH3_Storage_[TH]
KH,TH,,,60.6,0.0,NH3_to_EL_[TH]
KH,TH,,,60.6,0.0,NH3_to_HTH_[TH]
KH,TH,,,60.6,2.9,FF_to_HTH_[TH]
KH,TH,,,60.6,0.0,EL_Demand_[TH]
KH,TH,,,60.6,0.0,HTH_Demand_[TH]
KH,TH,,,60.6,0.0,RE_PV_Rooftop_Lim_[KH]
KH,TH,,,60.6,0.2,RE_PV_Openfield_Lim_[KH]
KH,TH,,,60.6,0.8,RE_WIND_Onshore_Lim_[KH]
KH,TH,,,60.6,0.0,RE_WIND_Offshore_Lim_[KH]
KH,TH,,,60.6,0.0,PP_CO2_[KH]
KH,TH,,,60.6,0.0,BESS_[KH]
KH,TH,,,60.6,0.1,EL_to_HTH_[KH]
KH,TH,,,60.6,0.0,EL_to_NH3_[KH]
KH,TH,,,60.6,0.0,NH3_Storage_[KH]
KH,TH,,,60.6,0.0,NH3_to_EL_[KH]
KH,TH,,,60.6,0.0,NH3_to_HTH_[KH]
KH,TH,,,60.6,0.9,FF_to_HTH_[KH]
KH,TH,,,60.6,0.0,EL_Demand_[KH]
KH,TH,,,60.6,0.0,HTH_Demand_[KH]
KH,TH,,,60.6,0.0,NH3_Transport_[TH-KH]
KH,TH,,,60.6,0.1,EL_Transport_[TH-KH]
KH,TH,,,30.3,0.0,RE_PV_Rooftop_Lim_[TH]
KH,TH,,,30.3,2.5,RE_PV_Openfield_Lim_[TH]
KH,TH,,,30.3,8.6,RE_WIND_Onshore_Lim_[TH]
KH,TH,,,30.3,0.0,RE_WIND_Offshore_Lim_[TH]
KH,TH,,,30.3,1.7,PP_CO2_[TH]
KH,TH,,,30.3,1.0,BESS_[TH]
KH,TH,,,30.3,0.4,EL_to_HTH_[TH]
KH,TH,,,30.3,0.1,EL_to_NH3_[TH]
KH,TH,,,30.3,0.1,NH3_Storage_[TH]
KH,TH,,,30.3,0.1,NH3_to_EL_[TH]
KH,TH,,,30.3,0.0,NH3_to_HTH_[TH]
KH,TH,,,30.3,2.0,FF_to_HTH_[TH]
KH,TH,,,30.3,0.0,EL_Demand_[TH]
KH,TH,,,30.3,0.0,HTH_Demand_[TH]
KH,TH,,,30.3,0.0,RE_PV_Rooftop_Lim_[KH]
KH,TH,,,30.3,0.4,RE_PV_Openfield_Lim_[KH]
KH,TH,,,30.3,1.0,RE_WIND_Onshore_Lim_[KH]
KH,TH,,,30.3,0.0,RE_WIND_Offshore_Lim_[KH]
KH,TH,,,30.3,0.0,PP_CO2_[KH]
KH,TH,,,30.3,0.1,BESS_[KH]
KH,TH,,,30.3,0.1,EL_to_HTH_[KH]
KH,TH,,,30.3,0.0,EL_to_NH3_[KH]
KH,TH,,,30.3,0.0,NH3_Storage_[KH]
KH,TH,,,30.3,0.0,NH3_to_EL_[KH]
KH,TH,,,30.3,0.0,NH3_to_HTH_[KH]
KH,TH,,,30.3,0.6,FF_to_HTH_[KH]
KH,TH,,,30.3,0.0,EL_Demand_[KH]
KH,TH,,,30.3,0.0,HTH_Demand_[KH]
KH,TH,,,30.3,0.0,NH3_Transport_[TH-KH]
KH,TH,,,30.3,0.1,EL_Transport_[TH-KH]
KH,TH,,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
KH,TH,,,0.0,3.9,RE_PV_Openfield_Lim_[TH]
KH,TH,,,0.0,11.1,RE_WIND_Onshore_Lim_[TH]
KH,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
KH,TH,,,0.0,0.0,PP_CO2_[TH]
KH,TH,,,0.0,2.0,BESS_[TH]
KH,TH,,,0.0,0.4,EL_to_HTH_[TH]
KH,TH,,,0.0,0.8,EL_to_NH3_[TH]
KH,TH,,,0.0,4.9,NH3_Storage_[TH]
KH,TH,,,0.0,0.4,NH3_to_EL_[TH]
KH,TH,,,0.0,0.1,NH3_to_HTH_[TH]
KH,TH,,,0.0,0.0,FF_to_HTH_[TH]
KH,TH,,,0.0,0.0,EL_Demand_[TH]
KH,TH,,,0.0,0.0,HTH_Demand_[TH]
KH,TH,,,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
KH,TH,,,0.0,0.6,RE_PV_Openfield_Lim_[KH]
KH,TH,,,0.0,1.6,RE_WIND_Onshore_Lim_[KH]
KH,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
KH,TH,,,0.0,0.0,PP_CO2_[KH]
KH,TH,,,0.0,0.2,BESS_[KH]
KH,TH,,,0.0,0.1,EL_to_HTH_[KH]
KH,TH,,,0.0,0.2,EL_to_NH3_[KH]
KH,TH,,,0.0,0.9,NH3_Storage_[KH]
KH,TH,,,0.0,0.0,NH3_to_EL_[KH]
KH,TH,,,0.0,0.0,NH3_to_HTH_[KH]
KH,TH,,,0.0,0.0,FF_to_HTH_[KH]
KH,TH,,,0.0,0.0,EL_Demand_[KH]
KH,TH,,,0.0,0.0,HTH_Demand_[KH]
KH,TH,,,0.0,0.0,NH3_Transport_[TH-KH]
KH,TH,,,0.0,0.1,EL_Transport_[TH-KH]
KH,TH,,,9.4,0.0,RE_PV_Rooftop_Lim_[TH]
KH,TH,,,9.4,3.2,RE_PV_Openfield_Lim_[TH]
KH,TH,,,9.4,10.8,RE_WIND_Onshore_Lim_[TH]
KH,TH,,,9.4,0.0,RE_WIND_Offshore_Lim_[TH]
KH,TH,,,9.4,0.2,PP_CO2_[TH]
KH,TH,,,9.4,1.4,BESS_[TH]
KH,TH,,,9.4,0.4,EL_to_HTH_[TH]
KH,TH,,,9.4,0.6,EL_to_NH3_[TH]
KH,TH,,,9.4,0.9,NH3_Storage_[TH]
KH,TH,,,9.4,0.4,NH3_to_EL_[TH]
KH,TH,,,9.4,0.0,NH3_to_HTH_[TH]
KH,TH,,,9.4,0.9,FF_to_HTH_[TH]
KH,TH,,,9.4,0.0,EL_Demand_[TH]
KH,TH,,,9.4,0.0,HTH_Demand_[TH]
KH,TH,,,9.4,0.0,RE_PV_Rooftop_Lim_[KH]
KH,TH,,,9.4,0.5,RE_PV_Openfield_Lim_[KH]
KH,TH,,,9.4,1.1,RE_WIND_Onshore_Lim_[KH]
KH,TH,,,9.4,0.0,RE_WIND_Offshore_Lim_[KH]
KH,TH,,,9.4,0.0,PP_CO2_[KH]
KH,TH,,,9.4,0.1,BESS_[KH]
KH,TH,,,9.4,0.1,EL_to_HTH_[KH]
KH,TH,,,9.4,0.3,EL_to_NH3_[KH]
KH,TH,,,9.4,0.5,NH3_Storage_[KH]
KH,TH,,,9.4,0.1,NH3_to_EL_[KH]
KH,TH,,,9.4,0.0,NH3_to_HTH_[KH]
KH,TH,,,9.4,0.3,FF_to_HTH_[KH]
KH,TH,,,9.4,0.0,EL_Demand_[KH]
KH,TH,,,9.4,0.0,HTH_Demand_[KH]
KH,TH,,,9.4,0.0,NH3_Transport_[TH-KH]
KH,TH,,,9.4,0.1,EL_Transport_[TH-KH]
KH,TH,,,18.7,0.0,RE_PV_Rooftop_Lim_[TH]
KH,TH,,,18.7,2.9,RE_PV_Openfield_Lim_[TH]
KH,TH,,,18.7,10.0,RE_WIND_Onshore_Lim_[TH]
KH,TH,,,18.7,0.0,RE_WIND_Offshore_Lim_[TH]
KH,TH,,,18.7,1.0,PP_CO2_[TH]
KH,TH,,,18.7,1.4,BESS_[TH]
KH,TH,,,18.7,0.4,EL_to_HTH_[TH]
KH,TH,,,18.7,0.2,EL_to_NH3_[TH]
KH,TH,,,18.7,0.2,NH3_Storage_[TH]
KH,TH,,,18.7,0.1,NH3_to_EL_[TH]
KH,TH,,,18.7,0.0,NH3_to_HTH_[TH]
KH,TH,,,18.7,1.4,FF_to_HTH_[TH]
KH,TH,,,18.7,0.0,EL_Demand_[TH]
KH,TH,,,18.7,0.0,HTH_Demand_[TH]
KH,TH,,,18.7,0.0,RE_PV_Rooftop_Lim_[KH]
KH,TH,,,18.7,0.4,RE_PV_Openfield_Lim_[KH]
KH,TH,,,18.7,1.2,RE_WIND_Onshore_Lim_[KH]
KH,TH,,,18.7,0.0,RE_WIND_Offshore_Lim_[KH]
KH,TH,,,18.7,0.0,PP_CO2_[KH]
KH,TH,,,18.7,0.1,BESS_[KH]
KH,TH,,,18.7,0.1,EL_to_HTH_[KH]
KH,TH,,,18.7,0.1,EL_to_NH3_[KH]
KH,TH,,,18.7,0.1,NH3_Storage_[KH]
KH,TH,,,18.7,0.1,NH3_to_EL_[KH]
KH,TH,,,18.7,0.0,NH3_to_HTH_[KH]
KH,TH,,,18.7,0.4,FF_to_HTH_[KH]
KH,TH,,,18.7,0.0,EL_Demand_[KH]
KH,TH,,,18.7,0.0,HTH_Demand_[KH]
KH,TH,,,18.7,0.0,NH3_Transport_[TH-KH]
KH,TH,,,18.7,0.1,EL_Transport_[TH-KH]
KH,TH,,,28.1,0.0,RE_PV_Rooftop_Lim_[TH]
KH,TH,,,28.1,2.6,RE_PV_Openfield_Lim_[TH]
KH,TH,,,28.1,8.7,RE_WIND_Onshore_Lim_[TH]
KH,TH,,,28.1,0.0,RE_WIND_Offshore_Lim_[TH]
KH,TH,,,28.1,1.5,PP_CO2_[TH]
KH,TH,,,28.1,1.0,BESS_[TH]
