country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,TH,,,140.4,0.0,RE_PV_Rooftop_Lim_[TH]
MY,TH,,,140.4,1.7,RE_PV_Openfield_Lim_[TH]
MY,TH,,,140.4,6.0,RE_WIND_Onshore_Lim_[TH]
MY,TH,,,140.4,0.0,RE_WIND_Offshore_Lim_[TH]
MY,TH,,,140.4,3.9,PP_CO2_[TH]
MY,TH,,,140.4,0.1,BESS_[TH]
MY,TH,,,140.4,0.4,EL_to_HTH_[TH]
MY,TH,,,140.4,0.0,EL_to_NH3_[TH]
MY,TH,,,140.4,0.0,NH3_Storage_[TH]
MY,TH,,,140.4,0.0,NH3_to_EL_[TH]
MY,TH,,,140.4,0.0,NH3_to_HTH_[TH]
MY,TH,,,140.4,3.3,FF_to_HTH_[TH]
MY,TH,,,140.4,0.0,EL_Demand_[TH]
MY,TH,,,140.4,0.0,HTH_Demand_[TH]
MY,TH,,,140.4,0.0,RE_PV_Rooftop_Lim_[MY]
MY,TH,,,140.4,1.2,RE_PV_Openfield_Lim_[MY]
MY,TH,,,140.4,2.3,RE_WIND_Onshore_Lim_[MY]
MY,TH,,,140.4,0.4,RE_WIND_Offshore_Lim_[MY]
MY,TH,,,140.4,3.6,PP_CO2_[MY]
MY,TH,,,140.4,0.1,BESS_[MY]
MY,TH,,,140.4,0.1,EL_to_HTH_[MY]
MY,TH,,,140.4,0.0,EL_to_NH3_[MY]
MY,TH,,,140.4,0.0,NH3_Storage_[MY]
MY,TH,,,140.4,0.0,NH3_to_EL_[MY]
MY,TH,,,140.4,0.0,NH3_to_HTH_[MY]
MY,TH,,,140.4,1.6,FF_to_HTH_[MY]
MY,TH,,,140.4,0.0,EL_Demand_[MY]
MY,TH,,,140.4,0.0,HTH_Demand_[MY]
MY,TH,,,93.6,0.0,RE_PV_Rooftop_Lim_[TH]
MY,TH,,,93.6,1.9,RE_PV_Openfield_Lim_[TH]
MY,TH,,,93.6,6.9,RE_WIND_Onshore_Lim_[TH]
MY,TH,,,93.6,0.0,RE_WIND_Offshore_Lim_[TH]
MY,TH,,,93.6,3.1,PP_CO2_[TH]
MY,TH,,,93.6,0.3,BESS_[TH]
MY,TH,,,93.6,0.4,EL_to_HTH_[TH]
MY,TH,,,93.6,0.0,EL_to_NH3_[TH]
MY,TH,,,93.6,0.0,NH3_Storage_[TH]
MY,TH,,,93.6,0.0,NH3_to_EL_[TH]
MY,TH,,,93.6,0.0,NH3_to_HTH_[TH]
MY,TH,,,93.6,2.8,FF_to_HTH_[TH]
MY,TH,,,93.6,0.0,EL_Demand_[TH]
MY,TH,,,93.6,0.0,HTH_Demand_[TH]
MY,TH,,,93.6,0.0,RE_PV_Rooftop_Lim_[MY]
MY,TH,,,93.6,1.1,RE_PV_Openfield_Lim_[MY]
MY,TH,,,93.6,4.6,RE_WIND_Onshore_Lim_[MY]
MY,TH,,,93.6,0.0,RE_WIND_Offshore_Lim_[MY]
MY,TH,,,93.6,2.1,PP_CO2_[MY]
MY,TH,,,93.6,0.4,BESS_[MY]
MY,TH,,,93.6,0.1,EL_to_HTH_[MY]
MY,TH,,,93.6,0.0,EL_to_NH3_[MY]
MY,TH,,,93.6,0.0,NH3_Storage_[MY]
MY,TH,,,93.6,0.0,NH3_to_EL_[MY]
MY,TH,,,93.6,0.0,NH3_to_HTH_[MY]
MY,TH,,,93.6,1.4,FF_to_HTH_[MY]
MY,TH,,,93.6,0.0,EL_Demand_[MY]
MY,TH,,,93.6,0.0,HTH_Demand_[MY]
MY,TH,,,46.8,0.0,RE_PV_Rooftop_Lim_[TH]
MY,TH,,,46.8,2.5,RE_PV_Openfield_Lim_[TH]
MY,TH,,,46.8,8.6,RE_WIND_Onshore_Lim_[TH]
MY,TH,,,46.8,0.0,RE_WIND_Offshore_Lim_[TH]
MY,TH,,,46.8,2.0,PP_CO2_[TH]
MY,TH,,,46.8,1.0,BESS_[TH]
MY,TH,,,46.8,0.4,EL_to_HTH_[TH]
MY,TH,,,46.8,0.0,EL_to_NH3_[TH]
MY,TH,,,46.8,0.0,NH3_Storage_[TH]
MY,TH,,,46.8,0.0,NH3_to_EL_[TH]
MY,TH,,,46.8,0.0,NH3_to_HTH_[TH]
MY,TH,,,46.8,2.0,FF_to_HTH_[TH]
MY,TH,,,46.8,0.0,EL_Demand_[TH]
MY,TH,,,46.8,0.0,HTH_Demand_[TH]
MY,TH,,,46.8,0.0,RE_PV_Rooftop_Lim_[MY]
MY,TH,,,46.8,1.9,RE_PV_Openfield_Lim_[MY]
MY,TH,,,46.8,4.8,RE_WIND_Onshore_Lim_[MY]
MY,TH,,,46.8,0.1,RE_WIND_Offshore_Lim_[MY]
MY,TH,,,46.8,0.8,PP_CO2_[MY]
MY,TH,,,46.8,2.1,BESS_[MY]
MY,TH,,,46.8,0.1,EL_to_HTH_[MY]
MY,TH,,,46.8,0.0,EL_to_NH3_[MY]
MY,TH,,,46.8,0.0,NH3_Storage_[MY]
MY,TH,,,46.8,0.0,NH3_to_EL_[MY]
MY,TH,,,46.8,0.0,NH3_to_HTH_[MY]
MY,TH,,,46.8,1.0,FF_to_HTH_[MY]
MY,TH,,,46.8,0.0,EL_Demand_[MY]
MY,TH,,,46.8,0.0,HTH_Demand_[MY]
MY,TH,,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,TH,,,0.0,4.2,RE_PV_Openfield_Lim_[TH]
MY,TH,,,0.0,13.1,RE_WIND_Onshore_Lim_[TH]
MY,TH,,,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
MY,TH,,,0.0,0.0,PP_CO2_[TH]
MY,TH,,,0.0,2.6,BESS_[TH]
MY,TH,,,0.0,0.4,EL_to_HTH_[TH]
MY,TH,,,0.0,0.4,EL_to_NH3_[TH]
