country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MY,TH,,,140.4,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,TH,,,140.4,1.6,75.9,RE_PV_Openfield_Lim_[TH]
MY,TH,,,140.4,6.4,132.5,RE_WIND_Onshore_Lim_[TH]
MY,TH,,,140.4,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
MY,TH,,,140.4,3.7,45.4,PP_CO2_[TH]
MY,TH,,,140.4,0.1,4.8,BESS_[TH]
MY,TH,,,140.4,0.4,32.3,EL_to_HTH_[TH]
MY,TH,,,140.4,0.0,0.0,EL_to_NH3_[TH]
MY,TH,,,140.4,0.0,0.0,NH3_Storage_[TH]
MY,TH,,,140.4,0.0,0.0,NH3_to_EL_[TH]
MY,TH,,,140.4,0.0,0.0,NH3_to_HTH_[TH]
MY,TH,,,140.4,3.4,33.2,FF_to_HTH_[TH]
MY,TH,,,140.4,0.0,65.4,EL_Demand_[TH]
MY,TH,,,140.4,0.0,34.3,HTH_Demand_[TH]
MY,TH,,,140.4,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,TH,,,140.4,1.2,60.7,RE_PV_Openfield_Lim_[MY]
MY,TH,,,140.4,1.9,39.3,RE_WIND_Onshore_Lim_[MY]
MY,TH,,,140.4,0.1,1.1,RE_WIND_Offshore_Lim_[MY]
MY,TH,,,140.4,3.7,26.3,PP_CO2_[MY]
MY,TH,,,140.4,0.0,0.8,BESS_[MY]
MY,TH,,,140.4,0.1,8.9,EL_to_HTH_[MY]
MY,TH,,,140.4,0.0,0.0,EL_to_NH3_[MY]
MY,TH,,,140.4,0.0,0.0,NH3_Storage_[MY]
MY,TH,,,140.4,0.0,0.0,NH3_to_EL_[MY]
MY,TH,,,140.4,0.0,0.0,NH3_to_HTH_[MY]
MY,TH,,,140.4,1.7,12.5,FF_to_HTH_[MY]
MY,TH,,,140.4,0.0,34.4,EL_Demand_[MY]
MY,TH,,,140.4,0.0,12.7,HTH_Demand_[MY]
MY,TH,,,140.4,0.0,0.0,NH3_Transport_[TH-MY]
MY,TH,,,140.4,0.3,6.3,EL_Transport_[TH-MY]
MY,TH,,,93.6,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,TH,,,93.6,1.6,79.3,RE_PV_Openfield_Lim_[TH]
MY,TH,,,93.6,7.9,163.0,RE_WIND_Onshore_Lim_[TH]
MY,TH,,,93.6,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
MY,TH,,,93.6,3.2,44.9,PP_CO2_[TH]
