country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,PH,TH,,1.0628794359180405e-10,1.7506304720566646e-10,RE_PV_Rooftop_Lim_[TH]
MY,PH,TH,,1.0628794359180405e-10,4.194227829917536,RE_PV_Openfield_Lim_[TH]
MY,PH,TH,,1.0628794359180405e-10,13.091258529609654,RE_WIND_Onshore_Lim_[TH]
MY,PH,TH,,1.0628794359180405e-10,1.8034605240881657e-10,RE_WIND_Offshore_Lim_[TH]
MY,PH,TH,,1.0628794359180405e-10,0.0,PP_CO2_[TH]
MY,PH,TH,,1.0628794359180405e-10,2.6099704694973003,BESS_[TH]
MY,PH,TH,,1.0628794359180405e-10,0.3759522457247811,EL_to_HTH_[TH]
MY,PH,TH,,1.0628794359180405e-10,0.43973908494447467,EL_to_NH3_[TH]
MY,PH,TH,,1.0628794359180405e-10,3.7496989855678087,NH3_Storage_[TH]
MY,PH,TH,,1.0628794359180405e-10,0.26079112708025753,NH3_to_EL_[TH]
MY,PH,TH,,1.0628794359180405e-10,0.06932111817163016,NH3_to_HTH_[TH]
MY,PH,TH,,1.0628794359180405e-10,3.674889132692147e-12,FF_to_HTH_[TH]
MY,PH,TH,,1.0628794359180405e-10,0.0,EL_Demand_[TH]
MY,PH,TH,,1.0628794359180405e-10,0.0,HTH_Demand_[TH]
MY,PH,TH,,1.0628794359180405e-10,1.7713681635843033e-10,RE_PV_Rooftop_Lim_[PH]
MY,PH,TH,,1.0628794359180405e-10,3.473340608103037,RE_PV_Openfield_Lim_[PH]
MY,PH,TH,,1.0628794359180405e-10,3.4290340023873855,RE_WIND_Onshore_Lim_[PH]
MY,PH,TH,,1.0628794359180405e-10,4.1336428700668e-10,RE_WIND_Offshore_Lim_[PH]
MY,PH,TH,,1.0628794359180405e-10,0.0,PP_CO2_[PH]
MY,PH,TH,,1.0628794359180405e-10,5.206618942466292,BESS_[PH]
MY,PH,TH,,1.0628794359180405e-10,0.12644374287466728,EL_to_HTH_[PH]
MY,PH,TH,,1.0628794359180405e-10,0.35040997520146766,EL_to_NH3_[PH]
MY,PH,TH,,1.0628794359180405e-10,1.4412299179206285,NH3_Storage_[PH]
MY,PH,TH,,1.0628794359180405e-10,0.0690898064214333,NH3_to_EL_[PH]
MY,PH,TH,,1.0628794359180405e-10,0.022241921994176125,NH3_to_HTH_[PH]
MY,PH,TH,,1.0628794359180405e-10,3.7079952302579134e-12,FF_to_HTH_[PH]
MY,PH,TH,,1.0628794359180405e-10,0.0,EL_Demand_[PH]
MY,PH,TH,,1.0628794359180405e-10,0.0,HTH_Demand_[PH]
MY,PH,TH,,1.0628794359180405e-10,1.6839464276591494e-10,RE_PV_Rooftop_Lim_[MY]
MY,PH,TH,,1.0628794359180405e-10,3.442055817546941,RE_PV_Openfield_Lim_[MY]
MY,PH,TH,,1.0628794359180405e-10,4.835315205878874,RE_WIND_Onshore_Lim_[MY]
MY,PH,TH,,1.0628794359180405e-10,2.9611989535982207e-10,RE_WIND_Offshore_Lim_[MY]
MY,PH,TH,,1.0628794359180405e-10,0.0,PP_CO2_[MY]
MY,PH,TH,,1.0628794359180405e-10,4.505407599703199,BESS_[MY]
MY,PH,TH,,1.0628794359180405e-10,0.13892795774004582,EL_to_HTH_[MY]
MY,PH,TH,,1.0628794359180405e-10,0.40979242835129015,EL_to_NH3_[MY]
MY,PH,TH,,1.0628794359180405e-10,1.7854227232926099,NH3_Storage_[MY]
MY,PH,TH,,1.0628794359180405e-10,0.0006750775028549745,NH3_to_EL_[MY]
MY,PH,TH,,1.0628794359180405e-10,0.029923640804608666,NH3_to_HTH_[MY]
MY,PH,TH,,1.0628794359180405e-10,3.676903979075777e-12,FF_to_HTH_[MY]
MY,PH,TH,,1.0628794359180405e-10,0.0,EL_Demand_[MY]
MY,PH,TH,,1.0628794359180405e-10,0.0,HTH_Demand_[MY]
MY,PH,TH,,21.41345599982988,5.363701528763882e-11,RE_PV_Rooftop_Lim_[TH]
MY,PH,TH,,21.41345599982988,3.1762788257304826,RE_PV_Openfield_Lim_[TH]
MY,PH,TH,,21.41345599982988,10.708603735937723,RE_WIND_Onshore_Lim_[TH]
MY,PH,TH,,21.41345599982988,8.818245109971947e-11,RE_WIND_Offshore_Lim_[TH]
MY,PH,TH,,21.41345599982988,0.5863364625688647,PP_CO2_[TH]
MY,PH,TH,,21.41345599982988,1.8160671384734086,BESS_[TH]
MY,PH,TH,,21.41345599982988,0.37419918843649136,EL_to_HTH_[TH]
MY,PH,TH,,21.41345599982988,0.4120136540925446,EL_to_NH3_[TH]
MY,PH,TH,,21.41345599982988,0.7397629541176356,NH3_Storage_[TH]
MY,PH,TH,,21.41345599982988,0.28550381592099155,NH3_to_EL_[TH]
MY,PH,TH,,21.41345599982988,0.021887002766489822,NH3_to_HTH_[TH]
