country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MY,PH,TH,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,PH,TH,,0.0,3.4,164.7,RE_PV_Openfield_Lim_[TH]
MY,PH,TH,,0.0,14.2,294.1,RE_WIND_Onshore_Lim_[TH]
MY,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
MY,PH,TH,,0.0,0.0,0.0,PP_CO2_[TH]
MY,PH,TH,,0.0,0.7,38.4,BESS_[TH]
MY,PH,TH,,0.0,0.4,33.5,EL_to_HTH_[TH]
MY,PH,TH,,0.0,1.2,20.8,EL_to_NH3_[TH]
MY,PH,TH,,0.0,4.7,284.9,NH3_Storage_[TH]
MY,PH,TH,,0.0,0.4,5.5,NH3_to_EL_[TH]
MY,PH,TH,,0.0,0.1,6.5,NH3_to_HTH_[TH]
MY,PH,TH,,0.0,0.0,0.0,FF_to_HTH_[TH]
MY,PH,TH,,0.0,0.0,65.4,EL_Demand_[TH]
MY,PH,TH,,0.0,0.0,34.3,HTH_Demand_[TH]
MY,PH,TH,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
MY,PH,TH,,0.0,1.3,61.9,RE_PV_Openfield_Lim_[PH]
MY,PH,TH,,0.0,6.7,138.7,RE_WIND_Onshore_Lim_[PH]
MY,PH,TH,,0.0,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
MY,PH,TH,,0.0,0.0,0.0,PP_CO2_[PH]
MY,PH,TH,,0.0,0.7,38.6,BESS_[PH]
MY,PH,TH,,0.0,0.1,11.3,EL_to_HTH_[PH]
MY,PH,TH,,0.0,0.8,13.4,EL_to_NH3_[PH]
MY,PH,TH,,0.0,1.9,112.7,NH3_Storage_[PH]
MY,PH,TH,,0.0,0.3,3.9,NH3_to_EL_[PH]
MY,PH,TH,,0.0,0.0,2.2,NH3_to_HTH_[PH]
MY,PH,TH,,0.0,0.0,0.0,FF_to_HTH_[PH]
MY,PH,TH,,0.0,0.0,36.4,EL_Demand_[PH]
MY,PH,TH,,0.0,0.0,11.5,HTH_Demand_[PH]
MY,PH,TH,,0.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,PH,TH,,0.0,3.0,148.1,RE_PV_Openfield_Lim_[MY]
MY,PH,TH,,0.0,1.2,25.5,RE_WIND_Onshore_Lim_[MY]
